ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
BWA,Botswana,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,290552.0,2237.0,36401259.0,30334383.0,54601882.0,0.0,0.0,121337525.0
BWA,Botswana,Com,ADO/E,MUR+ADO/LWAL+CDN/H:2/COM,290607.0,1122.0,37382833.0,31152359.0,56074246.0,0.0,0.0,124609435.0
BWA,Botswana,Com,ADO/E,MUR+ADO/LWAL+CDN/HBET:3-6/COM,36344.0,42.0,5015340.0,4179450.0,7523010.0,0.0,0.0,16717803.0
BWA,Botswana,Com,MCF,MCF/LWAL+CDL/H:1/COM,101909.0,783.0,21279437.0,21279437.0,28372584.0,0.0,0.0,70931461.0
BWA,Botswana,Com,MCF,MCF/LWAL+CDL/H:2/COM,101970.0,392.0,21861961.0,21861961.0,29149282.0,0.0,0.0,72873210.0
BWA,Botswana,Com,MCF,MCF/LWAL+CDL/HBET:3-6/COM,119182.0,133.0,27109133.0,27109133.0,36145507.0,0.0,0.0,90363768.0
BWA,Botswana,Com,MUR,MUR+CB/LWAL+CDN/H:1/COM,436509.0,3355.0,68359596.0,56966326.0,102539396.0,0.0,0.0,227865319.0
BWA,Botswana,Com,MUR,MUR+CB/LWAL+CDN/H:2/COM,436510.0,1676.0,70188550.0,58490459.0,105282830.0,0.0,0.0,233961848.0
BWA,Botswana,Com,MUR,MUR+CB/LWAL+CDN/HBET:3-6/COM,57932.0,65.0,9946382.0,8288653.0,14919575.0,0.0,0.0,33154611.0
BWA,Botswana,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,436509.0,3355.0,68359596.0,56966326.0,102539396.0,0.0,0.0,227865319.0
BWA,Botswana,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,436510.0,1676.0,70188550.0,58490459.0,105282830.0,0.0,0.0,233961848.0
BWA,Botswana,Com,MUR,MUR+CL/LWAL+CDN/HBET:3-6/COM,57932.0,65.0,9946382.0,8288653.0,14919575.0,0.0,0.0,33154611.0
BWA,Botswana,Com,MUR,MUR+STDRE/LWAL+CDN/H:1/COM,193.0,2.0,29080.0,24233.0,43619.0,0.0,0.0,96932.0
BWA,Botswana,Com,RC,CR/LFINF+CDL/H:1/COM,29050.0,223.0,7620470.0,8709109.0,5443194.0,0.0,0.0,21772775.0
BWA,Botswana,Com,RC,CR/LFINF+CDL/H:2/COM,29067.0,113.0,7829432.0,8947923.0,5592452.0,0.0,0.0,22369804.0
BWA,Botswana,Com,RC,CR/LFINF+CDL/H:3/COM,49823.0,112.0,14137263.0,16156870.0,10098044.0,0.0,0.0,40392176.0
