ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,MUR+CB/LWAL+CDN/H:1/IND,21.0,783237.0,391618.0,156648.0,234971.0,4658.0,0,1581.0,81.0,162.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,MUR+CB/LWAL+CDN/H:2/IND,6.0,569627.0,284813.0,113926.0,170888.0,3388.0,0,1150.0,59.0,118.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,MUR+CL/LWAL+CDN/H:1/IND,203.0,7453382.0,3726691.0,1490676.0,2236015.0,44336.0,0,15053.0,772.0,1544.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,MUR+CL/LWAL+CDN/H:2/IND,67.0,5420641.0,2710320.0,1084128.0,1626193.0,32243.0,0,10947.0,561.0,1123.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,MUR+STRUB/LWAL+CDN/H:1/IND,3.0,60637.0,30319.0,12128.0,18191.0,451.0,0,153.0,8.0,16.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,S+SL/LFM+CDL/H:1/IND,60.0,3448113.0,862029.0,1206839.0,1379245.0,13185.0,0,4476.0,230.0,459.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,S+SL/LFM+CDL/H:2/IND,21.0,2507718.0,626930.0,877702.0,1003088.0,9588.0,0,3255.0,167.0,334.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,S/LFM+CDL/H:1/IND,15.0,862029.0,215507.0,301710.0,344811.0,3297.0,0,1119.0,57.0,115.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Rural,Ind,S/LFM+CDL/H:2/IND,6.0,626930.0,156732.0,219425.0,250772.0,2397.0,0,814.0,42.0,83.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,CR/LFINF+CDL/H:1/IND,7.0,464875.0,116219.0,139463.0,209193.0,1630.0,0,595.0,45.0,75.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,CR/LFINF+CDL/H:2/IND,3.0,338091.0,84523.0,101426.0,152141.0,1185.0,0,433.0,33.0,54.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,MCF+CL/LWAL+CDL/H:1/IND,6.0,339795.0,135917.0,84949.0,118927.0,1409.0,0,514.0,39.0,65.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,MCF+CL/LWAL+CDL/H:2/IND,3.0,247124.0,98850.0,61781.0,86494.0,1024.0,0,374.0,28.0,47.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,MUR+CB/LWAL+CDN/H:1/IND,3.0,68385.0,34194.0,13678.0,20516.0,406.0,0,148.0,11.0,19.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,MUR+CL/LWAL+CDN/H:1/IND,19.0,709928.0,354964.0,141986.0,212978.0,4224.0,0,1542.0,116.0,194.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,MUR+CL/LWAL+CDN/H:2/IND,6.0,516311.0,258156.0,103263.0,154893.0,3070.0,0,1121.0,84.0,141.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,S+SL/LFM+CDL/H:1/IND,3.0,136846.0,34211.0,47896.0,54738.0,524.0,0,191.0,14.0,24.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,S/LFM+CDL/H:1/IND,9.0,547384.0,136846.0,191584.0,218953.0,2094.0,0,764.0,58.0,96.0
BDI,Burundi,BDI-ADM1-1590546715-B1,Bujumbura Mairie,Urban,Ind,S/LFM+CDL/H:2/IND,3.0,398097.0,99524.0,139334.0,159239.0,1522.0,0,556.0,42.0,70.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,MUR+CB/LWAL+CDN/H:1/IND,12.0,433163.0,216581.0,86633.0,129949.0,2576.0,0,872.0,45.0,89.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,MUR+CB/LWAL+CDN/H:2/IND,3.0,315028.0,157514.0,63005.0,94509.0,1873.0,0,634.0,33.0,65.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,MUR+CL/LWAL+CDN/H:1/IND,170.0,6280860.0,3140430.0,1256172.0,1884258.0,37361.0,0,12648.0,649.0,1297.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,MUR+CL/LWAL+CDN/H:2/IND,57.0,4567898.0,2283949.0,913580.0,1370369.0,27170.0,0,9198.0,472.0,943.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,MUR+STRUB/LWAL+CDN/H:1/IND,46.0,1386121.0,693060.0,277224.0,415836.0,10306.0,0,3489.0,179.0,358.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,MUR+STRUB/LWAL+CDN/H:2/IND,15.0,1008088.0,504044.0,201617.0,302426.0,7496.0,0,2538.0,130.0,260.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,S+SL/LFM+CDL/H:1/IND,61.0,3503806.0,875951.0,1226332.0,1401522.0,13397.0,0,4535.0,233.0,465.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,S+SL/LFM+CDL/H:2/IND,21.0,2548222.0,637055.0,891878.0,1019289.0,9745.0,0,3299.0,169.0,338.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,S/LFM+CDL/H:1/IND,15.0,875951.0,218988.0,306583.0,350381.0,3349.0,0,1134.0,58.0,116.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Rural,Ind,S/LFM+CDL/H:2/IND,6.0,637055.0,159264.0,222970.0,254823.0,2436.0,0,825.0,42.0,85.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,CR/LFINF+CDL/H:1/IND,6.0,373409.0,93352.0,112023.0,168034.0,1309.0,0,475.0,36.0,60.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,CR/LFINF+CDL/H:2/IND,3.0,271570.0,67892.0,81471.0,122206.0,952.0,0,345.0,26.0,43.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,MCF+CL/LWAL+CDL/H:1/IND,6.0,286341.0,114536.0,71585.0,100218.0,1185.0,0,430.0,32.0,54.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,MCF+CL/LWAL+CDL/H:2/IND,3.0,208248.0,83299.0,52061.0,72886.0,863.0,0,313.0,24.0,39.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,MUR+CL/LWAL+CDN/H:1/IND,15.0,598246.0,299124.0,119649.0,179474.0,3558.0,0,1291.0,97.0,162.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,MUR+CL/LWAL+CDN/H:2/IND,6.0,435088.0,217544.0,87018.0,130527.0,2588.0,0,939.0,71.0,118.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,MUR+STDRE/LWAL+CDN/H:1/IND,7.0,275055.0,137528.0,55011.0,82518.0,1636.0,0,593.0,45.0,75.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,MUR+STDRE/LWAL+CDN/H:2/IND,3.0,200040.0,100020.0,40008.0,60012.0,1191.0,0,432.0,33.0,54.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,S+SL/LFM+CDL/H:1/IND,3.0,139056.0,34764.0,48670.0,55623.0,531.0,0,193.0,15.0,24.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,S/LFM+CDL/H:1/IND,9.0,556224.0,139056.0,194679.0,222490.0,2127.0,0,772.0,58.0,97.0
BDI,Burundi,BDI-ADM1-1590546715-B10,Kayanza,Urban,Ind,S/LFM+CDL/H:2/IND,3.0,404526.0,101132.0,141585.0,161810.0,1546.0,0,561.0,42.0,70.0
BDI,Burundi,BDI-ADM1-1590546715-B11,Muramvya,Rural,Ind,MUR+CB/LWAL+CDN/H:1/IND,6.0,244752.0,122376.0,48951.0,73426.0,1455.0,0,493.0,25.0,51.0
BDI,Burundi,BDI-ADM1-1590546715-B11,Muramvya,Rural,Ind,MUR+CB/LWAL+CDN/H:2/IND,3.0,178003.0,89001.0,35600.0,53400.0,1058.0,0,358.0,18.0,37.0
BDI,Burundi,BDI-ADM1-1590546715-B11,Muramvya,Rural,Ind,MUR+CL/LWAL+CDN/H:1/IND,58.0,2141584.0,1070792.0,428317.0,642476.0,12739.0,0,4313.0,221.0,442.0
