ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
BDI,Burundi,Com,ADO/E,MUR+ADO+MOC/LWAL+CDN/H:1/COM,25175.0,200.0,1138751.0,1138751.0,2277501.0,0.0,0.0,4555006.0
BDI,Burundi,Com,ADO/E,MUR+ADO+MOC/LWAL+CDN/H:2/COM,23092.0,88.0,1075115.0,1075115.0,2150228.0,0.0,0.0,4300454.0
BDI,Burundi,Com,ADO/E,MUR+ADO+MOM/LWAL+CDN/H:1/COM,441662.0,3394.0,20015378.0,20015378.0,40030762.0,0.0,0.0,80061521.0
BDI,Burundi,Com,ADO/E,MUR+ADO+MOM/LWAL+CDN/H:2/COM,441517.0,1697.0,20544476.0,20544476.0,41088963.0,0.0,0.0,82177926.0
BDI,Burundi,Com,ADO/E,MUR+ADO+MOM/LWAL+CDN/HBET:3-6/COM,55044.0,67.0,2736036.0,2736036.0,5472074.0,0.0,0.0,10944147.0
BDI,Burundi,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,1086656.0,8360.0,49245458.0,49245458.0,98490927.0,0.0,0.0,196981843.0
BDI,Burundi,Com,ADO/E,MUR+ADO/LWAL+CDN/H:2/COM,1086658.0,4178.0,50563024.0,50563024.0,101126040.0,0.0,0.0,202252090.0
BDI,Burundi,Com,ADO/E,MUR+ADO/LWAL+CDN/HBET:3-6/COM,151946.0,177.0,7521400.0,7521400.0,15042804.0,0.0,0.0,30085599.0
BDI,Burundi,Com,MCF,MCF+CL/LWAL+CDL/H:1/COM,3425.0,28.0,256795.0,308153.0,462231.0,0.0,0.0,1027180.0
BDI,Burundi,Com,MCF,MCF+CL/LWAL+CDL/H:2/COM,2880.0,11.0,223176.0,267809.0,401716.0,0.0,0.0,892700.0
BDI,Burundi,Com,MUR,MUR+CB/LWAL+CDN/H:1/COM,9132.0,71.0,515343.0,515343.0,1030686.0,0.0,0.0,2061370.0
BDI,Burundi,Com,MUR,MUR+CB/LWAL+CDN/H:2/COM,6983.0,31.0,406874.0,406874.0,813750.0,0.0,0.0,1627496.0
BDI,Burundi,Com,MUR,MUR+CB/LWAL+CDN/HBET:3-6/COM,454.0,1.0,28441.0,28441.0,56882.0,0.0,0.0,113764.0
BDI,Burundi,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,154472.0,1197.0,8749876.0,8749876.0,17499763.0,0.0,0.0,34999524.0
BDI,Burundi,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,153593.0,590.0,8933988.0,8933988.0,17867973.0,0.0,0.0,35735945.0
BDI,Burundi,Com,MUR,MUR+CL/LWAL+CDN/HBET:3-6/COM,16003.0,19.0,999066.0,999066.0,1998135.0,0.0,0.0,3996269.0
BDI,Burundi,Com,MUR,MUR+STDRE/LWAL+CDN/H:1/COM,2991.0,27.0,166661.0,166661.0,333321.0,0.0,0.0,666641.0
BDI,Burundi,Com,MUR,MUR+STDRE/LWAL+CDN/H:2/COM,720.0,4.0,42179.0,42179.0,84357.0,0.0,0.0,168714.0
BDI,Burundi,Com,MUR,MUR+STRUB/LWAL+CDN/H:1/COM,22815.0,178.0,1034092.0,1034092.0,2068192.0,0.0,0.0,4136377.0
BDI,Burundi,Com,MUR,MUR+STRUB/LWAL+CDN/H:2/COM,23115.0,89.0,1075592.0,1075592.0,2151191.0,0.0,0.0,4302383.0
BDI,Burundi,Com,RC,CR/LFINF+CDL/H:1/COM,546.0,4.0,52037.0,69383.0,52037.0,0.0,0.0,173458.0
BDI,Burundi,Com,RC,CR/LFINF+CDL/H:2/COM,2395.0,9.0,238921.0,318560.0,238921.0,0.0,0.0,796403.0
