ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,2579.0,88346740.0,44173370.0,22086684.0,22086684.0,335141.0,0,60019.0,6216.0,12433.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,1290.0,90710454.0,45355227.0,22677614.0,22677614.0,335140.0,0,60019.0,6216.0,12433.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+ADO/LWAL+CDN/HBET:3-6/COM,54.0,14004345.0,7002173.0,3501086.0,3501086.0,48847.0,0,8748.0,906.0,1812.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,2246.0,96218202.0,48109102.0,24054551.0,24054551.0,292001.0,0,52293.0,5416.0,10832.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+CB/LWAL+CDN/H:2/COM,1123.0,98792517.0,49396259.0,24698129.0,24698129.0,292000.0,0,52293.0,5416.0,10832.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,47.0,15252095.0,7626048.0,3813024.0,3813024.0,42559.0,0,7622.0,789.0,1579.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,397.0,17035814.0,8517906.0,4258954.0,4258954.0,51700.0,0,9259.0,959.0,1918.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+CL/LWAL+CDN/H:2/COM,200.0,17491606.0,8745803.0,4372901.0,4372901.0,51700.0,0,9259.0,959.0,1918.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+CL/LWAL+CDN/HBET:3-6/COM,8.0,2580955.0,1290478.0,645239.0,645239.0,7159.0,0,1282.0,133.0,266.0
CMR,Cameroon,CMR-ADM1-1590546715-B1,Littoral,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,537.0,18407286.0,9203643.0,4601821.0,4601821.0,69827.0,0,12505.0,1295.0,2590.0
