ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
COD,Democratic Republic of the Congo,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,1323.0,102848287.0,18149703.0,0.0,171414.0,120997989.0,84923.0,0.0,130.0,600.0
COD,Democratic Republic of the Congo,IND,CR-,CR/LFINF/CDL+ERL/H:1/IND,TOTAL,3643.0,224598224.0,74866076.0,0.0,802137.0,299464302.0,394929.0,0.0,220.0,280.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,URBAN,34761.0,458878729.0,80978600.0,164524.0,2085812.0,539857331.0,714985.0,34761.0,60.0,220.0
COD,Democratic Republic of the Congo,COM,CR-,CR/LFINF/CDL+ERL/H:2/COM,TOTAL,2306.0,360231477.0,63570257.0,0.0,600386.0,423801729.0,297678.0,0.0,260.0,600.0
COD,Democratic Republic of the Congo,IND,CR-,CR/LFINF/CDL+ERL/H:2/IND,TOTAL,1221.0,163343304.0,54447773.0,0.0,583369.0,217791071.0,287479.0,0.0,478.0,280.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,URBAN,118624.0,2629948542.0,464108566.0,575827.0,11954312.0,3094057105.0,4100711.0,121662.0,101.0,220.0
COD,Democratic Republic of the Congo,COM,CR-,CR/LFINF/CDL+ERL/H:3/COM,TOTAL,1529.0,415651870.0,73350332.0,0.0,692753.0,489002203.0,343743.0,0.0,453.0,600.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,URBAN,94804.0,3070510110.0,541854726.0,575926.0,13956864.0,3612364836.0,4791100.0,121680.0,147.0,220.0
COD,Democratic Republic of the Congo,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM,TOTAL,386.0,279715958.0,49361639.0,0.0,466193.0,329077600.0,231866.0,0.0,1208.0,600.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LFINF/CDL+ERL/H:4-7/RES,URBAN,4348.0,917757157.0,161957143.0,246805.0,4171623.0,1079714300.0,1435124.0,52145.0,959.0,220.0
COD,Democratic Republic of the Congo,COM,CR-,CR/LFINF/CDL+ERL/H:>7/COM,TOTAL,61.0,110117986.0,19432589.0,0.0,183530.0,129550574.0,91423.0,0.0,3009.0,600.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LFINF/CDL+ERL/H:>7/RES,URBAN,1077.0,286800355.0,50611827.0,82286.0,1303638.0,337412180.0,449123.0,17385.0,1210.0,220.0
COD,Democratic Republic of the Congo,COM,CR-,CR/LWAL/CDL+ERL/H:1/COM,TOTAL,430.0,33564008.0,5923063.0,0.0,55940.0,39487072.0,30380.0,0.0,130.0,600.0
COD,Democratic Republic of the Congo,IND,CR-,CR/LWAL/CDL+ERL/H:1/IND,TOTAL,994.0,61149820.0,20383274.0,0.0,218392.0,81533101.0,113733.0,0.0,220.0,280.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LWAL/CDL+ERL/H:1/RES,URBAN,11593.0,152959043.0,26992774.0,54870.0,695268.0,179951815.0,283061.0,11593.0,60.0,220.0
COD,Democratic Republic of the Congo,COM,CR-,CR/LWAL/CDL+ERL/H:2/COM,TOTAL,768.0,119749834.0,21132321.0,0.0,199583.0,140882159.0,108477.0,0.0,260.0,600.0
COD,Democratic Republic of the Congo,IND,CR-,CR/LWAL/CDL+ERL/H:2/IND,TOTAL,323.0,44433981.0,14811323.0,0.0,158693.0,59245299.0,82718.0,0.0,491.0,280.0
COD,Democratic Republic of the Congo,RES,CR-,CR/LWAL/CDL+ERL/H:2/RES,URBAN,39532.0,876650763.0,154703075.0,191918.0,3984776.0,1031353836.0,1623503.0,40549.0,101.0,220.0
