ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
DJI,Djibouti,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,784.0,6618963.0,6618963.0,13237926.0,0.0,0.0,101458.0,26475854.0,129.41071428571428,260.9538331132094
DJI,Djibouti,Com,ADO/E,MUR+ADO/LWAL+CDN/H:2/COM,392.0,6797117.0,6797117.0,13594236.0,0.0,0.0,101472.0,27188470.0,258.85714285714283,267.9406141595711
DJI,Djibouti,Com,ADO/E,MUR+ADO/LWAL+CDN/HBET:3-6/COM,15.0,898271.0,898271.0,1796543.0,0.0,0.0,12522.0,3593087.0,834.8,286.9419421817601
DJI,Djibouti,Com,MCF,MCF+CL/LWAL+CDL/H:1/COM,50.0,690920.0,829103.0,1243656.0,0.0,0.0,6354.0,2763680.0,127.08,434.9512118350645
DJI,Djibouti,Com,MCF,MCF+CL/LWAL+CDL/H:2/COM,23.0,671645.0,805973.0,1208961.0,0.0,0.0,6009.0,2686577.0,261.2608695652174,447.0921950407722
DJI,Djibouti,Com,MCF,MCF+CL/LWAL+CDL/HBET:3-6/COM,1.0,107057.0,128468.0,192702.0,0.0,0.0,891.0,428226.0,891.0,480.61279461279463
DJI,Djibouti,Com,MUR,MUR+CB/LWAL+CDN/H:1/COM,718.0,7582516.0,7582516.0,15165032.0,0.0,0.0,92995.0,30330062.0,129.51949860724233,326.14723372224313
DJI,Djibouti,Com,MUR,MUR+CB/LWAL+CDN/H:2/COM,357.0,7741781.0,7741781.0,15483568.0,0.0,0.0,92453.0,30967134.0,258.9719887955182,334.950017846906
DJI,Djibouti,Com,MUR,MUR+CB/LWAL+CDN/HBET:3-6/COM,14.0,1049378.0,1049378.0,2098759.0,0.0,0.0,11707.0,4197519.0,836.2142857142857,358.5477919193645
DJI,Djibouti,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,236.0,2479318.0,2479318.0,4958636.0,0.0,0.0,30403.0,9917269.0,128.82627118644066,326.19376377331184
DJI,Djibouti,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,115.0,2548509.0,2548509.0,5097023.0,0.0,0.0,30432.0,10194043.0,264.62608695652176,334.9777536803365
DJI,Djibouti,Com,MUR,MUR+CL/LWAL+CDN/HBET:3-6/COM,2.0,178576.0,178576.0,357151.0,0.0,0.0,1980.0,714303.0,990.0,360.7590909090909
DJI,Djibouti,Com,MUR,MUR+MO/LWAL+CDN/H:1/COM,48.0,498270.0,498270.0,996541.0,0.0,0.0,6112.0,1993078.0,127.33333333333333,326.09260471204186
DJI,Djibouti,Com,MUR,MUR+MO/LWAL+CDN/H:2/COM,23.0,484369.9999999999,484369.9999999999,968738.0,0.0,0.0,5780.0,1937474.0,251.30434782608697,335.2031141868512
DJI,Djibouti,Com,MUR,MUR+STDRE/LWAL+CDN/H:1/COM,48.0,498270.0,498270.0,996541.0,0.0,0.0,6112.0,1993078.0,127.33333333333333,326.09260471204186
DJI,Djibouti,Com,MUR,MUR+STDRE/LWAL+CDN/H:2/COM,23.0,484370.0,484370.0,968738.0,0.0,0.0,5780.0,1937474.0,251.30434782608697,335.2031141868512
DJI,Djibouti,Com,MUR,MUR+STRUB/LWAL+CDN/H:1/COM,155.0,1318100.0,1318100.0,2636202.0,0.0,0.0,20203.0,5272403.0,130.34193548387097,260.97129139236745
DJI,Djibouti,Com,MUR,MUR+STRUB/LWAL+CDN/H:2/COM,76.0,1360469.0,1360469.0,2720931.0,0.0,0.0,20310.0,5441868.0,267.2368421052632,267.9403249630724
DJI,Djibouti,Com,MUR,MUR+STRUB/LWAL+CDN/HBET:3-6/COM,1.0,94938.0,94938.0,189875.0,0.0,0.0,1316.0,379751.0,1316.0,288.5645896656535
DJI,Djibouti,Com,RC,CR/LFINF+CDL/H:1/COM,5.0,69952.0,93268.0,69952.0,0.0,0.0,506.0,233171.99999999997,101.2,460.8142292490118
DJI,Djibouti,Com,RC,CR/LFINF+CDL/H:2/COM,9.0,274360.0,365812.0,274360.0,0.0,0.0,1907.0,914534.0,211.88888888888889,479.5668589407446
DJI,Djibouti,Com,RC,CR/LFINF+CDL/H:3/COM,6.0,327874.0,437165.0,327874.0,0.0,0.0,2121.0,1092910.0,353.5,515.2805280528053
DJI,Djibouti,Com,RC,CR/LFINF+CDL/HBET:4-7/COM,1.0,132266.0,176355.0,132266.0,0.0,0.0,956.0,440887.0,956.0,461.17887029288704
DJI,Djibouti,Com,W,W+WLI/LWAL+CDL/H:1/COM,1643.0,22512690.0,25728788.0,16080495.0,0.0,0.0,213624.0,64321974.0,130.02069385270846,301.0990057296933
DJI,Djibouti,Com,W,W+WLI/LWAL+CDL/H:2/COM,277.0,7705006.0,8805721.0,5503573.0,0.0,0.0,71209.0,22014300.0,257.072202166065,309.15052872530157
