ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
ERI,Eritrea,ERI-ADM1-1590546715-B1,Anseba Region,Com,2500.0,34029713.0,35206732.0,62073653.0,3412.0,0.0,451135.0,131310107.0,180.454,291.06610438117195
ERI,Eritrea,ERI-ADM1-1590546715-B1,Anseba Region,Ind,553.0,13473542.0,10206984.0,15988798.0,553.0,0.0,159165.0,39669325.0,287.82097649186255,249.23397103634593
ERI,Eritrea,ERI-ADM1-1590546715-B1,Anseba Region,Res,91962.0,180006732.0,389901552.0,703958024.0,96109.0,462534.0,7249409.0,1273866313.0,78.83048433048432,175.72002255632148
ERI,Eritrea,ERI-ADM1-1590546715-B2,Gash-Barka Region,Com,4121.0,56390673.0,58356393.0,102792164.0,5637.0,0.0,746931.0,217539216.0,181.24993933511283,291.24405868815194
ERI,Eritrea,ERI-ADM1-1590546715-B2,Gash-Barka Region,Ind,930.0,22429610.0,16971129.0,26560941.0,930.0,0.0,264281.0,65961680.0,284.1731182795699,249.58918726658368
ERI,Eritrea,ERI-ADM1-1590546715-B2,Gash-Barka Region,Res,151547.0,296633799.0,642520277.0,1160055137.0,158383.0,762225.0,11946326.0,2099209196.0,78.8291817060054,175.72006623626376
ERI,Eritrea,ERI-ADM1-1590546715-B3,Debub Region,Com,4220.0,57750197.0,59780749.0,105222328.0,5768.0,0.0,764608.0,222753278.0,181.1867298578199,291.3300383987612
ERI,Eritrea,ERI-ADM1-1590546715-B3,Debub Region,Ind,948.0,22947136.0,17362708.0,27173785.0,948.0,0.0,270382.0,67483632.0,285.21308016877634,249.58625944034736
ERI,Eritrea,ERI-ADM1-1590546715-B3,Debub Region,Res,155040.0,303478083.0,657345261.0,1186821314.0,162040.0,779808.0,12221969.0,2147644666.0,78.8310694014448,175.72002236300878
ERI,Eritrea,ERI-ADM1-1590546715-B4,Maekel Region,Com,2842.0,39431938.0,41192823.0,71874897.0,3932.0,0.0,523852.0,152499650.0,184.32512315270935,291.11208891060835
ERI,Eritrea,ERI-ADM1-1590546715-B4,Maekel Region,Ind,659.0,16165426.0,12188377.0,18529420.0,659.0,0.0,185137.0,46883230.0,280.9362670713202,253.23533383386356
ERI,Eritrea,ERI-ADM1-1590546715-B4,Maekel Region,Res,104994.0,211728943.0,483003394.0,856199435.0,110865.0,533519.0,8519344.0,1550931768.0,81.1412461664476,182.04826193190462
ERI,Eritrea,ERI-ADM1-1590546715-B5,Northen Red Sea Region,Com,4946.0,67763819.0,70145302.0,123473239.0,6777.0,0.0,897245.0,261382353.0,181.40820865345734,291.3165891144559
ERI,Eritrea,ERI-ADM1-1590546715-B5,Northen Red Sea Region,Ind,1113.0,26913027.0,20363455.0,31870162.0,1113.0,0.0,317113.0,79146642.0,284.9173405211141,249.58498074818755
ERI,Eritrea,ERI-ADM1-1590546715-B5,Northen Red Sea Region,Res,181836.0,355927423.0,770952560.0,1391936598.0,190046.0,914580.0,14334262.0,2518816573.0,78.8307155898722,175.72000379231244
ERI,Eritrea,ERI-ADM1-1590546715-B6,Southern Red Sea Region,Com,479.0,6324299.0,6511576.0,11659935.0,651.0,0.0,84681.0,24495813.0,176.78705636743214,289.27165479859707
ERI,Eritrea,ERI-ADM1-1590546715-B6,Southern Red Sea Region,Ind,102.0,2274765.0,1732948.0,2687149.0,102.0,0.0,27025.0,6694864.0,264.95098039215685,247.72854764107308
ERI,Eritrea,ERI-ADM1-1590546715-B6,Southern Red Sea Region,Res,17945.0,35022472.0,75863055.0,137124623.0,18737.0,90177.0,1413319.0,248010146.0,78.75837280579549,175.4806565255261
