ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
SWZ,Eswatini,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,23.0,1444716.0,254950.0,0.0,3010.0,1699666.0,1491.0,0.0,131.0,480.0
SWZ,Eswatini,IND,CR-,CR/LFINF/CDL+ERL/H:1/IND,TOTAL,39.0,3674371.0,1224790.0,0.0,9186.0,4899161.0,4523.0,0.0,236.0,400.0
SWZ,Eswatini,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,URBAN,624.0,14955813.0,2639261.0,2193.0,37390.0,17595074.0,12817.0,624.0,60.0,400.0
SWZ,Eswatini,COM,CR-,CR/LFINF/CDL+ERL/H:2/COM,TOTAL,42.0,5320491.0,938910.0,0.0,11084.0,6259399.0,5496.0,0.0,264.0,480.0
SWZ,Eswatini,IND,CR-,CR/LFINF/CDL+ERL/H:2/IND,TOTAL,14.0,2671605.0,890537.0,0.0,6679.0,3562138.0,3291.0,0.0,477.0,400.0
SWZ,Eswatini,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,URBAN,2128.0,85717084.0,15126544.0,7672.0,214293.0,100843630.0,73509.0,2183.0,101.0,400.0
SWZ,Eswatini,COM,CR-,CR/LFINF/CDL+ERL/H:3/COM,TOTAL,27.0,5672240.0,1000982.0,0.0,11817.0,6673224.0,5864.0,0.0,438.0,480.0
SWZ,Eswatini,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,URBAN,1699.0,100075290.0,17660346.0,7663.0,250188.0,117735635.0,85884.0,2180.0,147.0,400.0
SWZ,Eswatini,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM,TOTAL,7.0,3788249.0,668515.0,0.0,7892.0,4456762.0,3925.0,0.0,1127.0,480.0
SWZ,Eswatini,RES,CR-,CR/LFINF/CDL+ERL/H:4-7/RES,URBAN,79.0,29911606.0,5278519.0,3287.0,74779.0,35190125.0,25726.0,935.0,947.0,400.0
SWZ,Eswatini,RES,CR-,CR/LFINF/CDL+ERL/H:>7/RES,URBAN,19.0,9347240.0,1649514.0,1094.0,23368.0,10996753.0,8051.0,311.0,1230.0,400.0
SWZ,Eswatini,COM,CR-,CR/LWAL/CDL+ERL/H:1/COM,TOTAL,10.0,649943.0,114695.0,0.0,1354.0,764640.0,735.0,0.0,135.0,480.0
SWZ,Eswatini,IND,CR-,CR/LWAL/CDL+ERL/H:1/IND,TOTAL,21.0,1837355.0,612450.0,0.0,4593.0,2449806.0,2392.0,0.0,219.0,400.0
SWZ,Eswatini,RES,CR-,CR/LWAL/CDL+ERL/H:1/RES,URBAN,311.0,7478406.0,1319719.0,1094.0,18696.0,8798124.0,7612.0,311.0,60.0,400.0
SWZ,Eswatini,COM,CR-,CR/LWAL/CDL+ERL/H:2/COM,TOTAL,20.0,2660843.0,469559.0,0.0,5543.0,3130404.0,3013.0,0.0,277.0,480.0
SWZ,Eswatini,IND,CR-,CR/LWAL/CDL+ERL/H:2/IND,TOTAL,7.0,829518.0,276505.0,0.0,2074.0,1106022.0,1081.0,0.0,296.0,400.0
