ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
ETH,Ethiopia,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,1159078.0,8916.0,69459410.0,69459410.0,138918832.0,0.0,0.0,277837656.0
ETH,Ethiopia,Com,ADO/E,MUR+ADO/LWAL+CDN/H:2/COM,1158668.0,4460.0,71292974.0,71292974.0,142585945.0,0.0,0.0,285171891.0
ETH,Ethiopia,Com,ADO/E,MUR+ADO/LWAL+CDN/HBET:3-6/COM,165699.0,186.0,10804512.0,10804512.0,21609025.0,0.0,0.0,43218053.0
ETH,Ethiopia,Com,MCF,MCF+CL/LWAL+CDL/H:1/COM,12106.0,94.0,1208825.0,1450591.0,2175886.0,0.0,0.0,4835303.0
ETH,Ethiopia,Com,MCF,MCF+CL/LWAL+CDL/H:2/COM,12122.0,48.0,1243198.0,1491837.0,2237757.0,0.0,0.0,4972794.0
ETH,Ethiopia,Com,MCF,MCF+CL/LWAL+CDL/HBET:3-6/COM,2280.0,3.0,251701.0,302041.0,453062.0,0.0,0.0,1006803.0
ETH,Ethiopia,Com,MCF,MCF+CL/LWAL+CDM/H:1/COM,23782.0,185.0,2374265.0,2849117.0,4273677.0,0.0,0.0,9497059.0
ETH,Ethiopia,Com,MCF,MCF+CL/LWAL+CDM/H:2/COM,23534.0,91.0,2413267.0,2895921.0,4343883.0,0.0,0.0,9653071.0
ETH,Ethiopia,Com,MCF,MCF+CL/LWAL+CDM/HBET:3-6/COM,6675.0,9.0,731461.0,877752.0,1316627.0,0.0,0.0,2925840.0
ETH,Ethiopia,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,307457.0,2366.0,23030334.0,23030334.0,46060662.0,0.0,0.0,92121328.0
ETH,Ethiopia,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,307030.0,1185.0,23615107.0,23615107.0,47230217.0,0.0,0.0,94460436.0
ETH,Ethiopia,Com,MUR,MUR+CL/LWAL+CDN/HBET:3-6/COM,41572.0,46.0,3402656.0,3402656.0,6805314.0,0.0,0.0,13610629.0
ETH,Ethiopia,Com,MUR,MUR+CLBLH/LWAL+CDN/H:1/COM,3373298.0,25951.0,252687989.0,252687989.0,505375991.0,0.0,0.0,1010751977.0
ETH,Ethiopia,Com,MUR,MUR+CLBLH/LWAL+CDN/H:2/COM,3373304.0,12973.0,259448654.0,259448654.0,518897311.0,0.0,0.0,1037794607.0
ETH,Ethiopia,Com,MUR,MUR+CLBLH/LWAL+CDN/HBET:3-6/COM,486837.0,545.0,39688826.0,39688826.0,79377648.0,0.0,0.0,158755293.0
ETH,Ethiopia,Com,MUR,MUR+STDRE+MOC/LWAL+CDN/H:1/COM,1516617.0,11666.0,113607063.0,113607063.0,227214125.0,0.0,0.0,454428249.0
ETH,Ethiopia,Com,MUR,MUR+STDRE+MOC/LWAL+CDN/H:2/COM,1516618.0,5831.0,116646616.0,116646616.0,233293233.0,0.0,0.0,466586459.0
ETH,Ethiopia,Com,MUR,MUR+STDRE+MOC/LWAL+CDN/HBET:3-6/COM,219384.0,247.0,17882940.0,17882940.0,35765883.0,0.0,0.0,71531766.0
ETH,Ethiopia,Com,MUR,MUR+STDRE+MOM/LWAL+CDN/H:1/COM,1308741.0,10067.0,98035503.0,98035503.0,196071001.0,0.0,0.0,392142006.0
ETH,Ethiopia,Com,MUR,MUR+STDRE+MOM/LWAL+CDN/H:2/COM,1308745.0,5036.0,100658437.0,100658437.0,201316875.0,0.0,0.0,402633756.0
ETH,Ethiopia,Com,MUR,MUR+STDRE+MOM/LWAL+CDN/HBET:3-6/COM,188889.0,212.0,15400644.0,15400644.0,30801292.0,0.0,0.0,61602578.0
ETH,Ethiopia,Com,MUR,MUR+STRUB+MOC/LWAL+CDN/H:1/COM,357226.0,2748.0,21407247.0,21407247.0,42814496.0,0.0,0.0,85628994.0
ETH,Ethiopia,Com,MUR,MUR+STRUB+MOC/LWAL+CDN/H:2/COM,357334.0,1379.0,21986569.0,21986569.0,43973133.0,0.0,0.0,87946264.0
ETH,Ethiopia,Com,MUR,MUR+STRUB+MOC/LWAL+CDN/HBET:3-6/COM,49066.0,55.0,3209193.0,3209193.0,6418388.0,0.0,0.0,12836776.0
ETH,Ethiopia,Com,MUR,MUR+STRUB+MOM/LWAL+CDN/H:1/COM,6650449.0,51155.0,398538664.0,398538664.0,797077331.0,0.0,0.0,1594154664.0
ETH,Ethiopia,Com,MUR,MUR+STRUB+MOM/LWAL+CDN/H:2/COM,6650481.0,25582.0,409203610.0,409203610.0,818407217.0,0.0,0.0,1636814431.0
ETH,Ethiopia,Com,MUR,MUR+STRUB+MOM/LWAL+CDN/HBET:3-6/COM,967363.0,1075.0,63059009.0,63059009.0,126118019.0,0.0,0.0,252236036.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDL/H:1/COM,2542.0,20.0,324806.0,433074.0,324806.0,0.0,0.0,1082683.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDL/H:2/COM,9430.0,36.0,1243198.0,1657599.0,1243198.0,0.0,0.0,4143995.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDL/H:3/COM,10268.0,24.0,1432499.0,1910000.0,1432499.0,0.0,0.0,4774998.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDL/HBET:4-7/COM,5570.0,5.0,707772.0,943696.0,707772.0,0.0,0.0,2359238.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDL/HBET:8+/COM,2145.0,1.0,391536.0,522048.0,391536.0,0.0,0.0,1305121.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDM/H:1/COM,5156.0,38.0,662123.0,882831.0,662123.0,0.0,0.0,2207075.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDM/H:2/COM,18304.0,68.0,2413267.0,3217689.0,2413267.0,0.0,0.0,8044226.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDM/H:3/COM,20399.0,45.0,2839570.0,3786093.0,2839570.0,0.0,0.0,9465234.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDM/HBET:4-7/COM,14075.0,12.0,1789434.0,2385912.0,1789434.0,0.0,0.0,5964782.0
ETH,Ethiopia,Com,RC,CR/LFINF+CDM/HBET:8+/COM,4165.0,1.0,760041.0,1013388.0,760041.0,0.0,0.0,2533469.0
ETH,Ethiopia,Com,W,W/LWAL+CDL/H:1/COM,6299301.0,48459.0,711434320.0,813067796.0,508167376.0,0.0,0.0,2032669487.0
ETH,Ethiopia,Com,W,W/LWAL+CDL/H:2/COM,6299195.0,24235.0,730456647.0,834807592.0,521754747.0,0.0,0.0,2087018986.0
ETH,Ethiopia,Com,W,W/LWAL+CDL/H:3/COM,3632934.0,8076.0,443314711.0,506645376.0,316653362.0,0.0,0.0,1266613450.0
ETH,Ethiopia,Com,W,W/LWAL+CDM/H:1/COM,12228169.0,94062.0,1381031026.0,1578321176.0,986450737.0,0.0,0.0,3945802937.0
ETH,Ethiopia,Com,W,W/LWAL+CDM/H:2/COM,12228036.0,47031.0,1417966299.0,1620532916.0,1012833071.0,0.0,0.0,4051332279.0
ETH,Ethiopia,Com,W,W/LWAL+CDM/H:3/COM,7053451.0,15672.0,860699644.0,983656737.0,614785461.0,0.0,0.0,2459141846.0
ETH,Ethiopia,Ind,MCF,MCF+CL/LWAL+CDL/H:1/IND,9445.0,43.0,1055389.0,753850.0,1206158.0,0.0,0.0,3015402.0
ETH,Ethiopia,Ind,MCF,MCF+CL/LWAL+CDL/H:2/IND,6018.0,13.0,672462.0,480329.0,768529.0,0.0,0.0,1921323.0
ETH,Ethiopia,Ind,MCF,MCF+CL/LWAL+CDM/H:1/IND,18339.0,85.0,2048700.0,1463356.0,2341371.0,0.0,0.0,5853426.0
ETH,Ethiopia,Ind,MCF,MCF+CL/LWAL+CDM/H:2/IND,13337.0,30.0,1489963.0,1064258.0,1702816.0,0.0,0.0,4257036.0
