ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Rural,Ind,MUR+CL/LWAL+CDN/H:1/IND,3.0,197774.0,88998.0,39554.0,69221.0,682.0,0,567.79,22.65,45.31
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,CR/LFINF+CDL/H:1/IND,3.0,335886.0,67177.0,100766.0,167943.0,669.0,0,238.54,14.049999999999999,23.43
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,MUR+CB/LWAL+CDN/H:1/IND,13.0,845588.0,380515.0,169118.0,295955.0,2918.0,0,1040.48,61.29,102.14
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,MUR+CB/LWAL+CDN/H:2/IND,4.0,614974.0,276739.0,122995.0,215240.0,2121.0,0,756.29,44.54,74.24
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,MUR+CL/LWAL+CDN/H:1/IND,15.0,880821.0,396370.0,176164.0,308287.0,3039.0,0,1083.62,63.84,106.38
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,MUR+CL/LWAL+CDN/H:2/IND,6.0,640596.0,288269.0,128119.0,224209.0,2210.0,0,788.02,46.41,77.36
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,S+SL/LFM+CDL/H:1/IND,3.0,226902.0,45381.0,79416.0,102106.0,497.0,0,177.22,10.43,17.4
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,S/LFM+CDL/H:1/IND,9.0,907606.0,181521.0,317662.0,408423.0,1988.0,0,708.86,41.76,69.58
GAB,Gabon,GAB-ADM1-1590546715-B1,Nyanga,Urban,Ind,S/LFM+CDL/H:2/IND,3.0,660077.0,132015.0,231027.0,297035.0,1445.0,0,515.26,30.35,50.59
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Rural,Ind,MUR+CL/LWAL+CDN/H:1/IND,6.0,414719.0,186623.0,82943.0,145152.0,1431.0,0,587.1,23.43,46.839999999999996
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Rural,Ind,MUR+CL/LWAL+CDN/H:2/IND,3.0,301613.0,135726.0,60323.0,105565.0,1040.0,0,426.68,17.01,34.05
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Rural,Ind,S+SL/LFM+CDL/H:1/IND,3.0,209119.0,41824.0,73192.0,94103.0,458.0,0,187.9,7.49,14.990000000000002
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,CR/LFINF+CDL/H:1/IND,6.0,704333.0,140866.0,211300.0,352166.0,1403.0,0,452.96,26.67,44.46
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,CR/LFINF+CDL/H:2/IND,3.0,512242.0,102448.0,153672.0,256120.0,1021.0,0,329.63,19.42,32.36
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,CR/LWAL+CDL/H:1/IND,3.0,192091.0,38418.0,57627.0,96046.0,382.0,0,123.33,7.27,12.100000000000001
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MCF+CB/LWAL+CDL/H:1/IND,3.0,160075.0,56027.0,40018.0,64031.0,382.0,0,123.33,7.27,12.100000000000001
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MCF+CL/LWAL+CDL/H:1/IND,3.0,266793.0,93378.0,66698.0,106717.0,637.0,0,205.66,12.11,20.2
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MUR+CB/LWAL+CDN/H:1/IND,27.0,1773145.0,797915.0,354630.0,620601.0,6118.0,0,1975.25,116.36,193.91000000000003
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MUR+CB/LWAL+CDN/H:2/IND,9.0,1289559.0,580302.0,257912.0,451346.0,4449.0,0,1436.4099999999999,84.61,141.01
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MUR+CL/LWAL+CDN/H:1/IND,30.0,1847027.0,831162.0,369405.0,646458.0,6373.0,0,2057.58,121.19,201.98000000000002
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MUR+CL/LWAL+CDN/H:2/IND,9.0,1343293.0,604481.0,268659.0,470153.0,4636.0,0,1496.77,88.17,146.93
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,MUR+STDRE/LWAL+CDN/H:1/IND,1.0,28160.0,12672.0,5632.0,9856.0,113.0,0,36.48,2.15,3.58
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,S+SL/LFM+CDL/H:1/IND,6.0,475798.0,95160.0,166529.0,214110.0,1042.0,0,336.41,19.810000000000002,33.02
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,S+SL/LFM+CDL/H:2/IND,3.0,346034.0,69207.0,121113.0,155715.0,758.0,0,244.71999999999997,14.41,24.02
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,S/LFM+CDL/H:1/IND,18.0,1903191.0,380639.0,666118.0,856437.0,4167.0,0,1345.35,79.25,132.07
GAB,Gabon,GAB-ADM1-1590546715-B2,Ngounie,Urban,Ind,S/LFM+CDL/H:2/IND,6.0,1384139.0,276828.0,484449.0,622863.0,3031.0,0,978.59,57.65,96.08
