ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
GAB,Gabon,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,99.0,6351799.0,1587949.0,0.0,11985.0,7939746.0,5937.0,0.0,121.0,530.0
GAB,Gabon,IND,CR-,CR/LFINF/CDL+ERL/H:1/IND,TOTAL,154.0,15475496.0,5158500.0,0.0,33642.0,20633999.0,16564.0,0.0,218.0,460.0
GAB,Gabon,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,URBAN,2211.0,62373030.0,15593260.0,8105.0,132709.0,77966290.0,45491.0,2211.0,60.0,470.0
GAB,Gabon,COM,CR-,CR/LFINF/CDL+ERL/H:2/COM,TOTAL,175.0,23085524.0,5771379.0,0.0,43558.0,28856905.0,21596.0,0.0,249.0,530.0
GAB,Gabon,IND,CR-,CR/LFINF/CDL+ERL/H:2/IND,TOTAL,53.0,10087872.0,3362622.0,0.0,21930.0,13450499.0,10807.0,0.0,414.0,460.0
GAB,Gabon,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,URBAN,7548.0,357474804.0,89368700.0,28376.0,760585.0,446843504.0,260905.0,7741.0,101.0,470.0
GAB,Gabon,COM,CR-,CR/LFINF/CDL+ERL/H:3/COM,TOTAL,104.0,24689744.0,6172435.0,0.0,46584.0,30862178.0,23115.0,0.0,448.0,530.0
GAB,Gabon,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,URBAN,6030.0,417356031.0,104339003.0,28368.0,887992.0,521695036.0,304829.0,7739.0,147.0,470.0
GAB,Gabon,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM,TOTAL,31.0,16534771.0,4133693.0,0.0,31198.0,20668463.0,15517.0,0.0,1006.0,530.0
GAB,Gabon,RES,CR-,CR/LFINF/CDL+ERL/H:4-7/RES,URBAN,276.0,124746074.0,31186518.0,12158.0,265417.0,155932591.0,91309.0,3317.0,962.0,470.0
GAB,Gabon,COM,CR-,CR/LFINF/CDL+ERL/H:>7/COM,TOTAL,3.0,3890543.0,972635.0,0.0,7341.0,4863178.0,3657.0,0.0,2447.0,530.0
GAB,Gabon,RES,CR-,CR/LFINF/CDL+ERL/H:>7/RES,URBAN,69.0,38983059.0,9745765.0,4053.0,82943.0,48728823.0,28575.0,1106.0,1202.0,470.0
GAB,Gabon,COM,CR-,CR/LWAL/CDL+ERL/H:1/COM,TOTAL,30.0,1747206.0,436800.0,0.0,3297.0,2184005.0,1790.0,0.0,110.0,530.0
GAB,Gabon,IND,CR-,CR/LWAL/CDL+ERL/H:1/IND,TOTAL,34.0,3413005.0,1137667.0,0.0,7420.0,4550673.0,3864.0,0.0,218.0,460.0
GAB,Gabon,RES,CR-,CR/LWAL/CDL+ERL/H:1/RES,URBAN,739.0,20791180.0,5197795.0,2711.0,44237.0,25988975.0,18010.0,739.0,60.0,470.0
GAB,Gabon,COM,CR-,CR/LWAL/CDL+ERL/H:2/COM,TOTAL,56.0,6575463.0,1643865.0,0.0,12407.0,8219326.0,6743.0,0.0,222.0,530.0
GAB,Gabon,IND,CR-,CR/LWAL/CDL+ERL/H:2/IND,TOTAL,7.0,1802251.0,600752.0,0.0,3918.0,2403001.0,2042.0,0.0,560.0,460.0
GAB,Gabon,RES,CR-,CR/LWAL/CDL+ERL/H:2/RES,URBAN,2517.0,119159048.0,29789760.0,9450.0,253530.0,148948808.0,103295.0,2578.0,101.0,470.0
GAB,Gabon,COM,CR-,CR/LWAL/CDL+ERL/H:3/COM,TOTAL,35.0,7671121.0,1917779.0,0.0,14474.0,9588901.0,7873.0,0.0,414.0,530.0
GAB,Gabon,RES,CR-,CR/LWAL/CDL+ERL/H:3/RES,URBAN,2012.0,139117338.0,34779335.0,9462.0,295994.0,173896674.0,120685.0,2581.0,147.0,470.0
