ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
GHA,Ghana,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,1929.0,115138800.0,20318614.0,0.0,250302.0,135457407.0,124005.0,0.0,130.0,460.0
GHA,Ghana,IND,CR-,CR/LFINF/CDL+ERL/H:1/IND,TOTAL,5470.0,409369472.0,136456493.0,0.0,1204028.0,545825961.0,592799.0,0.0,220.0,340.0
GHA,Ghana,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,URBAN,48086.0,663595068.0,117105013.0,176307.0,2885196.0,780700081.0,989001.0,48086.0,60.0,230.0
GHA,Ghana,COM,CR-,CR/LFINF/CDL+ERL/H:2/COM,TOTAL,3367.0,403003654.0,71118293.0,0.0,876095.0,474121942.0,434377.0,0.0,260.0,460.0
GHA,Ghana,IND,CR-,CR/LFINF/CDL+ERL/H:2/IND,TOTAL,1823.0,297701070.0,99233694.0,0.0,875591.0,396934760.0,431483.0,0.0,480.0,340.0
GHA,Ghana,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,URBAN,164096.0,3803226789.0,671157668.0,617064.0,16535769.0,4474384458.0,5672297.0,168299.0,101.0,230.0
GHA,Ghana,COM,CR-,CR/LFINF/CDL+ERL/H:3/COM,TOTAL,2243.0,465005077.0,82059719.0,0.0,1010881.0,547064795.0,501597.0,0.0,451.0,460.0
GHA,Ghana,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,URBAN,131135.0,4440316926.0,783585343.0,617083.0,19305726.0,5223902267.0,6627252.0,168304.0,147.0,230.0
GHA,Ghana,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM,TOTAL,576.0,317795524.0,56081563.0,0.0,690860.0,373877087.0,343606.0,0.0,1199.0,460.0
GHA,Ghana,RES,CR-,CR/LFINF/CDL+ERL/H:4-7/RES,URBAN,6011.0,1327190145.0,234210025.0,264460.0,5770392.0,1561400174.0,1985133.0,72129.0,960.0,230.0
GHA,Ghana,COM,CR-,CR/LFINF/CDL+ERL/H:>7/COM,TOTAL,99.0,140402170.0,24776854.0,0.0,305222.0,165179028.0,152042.0,0.0,3083.0,460.0
GHA,Ghana,RES,CR-,CR/LFINF/CDL+ERL/H:>7/RES,URBAN,1502.0,414726484.0,73187025.0,88154.0,1803159.0,487913516.0,621215.0,24043.0,1201.0,230.0
GHA,Ghana,COM,CR-,CR/LWAL/CDL+ERL/H:1/COM,TOTAL,631.0,37858623.0,6680934.0,0.0,82301.0,44539555.0,44696.0,0.0,130.0,460.0
GHA,Ghana,IND,CR-,CR/LWAL/CDL+ERL/H:1/IND,TOTAL,1805.0,134779895.0,44926633.0,0.0,396411.0,179706533.0,206441.0,0.0,220.0,340.0
GHA,Ghana,RES,CR-,CR/LWAL/CDL+ERL/H:1/RES,URBAN,15847.0,218687633.0,38591935.0,58102.0,950816.0,257279566.0,387101.0,15847.0,60.0,230.0
GHA,Ghana,COM,CR-,CR/LWAL/CDL+ERL/H:2/COM,TOTAL,1109.0,132723309.0,23421762.0,0.0,288529.0,156145069.0,156820.0,0.0,260.0,460.0
GHA,Ghana,IND,CR-,CR/LWAL/CDL+ERL/H:2/IND,TOTAL,601.0,97991322.0,32663773.0,0.0,288210.0,130655097.0,150228.0,0.0,480.0,340.0
GHA,Ghana,RES,CR-,CR/LWAL/CDL+ERL/H:2/RES,URBAN,54077.0,1253357001.0,221180646.0,203353.0,5449378.0,1474537649.0,2220220.0,55464.0,101.0,230.0
GHA,Ghana,COM,CR-,CR/LWAL/CDL+ERL/H:3/COM,TOTAL,744.0,153125179.0,27022090.0,0.0,332881.0,180147272.0,181071.0,0.0,447.0,460.0
GHA,Ghana,RES,CR-,CR/LWAL/CDL+ERL/H:3/RES,URBAN,43216.0,1463312849.0,258231678.0,203351.0,6362230.0,1721544535.0,2594060.0,55463.0,147.0,230.0
GHA,Ghana,COM,CR-,CR/LWAL/CDL+ERL/H:4-7/COM,TOTAL,186.0,104702018.0,18476827.0,0.0,227613.0,123178847.0,124109.0,0.0,1224.0,460.0
GHA,Ghana,RES,CR-,CR/LWAL/CDL+ERL/H:4-7/RES,URBAN,1983.0,437376368.0,77184064.0,87151.0,1901636.0,514560431.0,777072.0,23770.0,959.0,230.0
GHA,Ghana,COM,CR-,CR/LWAL/CDL+ERL/H:>7/COM,TOTAL,31.0,42824792.0,7557318.0,0.0,93097.0,50382107.0,50844.0,0.0,3003.0,460.0
GHA,Ghana,RES,CR-,CR/LWAL/CDL+ERL/H:>7/RES,URBAN,494.0,136680359.0,24120061.0,29049.0,594262.0,160800422.0,243194.0,7923.0,1203.0,230.0
GHA,Ghana,RES,ADO|ST|E,E+ETO/LWAL/CDN+ERN/H:1/RES,RURAL,487005.0,1168811150.0,206260793.0,1790836.0,29220279.0,1375071945.0,2610714.0,487005.0,60.0,40.0
GHA,Ghana,RES,ADO|ST|E,E+ETO/LWAL/CDN+ERN/H:1/RES,URBAN,772784.0,4173035305.0,736417997.0,2841717.0,46367059.0,4909453295.0,4142710.0,772784.0,60.0,90.0
GHA,Ghana,RES,OT,INF/LN/CDN+ERN/H:1/EWV/RES,RURAL,26054.0,78163805.0,13793612.0,95938.0,1563276.0,91957416.0,20872.0,26054.0,60.0,50.0
GHA,Ghana,RES,OT,INF/LN/CDN+ERN/H:1/EWV/RES,URBAN,41345.0,372094672.0,65663766.0,152244.0,2480631.0,437758438.0,33120.0,41345.0,60.0,150.0
GHA,Ghana,RES,OT,MATO/LN/CDN+ERN/H:1/RES,URBAN,59503.0,535531798.0,94505613.0,218364.0,3570212.0,630037411.0,1640368.0,59503.0,60.0,150.0
GHA,Ghana,RES,OT,MATO/LN/CDN+ERN/H:1/RES,RURAL,37498.0,112496366.0,19852302.0,137608.0,2249927.0,132348666.0,1033751.0,37498.0,60.0,50.0
GHA,Ghana,COM,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:1/COM,TOTAL,8557.0,511994624.0,127998650.0,0.0,1113032.0,639993281.0,619998.0,0.0,130.0,460.0
GHA,Ghana,IND,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:1/IND,TOTAL,5403.0,404338991.0,134779666.0,0.0,1189232.0,539118653.0,664690.0,0.0,220.0,340.0
GHA,Ghana,RES,MR|MCF,MCF+CB/LWAL/CDL+ERL/H:1/RES,URBAN,213935.0,2952290692.0,520992473.0,784375.0,12836046.0,3473283168.0,5047391.0,213935.0,60.0,230.0
