ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,641.0,28948143.0,14474071.0,7237036.0,7237036.0,83358.0,0,21059.64,1939.81,3879.62
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,320.0,29722649.0,14861325.0,7430662.0,7430662.0,83358.0,0,21059.629999999997,1939.81,3879.62
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+ADO/LWAL+CDN/HBET:3-6/COM,13.0,4588735.0,2294367.0,1147183.0,1147183.0,12149.0,0,3069.33,282.72,565.44
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,185.0,10474657.0,5237328.0,2618664.0,2618664.0,24129.0,0,6095.969999999999,561.5,1123.0
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+CB/LWAL+CDN/H:2/COM,93.0,10754906.0,5377453.0,2688727.0,2688727.0,24130.0,0,6096.219999999999,561.52,1123.0500000000002
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,3.0,1434599.0,717299.0,358650.0,358650.0,2989.0,0,755.14,69.56,139.11
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,67.0,3808966.0,1904483.0,952241.0,952241.0,8775.0,0,2216.92,204.21,408.4
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+CL/LWAL+CDN/H:2/COM,33.0,3910875.0,1955438.0,977718.0,977718.0,8775.0,0,2216.92,204.20000000000002,408.40000000000003
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+CL/LWAL+CDN/HBET:3-6/COM,1.0,521672.0,260836.0,130418.0,130418.0,1087.0,0,274.62,25.3,50.59
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,8.0,361894.0,180947.0,90473.0,90473.0,1042.0,0,263.25,24.25,48.49
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,MUR+STRUB/LWAL+CDN/H:2/COM,5.0,391087.0,195544.0,97772.0,97772.0,1097.0,0,277.15,25.54,51.05
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,W/LWAL+CDL/H:1/COM,28.0,1727142.0,431786.0,690858.0,604499.0,3695.0,0,933.51,85.99,171.97
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,W/LWAL+CDL/H:2/COM,15.0,1773352.0,443338.0,709340.0,620673.0,3695.0,0,933.5,85.98,171.97000000000003
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Rural,Com,W/LWAL+CDL/H:3/COM,4.0,881256.0,220314.0,352502.0,308440.0,1705.0,0,430.75,39.68,79.35
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,CR/LFINF+CDL/H:1/COM,8.0,683553.0,205066.0,273421.0,205066.0,1102.0,0,288.75,25.65,64.13
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,CR/LFINF+CDL/H:2/COM,15.0,2585433.0,775630.0,1034173.0,775630.0,4060.0,0,1063.8,94.5,236.25
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,CR/LFINF+CDL/H:3/COM,10.0,3139176.0,941753.0,1255671.0,941753.0,4686.0,0,1227.83,109.08,272.69
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,CR/LFINF+CDL/HBET:4-7/COM,2.0,1774170.0,532251.0,709668.0,532251.0,2891.0,0,757.5,67.29,168.23
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MCF+CB/LWAL+CDL/H:1/COM,27.0,2060233.0,927105.0,618070.0,515059.0,3560.0,0,932.79,82.87,207.17000000000002
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MCF+CB/LWAL+CDL/H:2/COM,13.0,2115354.0,951910.0,634606.0,528839.0,3560.0,0,932.78,82.87,207.17000000000002
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MCF+CB/LWAL+CDL/HBET:3-6/COM,1.0,595687.0,268059.0,178706.0,148922.0,931.0,0,243.94,21.67,54.18
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MCF+CL/LWAL+CDL/H:1/COM,13.0,961442.0,432649.0,288433.0,240360.0,1661.0,0,435.22,38.66,96.66
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MCF+CL/LWAL+CDL/H:2/COM,7.0,987166.0,444225.0,296149.0,246791.0,1660.0,0,434.95,38.650000000000006,96.6
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,251.0,11308389.0,5654196.0,2827097.0,2827097.0,32563.0,0,8532.11,757.97,1894.92
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,125.0,11610945.0,5805473.0,2902736.0,2902736.0,32563.0,0,8532.11,757.96,1894.93
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+ADO/LWAL+CDN/HBET:3-6/COM,5.0,1713241.0,856620.0,428310.0,428310.0,4509.0,0,1181.44,104.96000000000001,262.39
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,232.0,13048143.0,6524071.0,3262035.0,3262035.0,30059.0,0,7876.01,699.69,1749.21
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+CB/LWAL+CDN/H:2/COM,115.0,13397245.0,6698622.0,3349312.0,3349312.0,30058.0,0,7875.76,699.6600000000001,1749.15
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,4.0,1787061.0,893530.0,446765.0,446765.0,3724.0,0,975.76,86.68,216.71
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+CL/LWAL+CDN/H:1/COM,108.0,6089134.0,3044566.0,1522283.0,1522283.0,14027.0,0,3675.34,326.51,816.26
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+CL/LWAL+CDN/H:2/COM,55.0,6252047.0,3126024.0,1563012.0,1563012.0,14027.0,0,3675.34,326.51000000000005,816.27
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+CL/LWAL+CDN/HBET:3-6/COM,2.0,833962.0,416981.0,208490.0,208490.0,1738.0,0,455.39,40.46,101.14
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+STDRE/LWAL+CDN/H:1/COM,57.0,3262035.0,1631018.0,815508.0,815508.0,7515.0,0,1969.0700000000002,174.93,437.30999999999995
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+STDRE/LWAL+CDN/H:2/COM,30.0,3349312.0,1674655.0,837328.0,837328.0,7515.0,0,1969.07,174.93,437.32
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,MUR+STDRE/LWAL+CDN/HBET:3-6/COM,1.0,446765.0,223383.0,111691.0,111691.0,931.0,0,243.94,21.67,54.18
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,W/LWAL+CDL/H:1/COM,8.0,468449.0,117112.0,187379.0,163957.0,1002.0,0,262.54,23.33,58.31
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,W/LWAL+CDL/H:2/COM,5.0,506239.0,126559.0,202496.0,177183.0,1055.0,0,276.42999999999995,24.55,61.4
GNB,Guinea Bissau,GNB-ADM1-1590546715-B1,Bissau,Urban,Com,W/LWAL+CDL/H:3/COM,1.0,251572.0,62893.0,100629.0,88050.0,487.0,0,127.6,11.34,28.34
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,303.0,13667366.0,6833683.0,3416842.0,3416842.0,39356.0,0,9972.300000000001,918.55,1837.1
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,152.0,14033036.0,7016519.0,3508259.0,3508259.0,39355.0,0,9972.05,918.5300000000001,1837.0500000000002
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+ADO/LWAL+CDN/HBET:3-6/COM,6.0,2070630.0,1035314.0,517657.0,517657.0,5450.0,0,1380.95,127.2,254.4
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,87.0,4945429.0,2472714.0,1236357.0,1236357.0,11393.0,0,2886.84,265.9,531.8199999999999
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+CB/LWAL+CDN/H:2/COM,45.0,5077743.0,2538872.0,1269436.0,1269436.0,11393.0,0,2886.83,265.90999999999997,531.8199999999999
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,2.0,677321.0,338660.0,169330.0,169330.0,1411.0,0,357.53,32.93,65.86
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,32.0,1798337.0,899169.0,449585.0,449585.0,4143.0,0,1049.78,96.69,193.39
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+CL/LWAL+CDN/H:2/COM,15.0,1846452.0,923226.0,461613.0,461613.0,4143.0,0,1049.78,96.69,193.39999999999998
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+CL/LWAL+CDN/HBET:3-6/COM,1.0,246299.0,123149.0,61575.0,61575.0,513.0,0,129.99,11.97,23.95
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,4.0,170862.0,85431.0,42716.0,42716.0,491.0,0,124.42,11.459999999999999,22.919999999999998
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,MUR+STRUB/LWAL+CDN/H:2/COM,2.0,148758.0,74379.0,37190.0,37190.0,414.0,0,104.9,9.66,19.32
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,W/LWAL+CDL/H:1/COM,13.0,815440.0,203861.0,326176.0,285405.0,1744.0,0,441.90999999999997,40.71,81.41
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,W/LWAL+CDL/H:2/COM,7.0,837258.0,209314.0,334903.0,293040.0,1745.0,0,442.15000000000003,40.73,81.44999999999999
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Rural,Com,W/LWAL+CDL/H:3/COM,2.0,416070.0,104017.0,166428.0,145624.0,805.0,0,203.98,18.79,37.58
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,CR/LFINF+CDL/H:1/COM,4.0,322728.0,96819.0,129092.0,96819.0,520.0,0,138.62,12.31,30.79
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,CR/LFINF+CDL/H:2/COM,7.0,1220668.0,366200.0,488267.0,366200.0,1917.0,0,511.03999999999996,45.39,113.5
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,CR/LFINF+CDL/H:3/COM,4.0,1213206.0,363962.0,485283.0,363962.0,1770.0,0,471.86,41.92,104.8
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,CR/LFINF+CDL/HBET:4-7/COM,1.0,837644.0,251293.0,335058.0,251293.0,1365.0,0,363.89,32.33,80.82
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,MCF+CB/LWAL+CDL/H:1/COM,13.0,972703.0,437717.0,291811.0,243176.0,1680.0,0,447.87,39.79,99.47
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,MCF+CB/LWAL+CDL/H:2/COM,7.0,998728.0,449428.0,299618.0,249682.0,1680.0,0,447.87,39.78,99.47
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,MCF+CL/LWAL+CDL/H:1/COM,6.0,431282.0,194076.0,129385.0,107820.0,745.0,0,198.61,17.64,44.1
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,MCF+CL/LWAL+CDL/H:2/COM,3.0,466072.0,209733.0,139822.0,116518.0,785.0,0,209.26999999999998,18.6,46.480000000000004
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,119.0,5339061.0,2669531.0,1334765.0,1334765.0,15375.0,0,4098.780000000001,364.12,910.3100000000001
GNB,Guinea Bissau,GNB-ADM1-1590546715-B2,Bafat�,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,60.0,5481908.0,2740954.0,1370477.0,1370477.0,15375.0,0,4098.78,364.12,910.3
