ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,3109.0,96641503.0,48320751.0,24160376.0,24160376.0,404286.0,0,108691.14,9824.96,19649.93
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,1555.0,99227143.0,49613572.0,24806786.0,24806786.0,404285.0,0,108690.87,9824.95,19649.879999999997
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+ADO/LWAL+CDN/HBET:3-6/COM,66.0,15319196.0,7659597.0,3829799.0,3829799.0,58924.0,0,15841.55,1431.97,2863.94
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,900.0,34968966.0,17484482.0,8742241.0,8742241.0,117031.0,0,31463.45,2844.1,5688.18
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+CB/LWAL+CDN/H:2/COM,450.0,35904559.0,17952279.0,8976140.0,8976140.0,117030.0,0,31463.18,2844.07,5688.13
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+CB/LWAL+CDN/HBET:3-6/COM,19.0,5543130.0,2771565.0,1385783.0,1385783.0,17057.0,0,4585.7300000000005,414.52,829.04
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,327.0,12715988.0,6357993.0,3178997.0,3178997.0,42557.0,0,11441.33,1034.22,2068.4400000000005
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+CL/LWAL+CDN/H:2/COM,163.0,13056203.0,6528102.0,3264051.0,3264051.0,42557.0,0,11441.32,1034.21,2068.45
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+CL/LWAL+CDN/HBET:3-6/COM,7.0,1926494.0,963247.0,481623.0,481623.0,5892.0,0,1584.05,143.19,286.37
CIV,Ivory Coast,CIV-ADM1-1590546715-B1,Bas-Sassandra,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,41.0,1271599.0,635800.0,317900.0,317900.0,5320.0,0,1430.27,129.28,258.57
