ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
NAM,Namibia,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,354.0,25677287.0,4531288.0,0.0,45852.0,30208576.0,22716.0,0.0,130.0,560.0
NAM,Namibia,IND,CR-,CR/LFINF/CDL+ERL/H:1/IND,TOTAL,378.0,39033636.0,13011210.0,0.0,83050.0,52044846.0,40890.0,0.0,220.0,470.0
NAM,Namibia,RES,CR-,CR/LFINF/CDL+ERL/H:1/RES,URBAN,3485.0,98298318.0,17346761.0,14583.0,209145.0,115645081.0,71692.0,3485.0,60.0,470.0
NAM,Namibia,COM,CR-,CR/LFINF/CDL+ERL/H:2/COM,TOTAL,177.0,25838371.0,4559713.0,0.0,46140.0,30398085.0,22877.0,0.0,261.0,560.0
NAM,Namibia,IND,CR-,CR/LFINF/CDL+ERL/H:2/IND,TOTAL,124.0,28389979.0,9463329.0,0.0,60404.0,37853300.0,29767.0,0.0,487.0,470.0
NAM,Namibia,RES,CR-,CR/LFINF/CDL+ERL/H:2/RES,URBAN,3397.0,160965906.0,28405749.0,14568.0,342481.0,189371652.0,117482.0,3481.0,101.0,470.0
NAM,Namibia,COM,CR-,CR/LFINF/CDL+ERL/H:3/COM,TOTAL,173.0,43641351.0,7701413.0,0.0,77931.0,51342765.0,38669.0,0.0,450.0,560.0
NAM,Namibia,RES,CR-,CR/LFINF/CDL+ERL/H:3/RES,URBAN,4078.0,281895892.0,49746336.0,21896.0,599778.0,331642223.0,205892.0,5232.0,147.0,470.0
NAM,Namibia,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM,TOTAL,357.0,238493310.0,42087054.0,0.0,425881.0,280580363.0,211816.0,0.0,1193.0,560.0
NAM,Namibia,RES,CR-,CR/LFINF/CDL+ERL/H:4-7/RES,URBAN,1450.0,655330402.0,115646542.0,72937.0,1394320.0,770976945.0,479675.0,17430.0,962.0,470.0
