ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
SYC,Seychelles,SYC-ADM1-1590546715-B1,Outer Isla,Rural,Com,W/LWAL+CDL/H:1/COM,1.0,44124.0,8825.0,17650.0,17650.0,86.0,0,102.0,11.0,22.0
SYC,Seychelles,SYC-ADM1-1590546715-B1,Outer Isla,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,1.0,30726.0,13826.0,7681.0,9218.0,82.0,0,66.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B1,Outer Isla,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,1.0,41413.0,18636.0,10353.0,12424.0,88.0,0,71.0,7.0,18.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,4.0,224892.0,101202.0,56223.0,67468.0,574.0,0,107.0,11.0,23.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,2.0,195798.0,88109.0,48950.0,58739.0,484.0,0,90.0,10.0,19.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,1.0,73441.0,33049.0,18360.0,22032.0,156.0,0,29.0,3.0,6.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,1.0,73441.0,33049.0,18360.0,22032.0,156.0,0,29.0,3.0,6.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,3.0,130200.0,58590.0,32551.0,39060.0,333.0,0,62.0,7.0,13.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,MUR+STRUB/LWAL+CDN/H:2/COM,2.0,113357.0,51011.0,28339.0,34007.0,280.0,0,52.0,6.0,11.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,W/LWAL+CDL/H:1/COM,7.0,474842.0,94969.0,189937.0,189937.0,892.0,0,166.0,18.0,35.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,W/LWAL+CDL/H:2/COM,3.0,513146.0,102630.0,205259.0,205259.0,938.0,0,175.0,19.0,37.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Rural,Com,W/LWAL+CDL/H:3/COM,1.0,255005.0,51001.0,102002.0,102002.0,433.0,0,81.0,9.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MCF+CB/LWAL+CDL/H:1/COM,1.0,49898.0,19959.0,14969.0,14969.0,79.0,0,16.0,2.0,4.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,7.0,330652.0,148794.0,82663.0,99196.0,845.0,0,172.0,17.0,44.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,3.0,357326.0,160797.0,89331.0,107198.0,890.0,0,181.0,18.0,46.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,7.0,445663.0,200548.0,111416.0,133699.0,911.0,0,185.0,19.0,47.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+CB/LWAL+CDN/H:2/COM,3.0,481613.0,216727.0,120403.0,144484.0,960.0,0,195.0,20.0,50.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+CL/LWAL+CDN/H:1/COM,3.0,186891.0,84101.0,46722.0,56068.0,383.0,0,78.0,8.0,20.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+CL/LWAL+CDN/H:2/COM,2.0,162713.0,73221.0,40678.0,48814.0,322.0,0,65.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,MUR+STDRE/LWAL+CDN/H:1/COM,3.0,143762.0,64693.0,35941.0,43129.0,294.0,0,60.0,6.0,15.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,W/LWAL+CDL/H:1/COM,3.0,214214.0,42843.0,85685.0,85685.0,402.0,0,82.0,8.0,21.0
SYC,Seychelles,SYC-ADM1-1590546715-B10,Baie Lazar,Urban,Com,W/LWAL+CDL/H:2/COM,2.0,186501.0,37300.0,74600.0,74600.0,338.0,0,69.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,4.0,225871.0,101642.0,56468.0,67761.0,577.0,0,107.0,11.0,23.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,2.0,196650.0,88493.0,49163.0,58995.0,486.0,0,90.0,10.0,19.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,1.0,73761.0,33192.0,18440.0,22128.0,157.0,0,29.0,3.0,6.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,1.0,73761.0,33192.0,18440.0,22128.0,157.0,0,29.0,3.0,6.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,3.0,130767.0,58846.0,32692.0,39230.0,334.0,0,62.0,7.0,13.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,MUR+STRUB/LWAL+CDN/H:2/COM,2.0,113850.0,51232.0,28463.0,34155.0,282.0,0,52.0,6.0,11.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,W/LWAL+CDL/H:1/COM,7.0,476908.0,95382.0,190762.0,190762.0,896.0,0,167.0,18.0,35.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,W/LWAL+CDL/H:2/COM,3.0,515379.0,103076.0,206151.0,206151.0,942.0,0,175.0,19.0,37.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Rural,Com,W/LWAL+CDL/H:3/COM,1.0,256114.0,51223.0,102446.0,102446.0,435.0,0,81.0,9.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MCF+CB/LWAL+CDL/H:1/COM,1.0,50115.0,20046.0,15035.0,15035.0,80.0,0,16.0,2.0,4.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,7.0,332091.0,149441.0,83023.0,99627.0,848.0,0,172.0,18.0,44.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,3.0,358880.0,161496.0,89720.0,107663.0,893.0,0,182.0,18.0,46.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,7.0,447601.0,201421.0,111900.0,134280.0,915.0,0,186.0,19.0,47.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+CB/LWAL+CDN/H:2/COM,3.0,483709.0,217669.0,120926.0,145113.0,963.0,0,196.0,20.0,50.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+CL/LWAL+CDN/H:1/COM,3.0,187704.0,84467.0,46926.0,56311.0,384.0,0,78.0,8.0,20.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+CL/LWAL+CDN/H:2/COM,2.0,163420.0,73539.0,40856.0,49026.0,324.0,0,66.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,MUR+STDRE/LWAL+CDN/H:1/COM,3.0,144387.0,64975.0,36097.0,43316.0,295.0,0,60.0,6.0,15.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,W/LWAL+CDL/H:1/COM,3.0,215145.0,43029.0,86059.0,86059.0,404.0,0,82.0,8.0,21.0
SYC,Seychelles,SYC-ADM1-1590546715-B11,Beau Vallo,Urban,Com,W/LWAL+CDL/H:2/COM,2.0,187313.0,37463.0,74925.0,74925.0,340.0,0,69.0,7.0,18.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,3.0,147518.0,66383.0,36880.0,44256.0,377.0,0,80.0,9.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,2.0,128434.0,57796.0,32109.0,38531.0,318.0,0,68.0,7.0,14.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,1.0,48174.0,21678.0,12043.0,14452.0,102.0,0,22.0,2.0,5.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,1.0,48174.0,21678.0,12043.0,14452.0,102.0,0,22.0,2.0,5.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,1.0,60562.0,27253.0,15140.0,18168.0,161.0,0,34.0,4.0,7.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,W/LWAL+CDL/H:1/COM,4.0,311473.0,62295.0,124589.0,124589.0,585.0,0,125.0,13.0,26.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,W/LWAL+CDL/H:2/COM,2.0,271178.0,54236.0,108471.0,108471.0,492.0,0,105.0,11.0,22.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Rural,Com,W/LWAL+CDL/H:3/COM,1.0,167271.0,33454.0,66908.0,66908.0,284.0,0,61.0,6.0,13.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,4.0,216892.0,97601.0,54223.0,65068.0,554.0,0,142.0,14.0,36.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,2.0,188833.0,84975.0,47208.0,56650.0,466.0,0,119.0,12.0,30.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,4.0,292332.0,131550.0,73083.0,87700.0,597.0,0,153.0,16.0,39.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,MUR+CB/LWAL+CDN/H:2/COM,2.0,254514.0,114532.0,63629.0,76354.0,504.0,0,129.0,13.0,33.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,MUR+CL/LWAL+CDN/H:1/COM,2.0,122591.0,55166.0,30648.0,36777.0,251.0,0,64.0,7.0,16.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,MUR+STDRE/LWAL+CDN/H:1/COM,1.0,66869.0,30091.0,16717.0,20061.0,142.0,0,36.0,4.0,9.0
SYC,Seychelles,SYC-ADM1-1590546715-B12,Bel Air,Urban,Com,W/LWAL+CDL/H:1/COM,2.0,140513.0,28103.0,56206.0,56206.0,263.0,0,67.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,4.0,176859.0,79587.0,44215.0,53058.0,452.0,0,90.0,10.0,19.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,2.0,153979.0,69291.0,38495.0,46194.0,380.0,0,75.0,8.0,16.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,1.0,57756.0,25990.0,14439.0,17327.0,123.0,0,24.0,3.0,5.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,1.0,57756.0,25990.0,14439.0,17327.0,123.0,0,24.0,3.0,5.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,2.0,102392.0,46076.0,25598.0,30718.0,262.0,0,52.0,6.0,11.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,W/LWAL+CDL/H:1/COM,5.0,373424.0,74685.0,149369.0,149369.0,701.0,0,139.0,15.0,29.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,W/LWAL+CDL/H:2/COM,3.0,403548.0,80710.0,161419.0,161419.0,738.0,0,146.0,16.0,31.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Rural,Com,W/LWAL+CDL/H:3/COM,1.0,200541.0,40108.0,80216.0,80216.0,341.0,0,68.0,7.0,14.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,5.0,260031.0,117014.0,65008.0,78009.0,665.0,0,146.0,15.0,37.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,3.0,281008.0,126454.0,70251.0,84303.0,700.0,0,154.0,16.0,39.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,5.0,350477.0,157715.0,87619.0,105143.0,717.0,0,158.0,16.0,40.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,MUR+CB/LWAL+CDN/H:2/COM,3.0,378750.0,170438.0,94687.0,113624.0,755.0,0,166.0,17.0,42.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,MUR+CL/LWAL+CDN/H:1/COM,3.0,146975.0,66138.0,36743.0,44092.0,300.0,0,66.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,MUR+STDRE/LWAL+CDN/H:1/COM,1.0,80170.0,36076.0,20042.0,24051.0,170.0,0,37.0,4.0,10.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,W/LWAL+CDL/H:1/COM,3.0,168462.0,33693.0,67385.0,67385.0,316.0,0,69.0,7.0,18.0
SYC,Seychelles,SYC-ADM1-1590546715-B13,Bel Ombre,Urban,Com,W/LWAL+CDL/H:2/COM,2.0,146668.0,29333.0,58668.0,58668.0,266.0,0,58.0,6.0,15.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,5.0,263441.0,118549.0,65860.0,79033.0,673.0,0,119.0,13.0,25.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,3.0,284693.0,128112.0,71173.0,85408.0,708.0,0,125.0,13.0,27.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,2.0,121322.0,54595.0,30331.0,36396.0,248.0,0,44.0,5.0,9.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,2.0,121322.0,54595.0,30331.0,36396.0,248.0,0,44.0,5.0,9.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,MUR+STRUB/LWAL+CDN/H:1/COM,3.0,152519.0,68634.0,38130.0,45756.0,390.0,0,69.0,7.0,15.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,MUR+STRUB/LWAL+CDN/H:2/COM,2.0,132787.0,59755.0,33197.0,39836.0,328.0,0,58.0,6.0,12.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,W/LWAL+CDL/H:1/COM,8.0,556235.0,111247.0,222494.0,222494.0,1044.0,0,185.0,20.0,39.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,W/LWAL+CDL/H:2/COM,5.0,601106.0,120221.0,240443.0,240443.0,1100.0,0,195.0,21.0,41.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Rural,Com,W/LWAL+CDL/H:3/COM,1.0,298716.0,59743.0,119486.0,119486.0,507.0,0,90.0,10.0,19.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MCF+CB/LWAL+CDL/H:1/COM,1.0,58451.0,23381.0,17535.0,17535.0,93.0,0,18.0,2.0,5.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+ADO/LWAL+CDN/H:1/COM,8.0,387330.0,174299.0,96833.0,116199.0,989.0,0,189.0,19.0,48.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+ADO/LWAL+CDN/H:2/COM,5.0,418576.0,188359.0,104644.0,125572.0,1042.0,0,199.0,20.0,51.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+CB/LWAL+CDN/H:1/COM,8.0,522054.0,234925.0,130513.0,156616.0,1067.0,0,203.0,21.0,52.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+CB/LWAL+CDN/H:2/COM,5.0,564168.0,253875.0,141043.0,169251.0,1123.0,0,214.0,22.0,54.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+CL/LWAL+CDN/H:1/COM,4.0,218926.0,98517.0,54732.0,65678.0,448.0,0,85.0,9.0,22.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+CL/LWAL+CDN/H:2/COM,2.0,190604.0,85771.0,47651.0,57181.0,376.0,0,72.0,7.0,18.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+STDRE/LWAL+CDN/H:1/COM,3.0,168405.0,75782.0,42101.0,50521.0,345.0,0,66.0,7.0,17.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,MUR+STDRE/LWAL+CDN/H:2/COM,2.0,146618.0,65978.0,36655.0,43985.0,290.0,0,55.0,6.0,14.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,W/LWAL+CDL/H:1/COM,4.0,250932.0,50187.0,100373.0,100373.0,471.0,0,90.0,9.0,23.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,W/LWAL+CDL/H:2/COM,2.0,218470.0,43694.0,87388.0,87388.0,396.0,0,76.0,8.0,19.0
SYC,Seychelles,SYC-ADM1-1590546715-B14,Cascade,Urban,Com,W/LWAL+CDL/H:3/COM,1.0,134759.0,26952.0,53904.0,53904.0,229.0,0,44.0,4.0,11.0
SYC,Seychelles,SYC-ADM1-1590546715-B15,Glacis,Rural,Com,MUR+ADO/LWAL+CDN/H:1/COM,4.0,195853.0,88133.0,48963.0,58756.0,501.0,0,100.0,11.0,21.0
SYC,Seychelles,SYC-ADM1-1590546715-B15,Glacis,Rural,Com,MUR+ADO/LWAL+CDN/H:2/COM,2.0,170516.0,76732.0,42629.0,51155.0,422.0,0,84.0,9.0,18.0
SYC,Seychelles,SYC-ADM1-1590546715-B15,Glacis,Rural,Com,MUR+CB/LWAL+CDN/H:1/COM,1.0,63958.0,28781.0,15990.0,19187.0,136.0,0,27.0,3.0,6.0
SYC,Seychelles,SYC-ADM1-1590546715-B15,Glacis,Rural,Com,MUR+CL/LWAL+CDN/H:1/COM,1.0,63958.0,28781.0,15990.0,19187.0,136.0,0,27.0,3.0,6.0
