ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,MUR+CB/LWAL+CDN/H:1/IND,300.0,14661311.0,7330656.0,2932262.0,4398394.0,66134.0,0,17265.0,716.0,1431.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,MUR+CB/LWAL+CDN/H:2/IND,100.0,10662772.0,5331386.0,2132554.0,3198831.0,48097.0,0,12556.0,520.0,1041.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,MUR+CL/LWAL+CDN/H:1/IND,400.0,19541005.0,9770503.0,3908201.0,5862301.0,88145.0,0,23011.0,954.0,1907.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,MUR+CL/LWAL+CDN/H:2/IND,133.0,14211640.0,7105820.0,2842328.0,4263493.0,64106.0,0,16736.0,694.0,1387.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,S+SL/LFM+CDL/H:1/IND,188.0,14187628.0,3546907.0,4965670.0,5675051.0,41142.0,0,10741.0,445.0,890.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,S+SL/LFM+CDL/H:2/IND,63.0,10318276.0,2579568.0,3611396.0,4127309.0,29921.0,0,7811.0,324.0,647.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,S/LFM+CDL/H:1/IND,46.0,3546907.0,886727.0,1241417.0,1418763.0,10285.0,0,2685.0,111.0,223.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Rural,Ind,S/LFM+CDL/H:2/IND,15.0,2579568.0,644891.0,902848.0,1031828.0,7479.0,0,1952.0,81.0,162.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Urban,Ind,CR/LFINF+CDL/H:1/IND,52.0,4360645.0,1090161.0,1308194.0,1962291.0,11591.0,0,3076.0,188.0,314.0
SLE,Sierra Leone,SLE-ADM1-1590546715-B1,Southern,Urban,Ind,CR/LFINF+CDL/H:2/IND,18.0,3171379.0,792845.0,951414.0,1427119.0,8430.0,0,2237.0,137.0,228.0
