ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
ZAF,South Africa,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,5737929.0,44138.0,835483922.0,696236603.0,1253225886.0,0.0,0.0,2784946412.0
ZAF,South Africa,Com,ADO/E,MUR+ADO/LWAL+CDN/H:2/COM,5737935.0,22070.0,857837266.0,714864389.0,1286755904.0,0.0,0.0,2859457562.0
ZAF,South Africa,Com,MCF,MCF/LWAL+CDL/H:1/COM,8669790.0,66690.0,2103972210.0,2103972210.0,2805296275.0,0.0,0.0,7013240690.0
ZAF,South Africa,Com,MCF,MCF/LWAL+CDL/H:2/COM,8669791.0,33347.0,2160263912.0,2160263912.0,2880351888.0,0.0,0.0,7200879716.0
ZAF,South Africa,Com,MCF,MCF/LWAL+CDL/HBET:3-6/COM,2667625.0,2963.0,704082206.0,704082206.0,938776275.0,0.0,0.0,2346940686.0
ZAF,South Africa,Com,MCF,MCF/LWAL+CDM/H:1/COM,1897697.0,14597.0,460530176.0,460530176.0,614040240.0,0.0,0.0,1535100593.0
ZAF,South Africa,Com,MCF,MCF/LWAL+CDM/H:2/COM,1897697.0,7297.0,472851652.0,472851652.0,630468864.0,0.0,0.0,1576172160.0
ZAF,South Africa,Com,MCF,MCF/LWAL+CDM/HBET:3-6/COM,583907.0,648.0,154113775.0,154113775.0,205485037.0,0.0,0.0,513712591.0
ZAF,South Africa,Com,MUR,MUR+CB/LWAL+CDN/H:1/COM,10952331.0,84249.0,1993421472.0,1661184555.0,2990132205.0,0.0,0.0,6644738236.0
ZAF,South Africa,Com,MUR,MUR+CB/LWAL+CDN/H:2/COM,10952327.0,42125.0,2046755394.0,1705629496.0,3070133099.0,0.0,0.0,6822517993.0
ZAF,South Africa,Com,MUR,MUR+CB/LWAL+CDN/H:3/COM,1329971.0,2957.0,261543508.0,217952922.0,392315264.0,0.0,0.0,871811696.0
ZAF,South Africa,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,14959555.0,115076.0,2722772635.0,2268977198.0,4084158950.0,0.0,0.0,9075908782.0
ZAF,South Africa,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,14959558.0,57535.0,2795620323.0,2329683608.0,4193430490.0,0.0,0.0,9318734420.0
ZAF,South Africa,Com,MUR,MUR+CL/LWAL+CDN/H:3/COM,1816945.0,4038.0,357303224.0,297752684.0,535954837.0,0.0,0.0,1191010748.0
ZAF,South Africa,Com,MUR,MUR+CLBLH/LWAL+CDN/H:1/COM,1781490.0,13701.0,324247105.0,270205921.0,486370652.0,0.0,0.0,1080823677.0
ZAF,South Africa,Com,MUR,MUR+CLBLH/LWAL+CDN/H:2/COM,1781492.0,6852.0,332922323.0,277435266.0,499383485.0,0.0,0.0,1109741079.0
ZAF,South Africa,Com,MUR,MUR+CLBLH/LWAL+CDN/H:3/COM,215673.0,481.0,42424751.0,35353960.0,63637127.0,0.0,0.0,141415843.0
ZAF,South Africa,Com,MUR,MUR+STDRE/LWAL+CDN/H:1/COM,10287237.0,79133.0,1872369356.0,1560307797.0,2808554031.0,0.0,0.0,6241231185.0
ZAF,South Africa,Com,MUR,MUR+STDRE/LWAL+CDN/H:2/COM,10287241.0,39566.0,1922464534.0,1602053780.0,2883696803.0,0.0,0.0,6408215118.0
ZAF,South Africa,Com,MUR,MUR+STDRE/LWAL+CDN/H:3/COM,1249461.0,2777.0,245706748.0,204755620.0,368560121.0,0.0,0.0,819022491.0
ZAF,South Africa,Com,MUR,MUR+STRUB/LWAL+CDN/H:1/COM,5737929.0,44138.0,835483922.0,696236603.0,1253225886.0,0.0,0.0,2784946412.0
ZAF,South Africa,Com,MUR,MUR+STRUB/LWAL+CDN/H:2/COM,5737935.0,22070.0,857837266.0,714864389.0,1286755904.0,0.0,0.0,2859457562.0
ZAF,South Africa,Com,RC,CR/LFINF+CDL/H:1/COM,1068987.0,8224.0,325937387.0,372499869.0,232812419.0,0.0,0.0,931249678.0
ZAF,South Africa,Com,RC,CR/LFINF+CDL/H:2/COM,1068985.0,4112.0,334657833.0,382466092.0,239041307.0,0.0,0.0,956165233.0
ZAF,South Africa,Com,RC,CR/LFINF+CDL/H:3/COM,1850164.0,4110.0,609501254.0,696572864.0,435358037.0,0.0,0.0,1741432154.0
ZAF,South Africa,Com,RC,CR/LFINF+CDL/HBET:4-7/COM,9867548.0,8225.0,2979429689.0,3405062500.0,2128164063.0,0.0,0.0,8512656252.0
ZAF,South Africa,Com,RC,CR/LFINF+CDL/HBET:8+/COM,3947019.0,1232.0,1659341761.0,1896390584.0,1185244114.0,0.0,0.0,4740976456.0
ZAF,South Africa,Com,RC,CR/LFINF+CDM/H:1/COM,231303.0,1781.0,70525377.0,80600429.0,50375267.0,0.0,0.0,201501071.0
ZAF,South Africa,Com,RC,CR/LFINF+CDM/H:2/COM,231307.0,888.0,72412280.0,82756889.0,51723055.0,0.0,0.0,206892226.0
ZAF,South Africa,Com,RC,CR/LFINF+CDM/H:3/COM,400334.0,891.0,131882094.0,150722390.0,94201492.0,0.0,0.0,376805982.0
ZAF,South Africa,Com,RC,CR/LFINF+CDM/HBET:4-7/COM,2135112.0,1779.0,644680251.0,736777430.0,460485895.0,0.0,0.0,1841943580.0
ZAF,South Africa,Com,RC,CR/LFINF+CDM/HBET:8+/COM,854044.0,267.0,359043501.0,410335428.0,256459642.0,0.0,0.0,1025838572.0
ZAF,South Africa,Com,RC,CR/LWAL+CDL/H:1/COM,86877.0,670.0,26488988.0,30273130.0,18920704.0,0.0,0.0,75682821.0
ZAF,South Africa,Com,RC,CR/LWAL+CDL/H:2/COM,86461.0,334.0,27070512.0,30937727.0,19336079.0,0.0,0.0,77344317.0
ZAF,South Africa,Com,RC,CR/LWAL+CDL/H:3/COM,149784.0,332.0,49367001.0,56419426.0,35262141.0,0.0,0.0,141048567.0
ZAF,South Africa,Com,RC,CR/LWAL+CDL/HBET:4-7/COM,801750.0,670.0,242079074.0,276661797.0,172913626.0,0.0,0.0,691654496.0
ZAF,South Africa,Com,RC,CR/LWAL+CDL/HBET:8+/COM,316776.0,101.0,133387769.0,152443165.0,95276978.0,0.0,0.0,381107913.0
ZAF,South Africa,Com,RC,CR/LWAL+CDM/H:1/COM,21329.0,163.0,6500232.0,7428836.0,4643024.0,0.0,0.0,18572095.0
