ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
SDN,Sudan,SDN-ADM1-1590546715-B1,South Darfur State,Com,24270.0,399563590.0,431803917.0,549371904.0,34781.0,0.0,4645964.0,1380739423.0,191.42826534816646,297.19115839037926
SDN,Sudan,SDN-ADM1-1590546715-B1,South Darfur State,Ind,9913.0,239106500.0,179988721.0,281702231.0,9913.0,0.0,2826359.0,700797452.0,285.1164127912842,247.9506149077311
SDN,Sudan,SDN-ADM1-1590546715-B1,South Darfur State,Res,761218.0,1696457563.0,2923614595.0,5271116687.0,793031.0,4707698.0,59566769.0,9891188850.0,78.25191863566022,166.0521296698164
SDN,Sudan,SDN-ADM1-1590546715-B10,Central Darfur,Com,2886.0,47118854.0,50872071.0,64727790.0,4119.0,0.0,548665.0,162718701.0,190.11261261261262,296.5720448725543
SDN,Sudan,SDN-ADM1-1590546715-B10,Central Darfur,Ind,1184.0,28482548.0,21440396.0,33556589.0,1184.0,0.0,336681.0,83479538.0,284.3589527027027,247.94846754049084
SDN,Sudan,SDN-ADM1-1590546715-B10,Central Darfur,Res,90685.0,202083343.0,348263236.0,627899513.0,94472.0,560784.0,7095638.0,1178246098.0,78.24489165793682,166.05217148901903
SDN,Sudan,SDN-ADM1-1590546715-B11,Red Sea State,Com,13139.0,216054721.0,233486564.0,297014321.0,18814.0,0.0,2512165.0,746555600.0,191.19910191034324,297.176180704691
SDN,Sudan,SDN-ADM1-1590546715-B11,Red Sea State,Ind,5361.0,129343081.0,97363707.0,152384959.0,5361.0,0.0,1528899.0,379091753.0,285.18914381645214,247.9508149328373
SDN,Sudan,SDN-ADM1-1590546715-B11,Red Sea State,Res,411770.0,917687519.0,1581510014.0,2851375767.0,428984.0,2546597.0,32222248.0,5350573292.0,78.25302474682468,166.05214173759694
SDN,Sudan,SDN-ADM1-1590546715-B12,Khartoum State,Com,39076.0,643198275.0,695110570.0,884400111.0,55984.0,0.0,7478701.0,2222708960.0,191.38860169925275,297.20521785802106
SDN,Sudan,SDN-ADM1-1590546715-B12,Khartoum State,Ind,15961.0,384835124.0,289686744.0,453391751.0,15961.0,0.0,4548949.0,1127913622.0,285.00400977382367,247.95037754874807
SDN,Sudan,SDN-ADM1-1590546715-B12,Khartoum State,Res,1225152.0,2730400356.0,4705474812.0,8483712883.0,1276357.0,7576910.0,95871020.0,15919588046.0,78.25234746382489,166.0521401149169
