ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
TGO,Togo,TG-C,Centrale,COM,5433.0,228452157.0,63547291.0,0.0,1015242.0,291999439.0,380258.0,0.0,187.0,225.0
TGO,Togo,TG-C,Centrale,IND,2081.0,157889873.0,54928632.0,0.0,593583.0,212818517.0,356944.0,0.0,285.0,266.0
TGO,Togo,TG-C,Centrale,RES,207687.0,2463038871.0,490417198.0,963983.0,16514730.0,2953456070.0,3217832.0,216854.0,80.0,149.0
TGO,Togo,TG-K,Kara,COM,6924.0,304079334.0,83118564.0,0.0,1300395.0,387197892.0,522603.0,0.0,188.0,234.0
TGO,Togo,TG-K,Kara,IND,2653.0,201601328.0,69830308.0,0.0,756432.0,271431645.0,450887.0,0.0,285.0,267.0
TGO,Togo,TG-K,Kara,RES,246015.0,2917486232.0,580902499.0,1141843.0,19561809.0,3498388725.0,3811542.0,256871.0,80.0,149.0
TGO,Togo,TG-M,Maritime,COM,24526.0,1026405545.0,286611873.0,0.0,4592365.0,1313017417.0,1696105.0,0.0,187.0,224.0
TGO,Togo,TG-M,Maritime,IND,9398.0,712242545.0,248017939.0,0.0,2678795.0,960260473.0,1613923.0,0.0,285.0,266.0
TGO,Togo,TG-M,Maritime,RES,923916.0,10956686648.0,2181592752.0,4288222.0,73464823.0,13138279394.0,14314334.0,964673.0,80.0,149.0
TGO,Togo,TG-P,Plateaux,COM,11367.0,478182860.0,133161655.0,0.0,2127537.0,611344522.0,794425.0,0.0,187.0,225.0
TGO,Togo,TG-P,Plateaux,IND,4355.0,330054815.0,114855334.0,0.0,1240985.0,444910147.0,746665.0,0.0,285.0,266.0
TGO,Togo,TG-P,Plateaux,RES,414119.0,4911065803.0,977845415.0,1922084.0,32928804.0,5888911218.0,6416049.0,432385.0,80.0,149.0
TGO,Togo,TG-S,Savanes,COM,7625.0,319681242.0,89083951.0,0.0,1426150.0,408765192.0,530655.0,0.0,187.0,224.0
TGO,Togo,TG-S,Savanes,IND,2924.0,221561682.0,77116432.0,0.0,833134.0,298678109.0,501477.0,0.0,285.0,266.0
TGO,Togo,TG-S,Savanes,RES,302811.0,3591093122.0,715024824.0,1405476.0,24078357.0,4306117952.0,4691574.0,316169.0,80.0,149.0
