ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
AIA,Anguilla,Com,563.0,62840158.92,47014034.76,55104199.92,0.0,0.0,148632.0,164958393.6,264.0,1109.844404973357
AIA,Anguilla,Ind,86.0,7551633.600000001,4128642.0,3498692.4000000004,0.0,0.0,19039.11801242236,15178968.0,221.38509316770188,797.2516368718474
AIA,Anguilla,Res,3012.0,54074424.978,96244699.38299999,64212198.939,3106.0,14762.0,1061222.8725,214531323.29999998,352.33163097609565,202.15482426854683
ATG,Antigua and Barbuda,Com,1421.0,170919632.60732985,125873390.70157066,148542508.8376963,0.0,0.0,419502.0,445335532.14659685,295.21604503870515,1061.581427851588
ATG,Antigua and Barbuda,Ind,340.0,54507561.51832461,30146003.92670157,24746408.37696335,0.0,0.0,142028.2977484472,109399973.82198954,417.7302874954329,770.2688517449728
ATG,Antigua and Barbuda,Res,23943.0,585538475.152356,618031570.8413612,431657879.8596858,27906.0,100788.0,7392724.37625,1635227925.853403,308.763495645909,221.19422321583718
ABW,Aruba,Com,1261.0,725914399.6230366,594937952.5863874,529252086.7434555,0.0,0.0,623289.0,1850104438.9528794,494.2815226011102,2968.2931015193262
ABW,Aruba,Ind,652.0,213994489.52879578,115921138.74345547,88213952.87958115,0.0,0.0,1073072.7994791667,418129581.1518324,1645.8171771152863,389.65630417132775
ABW,Aruba,Res,20947.0,1296612827.222513,1152750270.8905756,877464249.5204188,25834.0,104636.0,10715857.665104166,3326827347.6335077,511.57004177706426,310.4583367570484
BHS,Bahamas,Com,4377.0,5907578222.368421,5060112045.394736,3853473376.9736843,0.0,0.0,4790511.0,14821163644.736841,1094.4736120630569,3093.8585977021744
BHS,Bahamas,Ind,1127.0,1215734053.528708,700842030.5023923,507102743.7200957,0.0,0.0,4191417.0332623105,2423678827.751196,3719.0923099044458,578.2480742234259
BHS,Bahamas,Res,97256.0,6701179903.044374,5782656880.56164,5886623666.048672,97256.0,391462.0,48189053.747777775,18370460449.654686,495.48669231489856,381.21645936037567
BRB,Barbados,Com,3053.8,979169461.2,765093330.0,834292720.8,0.0,0.0,1530378.9,2578555512.0,501.1392036151679,1684.9131362174428
BRB,Barbados,Ind,1111.0,457203270.0,214284660.0,297705870.0,0.0,0.0,447030.0,969193800.0,402.36723672367236,2168.073283672237
BRB,Barbados,Res,74697.0,2715724570.584,2619215679.656,3785047282.72,82552.0,277787.0,10491296.082,9119987532.96,140.45137130005222,869.2908351530783
BLZ,Belize,Com,5366.217913886787,473605460.121581,496163067.29820365,340462268.4625517,0.0,0.0,1027817.8209413383,1310230795.8823364,191.5348644865007,1274.7694865636277
BLZ,Belize,Ind,1243.0,289608401.07329845,212258163.18062827,136859220.82460734,0.0,0.0,369027.0,638725785.078534,296.8841512469831,1730.8375405553902
BLZ,Belize,Res,52890.0,997850568.9194299,1455892019.020207,1895593524.7985063,62994.0,397625.2079635358,7975839.210792837,4349336112.738143,150.80051447897213,545.3139159140343
