ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
GTM,Guatemala,Com,MCF,MCF/LWAL+CDH+DUH/HEX:1/COM,2753.0,103710964.0,103710964.0,138281306.0,0.0,0.0,493866.0,345703242.0,179.3919360697421,699.9940105210725
GTM,Guatemala,Com,MCF,MCF/LWAL+CDH+DUH/HEX:2/COM,4119.0,343763738.0,343763738.0,458351654.0,0.0,0.0,1485397.0,1145879120.0,360.62078174314155,771.4295370193962
GTM,Guatemala,Com,MCF,MCF/LWAL+CDH+DUH/HEX:3/COM,900.0,119484685.0,119484685.0,159312903.0,0.0,0.0,480690.0,398282265.0,534.1,828.5636584909194
GTM,Guatemala,Com,MCF,MCF/LWAL+CDL+DUL/HEX:1/COM,16591.0,628201446.0,628201446.0,837601927.0,0.0,0.0,2991423.0,2094004819.0,180.3039599783015,700.0029146663645
GTM,Guatemala,Com,MCF,MCF/LWAL+CDL+DUL/HEX:2/COM,24887.0,2079578486.0,2079578486.0,2772771307.0,0.0,0.0,8985829.0,6931928279.0,361.06517458914294,771.4289108995954
GTM,Guatemala,Com,MCF,MCF/LWAL+CDL+DUL/HEX:3/COM,5508.0,739639787.0,739639787.0,986186375.0,0.0,0.0,2975550.0,2465465951.0,540.2233115468409,828.5748688477761
GTM,Guatemala,Com,MCF,MCF/LWAL+CDM+DUM/HEX:1/COM,8271.0,313027296.0,313027296.0,417369741.0,0.0,0.0,1490603.0,1043424338.0,180.2204086567525,700.001501405807
GTM,Guatemala,Com,MCF,MCF/LWAL+CDM+DUM/HEX:2/COM,12425.0,1036967537.0,1036967537.0,1382623385.0,0.0,0.0,4480723.0,3456558446.0,360.62156941649897,771.4287283547767
GTM,Guatemala,Com,MCF,MCF/LWAL+CDM+DUM/HEX:3/COM,2753.0,368279790.0,368279790.0,491039717.0,0.0,0.0,1481583.0,1227599306.0,538.1703596077007,828.5727536020594
GTM,Guatemala,Com,RC,CR+PCPS/LFM+CDH+DUH/HEX:1/COM,115.0,5713511.0,6529724.0,4081076.0,0.0,0.0,21654.0,16324315.0,188.29565217391306,753.8706474554355
GTM,Guatemala,Com,RC,CR+PCPS/LFM+CDH+DUH/HEX:2/COM,25.0,2124125.0,2427571.0,1517233.0,0.0,0.0,7307.0,6068927.0,292.28,830.5634323251677
GTM,Guatemala,Com,RC,CR+PCPS/LFM+CDL+DUL/HEX:1/COM,710.0,35915979.0,41046839.0,25654274.0,0.0,0.0,136123.0,102617092.0,191.7225352112676,753.8556452620057
GTM,Guatemala,Com,RC,CR+PCPS/LFM+CDL+DUL/HEX:2/COM,148.0,16191057.0,18504062.0,11565040.0,0.0,0.0,55682.0,46260157.0,376.22972972972974,830.7919435365109
GTM,Guatemala,Com,RC,CR+PCPS/LFM+CDM+DUM/HEX:1/COM,349.0,17334304.0,19810630.0,12381646.0,0.0,0.0,65697.0,49526573.0,188.243553008596,753.863540192094
GTM,Guatemala,Com,RC,CR+PCPS/LFM+CDM+DUM/HEX:2/COM,74.0,7975849.0,9115253.0,5697036.0,0.0,0.0,27435.0,22788136.0,370.7432432432432,830.6227811190086
GTM,Guatemala,Com,RC,CR/LDUAL+CDL+DUL/HEX:7/COM,1.0,788078.0,900661.0,562913.0,0.0,0.0,2399.0,2251652.0,2399.0,938.5794080867028
GTM,Guatemala,Com,RC,CR/LFM+CDH+DUH/HEX:1/COM,128.0,6370296.0,7280339.0,4550213.0,0.0,0.0,24145.0,18200849.0,188.6328125,753.81441292193
GTM,Guatemala,Com,RC,CR/LFM+CDH+DUH/HEX:2/COM,11.0,1004968.0,1148535.0,717834.0,0.0,0.0,3457.0,2871338.0,314.27272727272725,830.5866358113972
GTM,Guatemala,Com,RC,CR/LFM+CDL+DUL/HEX:1/COM,803.0,39881299.0,45578620.0,28486643.0,0.0,0.0,151148.0,113946561.0,188.22914072229142,753.8740902956043
GTM,Guatemala,Com,RC,CR/LFM+CDL+DUL/HEX:2/COM,95.0,10370920.0,11852480.0,7407801.0,0.0,0.0,35670.0,29631199.0,375.4736842105263,830.7036445192039
GTM,Guatemala,Com,RC,CR/LFM+CDM+DUM/HEX:1/COM,393.0,19412329.0,22185518.0,13865952.0,0.0,0.0,73574.0,55463797.0,187.21119592875317,753.8505042542203
GTM,Guatemala,Com,RC,CR/LFM+CDM+DUM/HEX:2/COM,49.0,5097611.0,5825842.0,3641151.0,0.0,0.0,17530.0,14564603.0,357.7551020408163,830.8387335995436
GTM,Guatemala,Com,S,S+SL/LFM+CDH+DUH/HEX:1/COM,562.0,33218822.0,33218822.0,16609410.0,0.0,0.0,101691.0,83047059.0,180.94483985765123,816.6608549429153
GTM,Guatemala,Com,S,S+SL/LFM+CDL+DUL/HEX:1/COM,3381.0,200765547.0,200765547.0,100382774.0,0.0,0.0,614585.0,501913875.0,181.77610174504585,816.6712090272298
GTM,Guatemala,Com,S,S+SL/LFM+CDM+DUM/HEX:1/COM,1682.0,99741798.0,99741798.0,49870901.0,0.0,0.0,305332.0,249354494.0,181.52913198573128,816.6667561867082
GTM,Guatemala,Com,S,S+SR/LFINF+CDH+DUH/HEX:1/COM,1.0,165458.0,165458.0,82729.0,0.0,0.0,507.0,413645.0,507.0,815.8678500986193
GTM,Guatemala,Com,S,S+SR/LFINF+CDH+DUH/HEX:2/COM,3.0,818935.0,818935.0,409468.0,0.0,0.0,2275.0,2047338.0,758.3333333333334,899.9287912087912
GTM,Guatemala,Com,S,S+SR/LFINF+CDL+DUL/HEX:1/COM,15.0,1903135.0,1903135.0,951565.0,0.0,0.0,5826.0,4757834.0,388.4,816.6553381393752
GTM,Guatemala,Com,S,S+SR/LFINF+CDL+DUL/HEX:2/COM,30.0,8048029.0,8048029.0,4024015.0,0.0,0.0,22354.0,20120072.0,745.1333333333333,900.0658495123915
GTM,Guatemala,Com,S,S+SR/LFINF+CDL+DUL/HEX:3/COM,4.0,1759194.0,1759194.0,879597.0,0.0,0.0,4550.0,4397985.0,1137.5,966.5901098901099
GTM,Guatemala,Com,S,S+SR/LFINF+CDM+DUM/HEX:1/COM,5.0,743107.0,743107.0,371554.0,0.0,0.0,2275.0,1857770.0,455.0,816.6021978021978
GTM,Guatemala,Com,S,S+SR/LFINF+CDM+DUM/HEX:2/COM,10.0,2922417.0,2922417.0,1461208.0,0.0,0.0,8118.0,7306040.0,811.8,899.980290711998
GTM,Guatemala,Com,S,S+SR/LFINF+CDM+DUM/HEX:3/COM,1.0,587544.0,587544.0,293772.0,0.0,0.0,1520.0,1468860.0,1520.0,966.3552631578947
GTM,Guatemala,Com,S,S+SR/LFM+CDH+DUH/HEX:1/COM,35.0,1910554.0,1910554.0,955276.0,0.0,0.0,5849.0,4776383.0,167.11428571428573,816.6153188579244
GTM,Guatemala,Com,S,S+SR/LFM+CDH+DUH/HEX:2/COM,50.0,6728795.0,6728795.0,3364398.0,0.0,0.0,18689.0,16821984.0,373.78,900.1008079619028
GTM,Guatemala,Com,S,S+SR/LFM+CDH+DUH/HEX:3/COM,6.0,1189506.0,1189506.0,594753.0,0.0,0.0,3077.0,2973763.0,512.8333333333334,966.4488137796556
