ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
MSR,Montserrat,1,Saint Anthon,Total,Com,CR/LFINF+CDL+DUL/HEX:1/COM,182.0,13208832.0,3302208.0,5283532.800000001,4623091.199999999,21294.0,0.0,257.47,25.11,56.49
MSR,Montserrat,1,Saint Anthon,Total,Com,CR/LFINF+CDM+DUM/HEX:2/COM,5.0,14031360.0,3507840.0,5612544.0,4910976.0,12480.0,0.0,150.9,14.719999999999999,33.120000000000005
MSR,Montserrat,1,Saint Anthon,Total,Com,CR/LFINF+CDM+DUM/HEX:4/COM,5.0,4677120.0,1169280.0,1870848.0,1636992.0,4160.0,0.0,50.3,4.91,11.04
MSR,Montserrat,1,Saint Anthon,Total,Com,S+SR/LFINF+CDM+DUM/HEX:1/COM,14.0,1016064.0,203212.8,406425.6,406425.6,1511.9999999999998,0.0,18.28,1.78,4.01
MSR,Montserrat,1,Saint Anthon,Total,Com,W+WLI/LWAL+CDM+DUM/HEX:2/COM,96.0,13934592.0,6270566.4,3483648.0,4180377.5999999996,24192.0,0.0,292.51,28.53,64.18
MSR,Montserrat,2,Saint Georges,Total,Com,CR+PCPS/LFM+CDM+DUM/HEX:1/COM,5.0,362880.0,90720.0,145152.0,127007.99999999999,585.0,0.0,16.25,1.58,3.5700000000000003
MSR,Montserrat,2,Saint Georges,Total,Com,CR/LFINF+CDM+DUM/HEX:4/COM,19.0,17773056.0,4443264.0,7109222.4,6220569.6,15808.000000000002,0.0,439.15999999999997,42.83,96.37
MSR,Montserrat,2,Saint Georges,Total,Com,S+SL/LFM+CDL+DUL/HEX:1/COM,44.0,798336.0,159667.2,319334.4,319334.4,3168.0,0.0,88.00999999999999,8.59,19.310000000000002
MSR,Montserrat,3,Saint Peter,Total,Com,S+SL/LFM+CDL+DUL/HEX:1/COM,28.0,508032.0,101606.4,203212.8,203212.8,2016.0,0.0,122.82,11.98,26.95
MSR,Montserrat,3,Saint Peter,Total,Com,S+SR/LFINF+CDM+DUM/HEX:1/COM,34.0,2467584.0,493516.8,987033.6,987033.6,3672.0,0.0,223.7,21.810000000000002,49.09
MSR,Montserrat,3,Saint Peter,Total,Com,S+SR/LFM+CDM+DUM/HEX:1/COM,48.0,3483648.0,696729.6,1393459.2,1393459.2,5184.0,0.0,315.81,30.8,69.3
