ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
MSR,Montserrat,1,Saint Anthon,Total,Res,CR/LFINF+CDL+DUL/HEX:2/RES,118.0,7874429.0,2362329.0,3937215.0,1574886.0,41664.0,368,78.0,347.0,177.0
MSR,Montserrat,1,Saint Anthon,Total,Res,CR/LFINF+CDM+DUM/HEX:3/RES,3.0,324718.0,97416.0,162359.0,64944.0,1718.0,15,3.0,14.0,7.0
MSR,Montserrat,1,Saint Anthon,Total,Res,MR/LWAL+CDL+DUL/HEX:1/RES,327.0,16804189.0,7561885.0,5041257.0,4201047.0,83354.0,785,166.0,740.0,378.0
MSR,Montserrat,1,Saint Anthon,Total,Res,UNK/UNK+DNO/HEX:1/RES,4.0,202951.0,50738.0,81180.0,71033.0,872.0,9,2.0,8.0,4.0
MSR,Montserrat,1,Saint Anthon,Total,Res,W+WLI/LWAL+CDL+DUL/HEX:1/RES,3.0,162359.0,40590.0,64943.0,56825.0,698.0,8,2.0,8.0,4.0
MSR,Montserrat,1,Saint Anthon,Total,Res,W+WLI/LWAL+CDM+DUM/HEX:1/RES,296.0,15221184.0,3805296.0,6088474.0,5327415.0,65435.0,711,151.0,670.0,342.0
MSR,Montserrat,2,Saint Georges,Total,Res,CR/LFINF+CDL+DUL/HEX:2/RES,83.0,5561360.0,1668408.0,2780680.0,1112272.0,29425.0,260,55.0,245.0,125.0
MSR,Montserrat,2,Saint Georges,Total,Res,CR/LFINF+CDM+DUM/HEX:3/RES,2.0,229335.0,68801.0,114668.0,45867.0,1213.0,11,2.0,10.0,5.0
MSR,Montserrat,2,Saint Georges,Total,Res,MR/LWAL+CDL+DUL/HEX:1/RES,231.0,11868061.0,5340627.0,3560418.0,2967015.0,58869.0,554,117.0,522.0,267.0
MSR,Montserrat,2,Saint Georges,Total,Res,UNK/UNK+DNO/HEX:1/RES,3.0,143335.0,35834.0,57334.0,50167.0,616.0,7,1.0,7.0,3.0
MSR,Montserrat,2,Saint Georges,Total,Res,W+WLI/LWAL+CDL+DUL/HEX:1/RES,2.0,114668.0,28667.0,45867.0,40134.0,493.0,5,1.0,5.0,2.0
MSR,Montserrat,2,Saint Georges,Total,Res,W+WLI/LWAL+CDM+DUM/HEX:1/RES,209.0,10750058.0,2687514.0,4300023.0,3762520.0,46214.0,502,106.0,473.0,242.0
MSR,Montserrat,3,Saint Peter,Total,Res,CR/LFINF+CDL+DUL/HEX:2/RES,101.0,6722509.0,2016753.0,3361255.0,1344502.0,35569.0,314,66.0,296.0,151.0
MSR,Montserrat,3,Saint Peter,Total,Res,CR/LFINF+CDM+DUM/HEX:3/RES,3.0,283353.0,85006.0,141676.0,56671.0,1499.0,13,3.0,12.0,6.0
MSR,Montserrat,3,Saint Peter,Total,Res,MR/LWAL+CDL+DUL/HEX:1/RES,279.0,14345966.0,6455685.0,4303790.0,3586491.0,71161.0,670,142.0,631.0,323.0
MSR,Montserrat,3,Saint Peter,Total,Res,UNK/UNK+DNO/HEX:1/RES,3.0,173260.0,43315.0,69304.0,60641.0,745.0,8,2.0,8.0,4.0
MSR,Montserrat,3,Saint Peter,Total,Res,W+WLI/LWAL+CDL+DUL/HEX:1/RES,3.0,141673.0,35418.0,56669.0,49586.0,609.0,7,1.0,7.0,3.0
MSR,Montserrat,3,Saint Peter,Total,Res,W+WLI/LWAL+CDM+DUM/HEX:1/RES,258.0,13282092.0,3320523.0,5312837.0,4648732.0,57099.0,620,131.0,584.0,299.0
