ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR+PC/LWAL+CDL+DUL/HEX:1/RES,28.0,951125.9400000001,285337.782,475562.97000000003,190225.188,1587.8991008743535,150.6858009943348,28.042711346351062,143.67934260127217,75.99066861848185
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFINF+CDL+DUL/HEX:2/RES,77.0,4771341.659728507,1431402.497918552,2385670.829864253,954268.3319457013,7965.726527705936,483.04758829922804,89.89542475694545,460.58725821534017,243.60031912219478
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFINF+CDL+DUL/HEX:3/RES,27.0,1834360.016,550308.0048,917180.0079999999,366872.00320000004,3062.4531385257615,330.41163556480734,61.48978908748003,315.04844034739176,166.62619132136967
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFINF+CDL+DUL/HEX:4/RES,2.0,660218.6880000001,198065.6064,330109.34400000004,132043.73760000002,1102.2311735664002,62.0,11.538234472,59.1171774812,31.2665256
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFINF+CDM+DUM/HEX:2/RES,15.0,3657725.1120000007,1097317.5336,1828862.556,731545.0224,3422.4328533333332,81.95015174008591,15.250968803114358,78.13970427467629,41.327363182343234
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFINF+CDM+DUM/HEX:3/RES,6.0,1479879.5999999996,443963.8799999999,739939.7999999999,295975.9199999999,1384.6826666666661,72.0,13.399240032000002,68.6522061072,36.3095136
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFM+CDL+DUL/HEX:1/RES,1537.0,52988977.26959322,15896693.180877965,26494488.63479661,10597795.453918643,88464.78244788344,8542.48266287434,1589.7607731812752,8145.281672761553,4307.963755908334
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,CR/LFM+CDL+DUL/HEX:2/RES,1090.0,67773044.49959159,20331913.349877477,33886522.249795794,13554608.89991832,113146.69477358492,7275.534771094939,1353.981066098101,6937.24323118486,3669.0434544214527
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MCF/LWAL+CDL+DUL/HEX:1/RES,774.0,95212100.00258516,42845445.00116332,28563630.00077555,23803025.00064629,83519.38596717996,4331.247756179917,806.047615598835,4129.857134147377,2184.243045944225
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MCF/LWAL+CDL+DUL/HEX:2/RES,799.0,176759328.5118756,79541697.83034402,53027798.55356268,44189832.1279689,155052.04255427685,5262.676761151591,979.3870712985904,5017.977356696538,2653.9615754366337
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MCF/LWAL+CDL+DUL/HEX:3/RES,190.0,47140728.612649895,21213327.875692453,14142218.583794968,11785182.153162476,41351.516326885874,2158.740944016653,401.74288994146406,2058.365669731705,1088.6504675784656
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MCF/LWAL+CDM+DUM/HEX:1/RES,147.0,17789386.01142857,8005223.705142857,5336815.803428571,4447346.502857142,15604.72457142857,791.2220572089274,147.2468647660452,754.4324965009732,399.0123339839934
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MCF/LWAL+CDM+DUM/HEX:2/RES,129.0,28190343.32786207,12685654.497537931,8457102.99835862,7047585.831965517,24728.371340229885,801.2220572089274,149.1078703260452,763.9675251269732,404.05532198399345
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MCF/LWAL+CDM+DUM/HEX:3/RES,57.0,14753247.21230769,6638961.245538461,4425974.163692307,3688311.8030769224,12941.444923076922,672.9577064631762,125.2378033372819,641.6670995213691,339.37176382013206
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MR/LWAL+CDL+DUL/HEX:1/RES,625.0,43137073.594849564,19411683.117682304,12941122.078454867,10784268.398712393,67516.01985761915,3471.489442756397,646.0461154450957,3310.075121153903,1750.6679601947196
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MR/LWAL+CDL+DUL/HEX:2/RES,480.0,106304207.9412987,47836893.57358441,31891262.38238961,26576051.985324673,93249.30521166553,3143.399560920345,584.9884060174321,2997.240479633132,1585.212626492657
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MR/LWAL+CDL+DUL/HEX:3/RES,111.0,27629964.63913043,12433484.087608695,8288989.391739129,6907491.159782607,24236.81108695652,1263.6510621806012,235.16616526180053,1204.894905116734,637.2577142764027
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MR/LWAL+CDM+DUM/HEX:1/RES,92.0,11546973.359999998,5196138.012,3464092.0079999994,2886743.3399999994,10128.923999999997,507.7432039773392,94.49129256540425,484.13459845808865,256.05428847392744
NIC,Nicaragua,1,AtlÃ¡ntico Norte,Total,Res,MR/LWAL+CDM+DUM/HEX:2/RES,127.0,27695491.891999997,12462971.3514,8308647.567600001,6923872.973,24294.291133333336,791.2220572089274,147.2468647660452,754.4324965009732,399.0123339839934
