ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-C1L-MC,9.0,25966245,3817038,9166085,12983123,9667.0,0.0,137.0,13.0,29.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-C1L-PC,3.0,7878044,1158071,2780949,3939022,2933.0,0.0,36.0,3.0,8.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-C2L-MC,13.0,38430041,5649217,13565803,19215022,14308.0,0.0,202.0,19.0,42.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-C2L-PC,4.0,13393241,1968807,4727813,6696619,4986.0,0.0,67.0,6.0,14.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-PC1-MC,4.0,12362989,1817362,4364135,6181495,4603.0,0.0,62.0,6.0,13.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-PC1-PC,2.0,4887114,718406,1725151,2443561,1819.0,0.0,22.0,2.0,5.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-S3-MC,84.0,252954782,37184352,89293039,126477391,94176.0,0.0,1333.0,124.0,278.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-S3-PC,31.0,93558618,13753116,33026193,46779309,34832.0,0.0,493.0,46.0,103.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-URML-LC,564.0,1689252825,248320167,596306248,844626412,628912.0,0.0,8901.0,827.0,1860.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-URML-PC,188.0,563084275,82773388,198768748,281542137,209637.0,0.0,2967.0,276.0,620.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM1-W1-MC,254.0,762329480,112062434,269102306,381164740,283817.0,0.0,4017.0,373.0,839.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-C1L-MC,0.0,3585285,1559226,1001080,1024980,2756.0,0.0,24.0,2.0,5.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-C1L-PC,0.0,1142592,497039,319117,326436,879.0,0.0,8.0,1.0,2.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-C2L-MC,0.0,5306222,2307654,1481597,1516970,4079.0,0.0,36.0,3.0,7.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-C2L-PC,0.0,1856712,807688,518565,530458,1428.0,0.0,13.0,1.0,3.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-PC1-MC,0.0,1713888,745559,478675,489654,1318.0,0.0,12.0,1.0,2.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-S3-MC,1.0,10469032,4552939,2923152,2992941,8047.0,0.0,71.0,7.0,15.0
VIR,US Virgin Islands,78,United States Virgin Islands,Total,Com,COM10-S3-PC,0.0,3872108,1683964,1081166,1106979,2976.0,0.0,26.0,2.0,5.0
