ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Com,MUR,COM1-URML-LC,563.6,844626412,596306248,248320167,0.0,628912.4351135439,1689252825,1115.8843774193467,2685.9904983354672
VIR,US Virgin Islands,Com,MUR,COM1-URML-PC,187.8,281542137,198768748,82773388,0.0,209637.47663303744,563084275,1116.2804932536603,2685.990520605521
VIR,US Virgin Islands,Com,MUR,COM2-URML-LC,88.5,106978410,72317405,34661005,0.0,75980.0811048922,213956820,858.5319898857877,2815.9593526180606
VIR,US Virgin Islands,Com,MUR,COM2-URML-PC,29.4,35659470,24105802,11553668,0.0,25326.693701630735,71318940,861.4521667221338,2815.9593526180606
VIR,US Virgin Islands,Com,MUR,COM3-URML-LC,165.5,97824374,81976826,15847549,0.0,59616.67322830149,195648750,360.22159050333227,3281.779062893445
VIR,US Virgin Islands,Com,MUR,COM3-URML-PC,55.1,32608126,27325608,5282517,0.0,19872.22440980571,65216250,360.6574303050038,3281.7790628320313
VIR,US Virgin Islands,Com,MUR,COM4-URML-LC,273.3,449897700,363513268,86379392,0.0,217551.24444928337,899790360,796.0162621634956,4135.992704972844
VIR,US Virgin Islands,Com,MUR,COM4-URML-PC,90.9,149965900,121171089,28793131,0.0,72517.08148309447,299930120,797.7676730813473,4135.992704972843
VIR,US Virgin Islands,Com,MUR,COM5-URML-LC,11.0,33531300,28903981,4627319,0.0,11111.752576839852,67062600,1010.1593251672592,6035.28557140285
VIR,US Virgin Islands,Com,MUR,COM5-URML-PC,3.5,11177100,9634661,1542439,0.0,3703.917525613285,22354200,1058.2621501752242,6035.285571402849
