ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
VIR,U.S. Virgin Islands,Com,MUR,MUR+CLBRH/LWAL+DNO/H2/COM,1547176.7691,1857.6,2740156709,2069421661,589165544,0.0,5398743910
VIR,U.S. Virgin Islands,Com,RC,CR/LFM+CDL+DUL/H2/COM,7227.4838,8.7,11618758,9279060,2837857,0.0,23735684
VIR,U.S. Virgin Islands,Com,RC,CR/LFM+CDM+DUM/H2/COM,24063.9371,29.0,39110699,31103211,9443954,0.0,79657860
VIR,U.S. Virgin Islands,Com,RC,CR/LWAL+CDL+DUL/H2/COM,16049.7752,20.1,26446895,21049813,6211874,0.0,53708583
VIR,U.S. Virgin Islands,Com,RC,CR/LWAL+CDM+DUM/H2/COM,47062.9114,55.9,76510306,60802758,18470630,0.0,155783689
VIR,U.S. Virgin Islands,Com,S,S/LFM+CDL+DUL/H2/COM,68617.2661,71.5,135002364,95552458,27695222,0.0,258250036
VIR,U.S. Virgin Islands,Com,S,S/LFM+CDM+DUM/H2/COM,186293.4323,193.8,367882574,260061569,75173683,0.0,703117831
VIR,U.S. Virgin Islands,Com,W,W/LFM+CDM+DUM/H2/COM,789138.8337,1025.9,1518486750,1148177479,302645831,0.0,2969310060
VIR,U.S. Virgin Islands,Ind,MUR,MUR+CLBRH/LWAL+DNO/H2/IND,482526.1507,655.9,1155605640,656905889,122341897,0.0,1934853429
VIR,U.S. Virgin Islands,Ind,RC,CR/LFM+CDL+DUL/H2/IND,810.1585,0.9,1896955,1066080,198546,0.0,3161581
VIR,U.S. Virgin Islands,Ind,RC,CR/LFM+CDM+DUM/H2/IND,2640.6228,3.1,6259426,3517757,655145,0.0,10432328
VIR,U.S. Virgin Islands,Ind,RC,CR/LWAL+CDL+DUL/H2/IND,2464.4183,2.8,5801843,3260607,607253,0.0,9669706
VIR,U.S. Virgin Islands,Ind,RC,CR/LWAL+CDM+DUM/H2/IND,7160.5571,8.2,16968778,9536339,1776044,0.0,28281162
VIR,U.S. Virgin Islands,Ind,S,S/LFM+CDL+DUL/H2/IND,21937.2535,25.6,52629409,29652159,5522406,0.0,87803972
VIR,U.S. Virgin Islands,Ind,S,S/LFM+CDM+DUM/H2/IND,66021.0935,76.6,158219461,89204715,16613453,0.0,264037628
VIR,U.S. Virgin Islands,Ind,W,W/LFM+CDM+DUM/H2/IND,5046.7887,6.7,11599750,6562298,1222162,0.0,19384210
VIR,U.S. Virgin Islands,Res,MUR,MUR+CLBRH/LWAL+DNO/H2/RES,6597465.4419,28307.3,5225449404,8313927130,2136405931,73880.3985,15675782456
VIR,U.S. Virgin Islands,Res,RC,CR/LFM+CDL+DUL/H2/RES,30621.2561,69.2,26576870,45830301,7326645,363.4257,79733812
VIR,U.S. Virgin Islands,Res,RC,CR/LFM+CDM+DUM/H2/RES,60904.4915,136.8,52835059,91104752,14571936,723.4512,158511751
VIR,U.S. Virgin Islands,Res,RC,CR/LWAL+CDL+DUL/H2/RES,200402.8527,441.9,175337630,302326742,48369904,2379.8758,526034275
VIR,U.S. Virgin Islands,Res,RC,CR/LWAL+CDM+DUM/H2/RES,746819.8957,1654.3,651096980,1122563868,179710266,8885.1419,1953371114
VIR,U.S. Virgin Islands,Res,W,W/LFM+CDL+DUL/H1/RES,5877.89,78.8,1675600,2540157,819843,71.3047,5035600
VIR,U.S. Virgin Islands,Res,W,W/LFM+CDM+DUM/H1/RES,23511.56,315.2,6702400,10160643,3279357,285.2928,20142400
VIR,U.S. Virgin Islands,Res,W,W/LFM+CDM+DUM/H2/RES,1781192.7361,7841.3,1433588230,2263444765,603537145,19816.1094,4300570140
