ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+CIP/LFINF+CDL/HBET:1-3/RES,1286.0,247164635.0,86507622.0,123582318.0,37074696.0,364740.0,31690.0,6795.8586398524,30171.90161348604,16378.731628201
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+CIP/LWAL+CDL/HBET:4-7/RES,200.0,173015245.0,60555336.0,86507622.0,25952287.0,255317.0,22183.0,4757.10104789668,21120.33112944023,11465.1121397407
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+CIP/LWAL+CDL/HBET:8-/RES,69.0,74149391.0,25952287.0,37074696.0,11122408.0,109422.0,9507.0,2038.75759195572,9051.570484045813,4913.6194884603
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+PC/LPB+CDL/HBET:5-9/RES,129.0,247164635.0,86507622.0,123582318.0,37074696.0,437687.0,38029.0,8155.244815870839,36207.23403153237,19654.9947961141
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+PC/LPB+CDL/HBET:9-12/RES,62.0,164776424.0,57671748.0,82388212.0,24716464.0,291792.0,25352.0,5436.6869118819195,24137.521290788834,13102.985302560799
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+PC/LWAL+CDL/HBET:5-9/RES,129.0,247164635.0,86507622.0,123582318.0,37074696.0,437687.0,38029.0,8155.244815870839,36207.23403153237,19654.9947961141
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,CR+PC/LWAL+CDL/HBET:9-12/RES,62.0,164776424.0,57671748.0,82388212.0,24716464.0,291792.0,25352.0,5436.6869118819195,24137.521290788834,13102.985302560799
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,EU+ETR/LWAL+CDN/H:1/RES,8699.0,315485901.0,189291540.0,94645770.0,31548590.0,739420.0,64245.0,13777.2148411902,61167.36570395742,33204.5318224605
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,MATO/RES,1485.0,67301154.0,40380693.0,20190346.0,6730115.0,126189.0,10964.0,2351.20839783344,10438.773407707824,5666.6586800755995
KGZ,Kyrgyzstan,KG-B,Batken Region,Total,Res,MCF/LWAL+CDL/HBET:1-4/RES,1711.0,349009800.0,174504900.0,104702940.0,69801960.0,581683.0,50539.0,10837.98989585044,48117.94684897352,26120.691630093097
