ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,CR+CIP/LFINF+CDL/HBET:1-2/COM,1130.0,209559770.0,62867930.0,83823906.0,62867930.0,211677.0,0.0,28809.0,2050.0,4613.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,CR+CIP/LWAL+CDL/HBET:3-/COM,354.0,279413025.0,83823906.0,111765211.0,83823906.0,282236.0,0.0,38412.0,2734.0,6150.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,EU+ETR/LWAL+CDN/H:1/COM,940.0,72440413.0,36220208.0,18110103.0,18110103.0,117598.0,0.0,16005.0,1139.0,2563.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,MATO/COM,236.0,22637629.0,11318815.0,5659407.0,5659407.0,29400.0,0.0,4001.0,285.0,641.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,MCF/LWAL+CDL/HBET:1-3/COM,270.0,54330312.0,24448640.0,16299093.0,13582577.0,70559.0,0.0,9603.0,683.0,1538.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,MIX(MUR+W)/LWAL+CDL/H:1/COM,940.0,90550516.0,45275259.0,22637629.0,22637629.0,117598.0,0.0,16005.0,1139.0,2563.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,MUR+ADO/LWAL+CDN/H:1/COM,940.0,72440413.0,36220208.0,18110103.0,18110103.0,117598.0,0.0,16005.0,1139.0,2563.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,MUR+CLBRS/LWAL+CDL/H:1/COM,1881.0,181101035.0,90550516.0,45275259.0,45275259.0,235196.0,0.0,32010.0,2278.0,5125.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,S/LFM+CDL/HBET:1-2/COM,188.0,37613291.0,9403325.0,15045317.0,13164652.0,35280.0,0.0,4802.0,342.0,769.0
TJK,Tajikistan,TJ-DU,Dushanbe,Total,Com,W/LWAL+CDL/H:1/COM,940.0,90550516.0,45275259.0,22637629.0,22637629.0,117598.0,0.0,16005.0,1139.0,2563.0
