ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,CR+CIP/LFINF+CDL/HBET:1-2/COM,7646.0,1216603113.0,364980933.0,486641246.0,364980933.0,1433706.0,0.0,152385.0,14233.0,32025.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,CR+CIP/LWAL+CDL/HBET:3-/COM,2391.0,1622137485.0,486641246.0,648854993.0,486641246.0,1911610.0,0.0,203180.0,18978.0,42700.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,EU+ETR/LWAL+CDN/H:1/COM,6372.0,420554162.0,210277082.0,105138540.0,105138540.0,796505.0,0.0,84659.0,7907.0,17792.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,MATO/COM,1593.0,131423175.0,65711589.0,32855793.0,32855793.0,199126.0,0.0,21165.0,1977.0,4448.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,MCF/LWAL+CDL/HBET:1-3/COM,1819.0,315415622.0,141937031.0,94624686.0,78853906.0,477902.0,0.0,50795.0,4744.0,10675.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,MIX(MUR+W)/LWAL+CDL/H:1/COM,6372.0,525692704.0,262846352.0,131423175.0,131423175.0,796505.0,0.0,84659.0,7907.0,17792.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,MUR+ADO/LWAL+CDN/H:1/COM,6372.0,420554162.0,210277082.0,105138540.0,105138540.0,796505.0,0.0,84659.0,7907.0,17792.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,MUR+CLBRS/LWAL+CDL/H:1/COM,12744.0,1051385406.0,525692704.0,262846352.0,262846352.0,1593008.0,0.0,169317.0,15815.0,35584.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,S/LFM+CDL/HBET:1-2/COM,1274.0,218364661.0,54591165.0,87345865.0,76427631.0,238952.0,0.0,25398.0,2372.0,5338.0
UZB,Uzbekistan,UZ-AN,Andijan Region,Total,Com,W/LWAL+CDL/H:1/COM,6372.0,525692704.0,262846352.0,131423175.0,131423175.0,796505.0,0.0,84659.0,7907.0,17792.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,CR+CIP/LFINF+CDL/HBET:1-2/COM,4665.0,742088357.0,222626506.0,296835342.0,222626506.0,874514.0,0.0,92943.0,8681.0,19533.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,CR+CIP/LWAL+CDL/HBET:3-/COM,1457.0,989451141.0,296835342.0,395780457.0,296835342.0,1166020.0,0.0,123925.0,11575.0,26044.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,EU+ETR/LWAL+CDN/H:1/COM,3888.0,256524369.0,128262185.0,64131094.0,64131094.0,485842.0,0.0,51635.0,4823.0,10852.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,MATO/COM,972.0,80163865.0,40081933.0,20040967.0,20040967.0,121460.0,0.0,12909.0,1206.0,2713.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,MCF/LWAL+CDL/HBET:1-3/COM,1110.0,192393278.0,86576975.0,57717983.0,48098319.0,291505.0,0.0,30981.0,2894.0,6511.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,MIX(MUR+W)/LWAL+CDL/H:1/COM,3888.0,320655462.0,160327732.0,80163865.0,80163865.0,485842.0,0.0,51635.0,4823.0,10852.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,MUR+ADO/LWAL+CDN/H:1/COM,3888.0,256524369.0,128262185.0,64131094.0,64131094.0,485842.0,0.0,51635.0,4823.0,10852.0
UZB,Uzbekistan,UZ-BU,Bukhara Region,Total,Com,MUR+CLBRS/LWAL+CDL/H:1/COM,7773.0,641310926.0,320655462.0,160327732.0,160327732.0,971685.0,0.0,103271.0,9646.0,21703.0
