ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
HKG,Hong Kong,COM,CR-,CR/LDUAL/CDL+ERL/H:11-20/COM,TOTAL,325.0,10621956099.0,2655489017.0,0.0,4425815.0,13277445111.0,2764246.0,0.0,13618.0,2400.0
HKG,Hong Kong,IND,CR-,CR/LDUAL/CDL+ERL/H:11-20/IND,TOTAL,79.0,282509512.0,94169840.0,0.0,148689.0,376679350.0,91288.0,0.0,1882.0,1900.0
HKG,Hong Kong,RES,CR-,CR/LDUAL/CDL+ERL/H:11-20/RES,URBAN,2125.0,67282666290.0,11873411924.0,609399.0,32039365.0,79156078027.0,14148736.0,267221.0,15077.0,2100.0
HKG,Hong Kong,COM,CR-,CR/LDUAL/CDL+ERL/H:21-30/COM,TOTAL,478.0,20649806010.0,5162451506.0,0.0,8604086.0,25812257552.0,5408747.0,0.0,18000.0,2400.0
HKG,Hong Kong,IND,CR-,CR/LDUAL/CDL+ERL/H:21-30/IND,TOTAL,104.0,419083806.0,139694602.0,0.0,220570.0,558778411.0,136426.0,0.0,2121.0,1900.0
HKG,Hong Kong,RES,CR-,CR/LDUAL/CDL+ERL/H:21-30/RES,URBAN,3073.0,98830439890.0,17440665751.0,1713473.0,47062114.0,116271105482.0,20907837.0,770832.0,15315.0,2100.0
HKG,Hong Kong,COM,CR-,CR/LDUAL/CDL+ERL/H:31-40/COM,TOTAL,195.0,9672216164.0,2418054035.0,0.0,4030090.0,12090270209.0,2549747.0,0.0,20667.0,2400.0
HKG,Hong Kong,IND,CR-,CR/LDUAL/CDL+ERL/H:31-40/IND,TOTAL,37.0,206769498.0,68923164.0,0.0,108826.0,275692664.0,67807.0,0.0,2941.0,1900.0
HKG,Hong Kong,RES,CR-,CR/LDUAL/CDL+ERL/H:31-40/RES,URBAN,1254.0,46845541173.0,8266860150.0,1006772.0,22307401.0,55112401244.0,9969538.0,453834.0,17789.0,2100.0
HKG,Hong Kong,COM,CR-,CR/LDUAL/CDL+ERL/H:7-10/COM,TOTAL,80.0,2524892327.0,631223081.0,0.0,1052038.0,3156115406.0,653665.0,0.0,13150.0,2400.0
HKG,Hong Kong,IND,CR-,CR/LDUAL/CDL+ERL/H:7-10/IND,TOTAL,18.0,46730110.0,15576703.0,0.0,24595.0,62306812.0,15010.0,0.0,1366.0,1900.0
HKG,Hong Kong,RES,CR-,CR/LDUAL/CDL+ERL/H:7-10/RES,URBAN,548.0,17464913418.0,3082043515.0,88041.0,8316625.0,20546956901.0,3654992.0,32006.0,15176.0,2100.0
HKG,Hong Kong,COM,CR-,CR/LDUAL/CDL+ERL/H:>40/COM,TOTAL,75.0,3751679646.0,937919909.0,0.0,1563200.0,4689599557.0,992168.0,0.0,20843.0,2400.0
HKG,Hong Kong,IND,CR-,CR/LDUAL/CDL+ERL/H:>40/IND,TOTAL,9.0,26673743.0,8891247.0,0.0,14039.0,35564989.0,8779.0,0.0,1560.0,1900.0
HKG,Hong Kong,RES,CR-,CR/LDUAL/CDL+ERL/H:>40/RES,URBAN,436.0,23077702991.0,4072535811.0,640831.0,10989382.0,27150238771.0,4925924.0,340406.0,25205.0,2100.0
HKG,Hong Kong,COM,CR+,CR/LDUAL/CDM+ERM/H:11-20/COM,TOTAL,8.0,401079386.0,100269847.0,0.0,167116.0,501349233.0,104376.0,0.0,20890.0,2400.0
HKG,Hong Kong,IND,CR+,CR/LDUAL/CDM+ERM/H:11-20/IND,TOTAL,1.0,1233287.0,411096.0,0.0,649.0,1644383.0,399.0,0.0,649.0,1900.0
HKG,Hong Kong,RES,CR+,CR/LDUAL/CDM+ERM/H:11-20/RES,URBAN,192.0,21386169312.0,3774029879.0,106555.0,10183890.0,25160199197.0,4497253.0,24681.0,53041.0,2100.0
HKG,Hong Kong,COM,CR+,CR/LDUAL/CDM+ERM/H:21-30/COM,TOTAL,19.0,1370311905.0,342577976.0,0.0,570963.0,1712889881.0,358922.0,0.0,30051.0,2400.0
HKG,Hong Kong,IND,CR+,CR/LDUAL/CDM+ERM/H:21-30/IND,TOTAL,2.0,8279465.0,2759822.0,0.0,4358.0,11039286.0,2695.0,0.0,2179.0,1900.0
HKG,Hong Kong,RES,CR+,CR/LDUAL/CDM+ERM/H:21-30/RES,URBAN,294.0,28884175679.0,5097207465.0,311003.0,13754369.0,33981383178.0,6110521.0,74784.0,46784.0,2100.0
HKG,Hong Kong,COM,CR+,CR/LDUAL/CDM+ERM/H:31-40/COM,TOTAL,13.0,1053956142.0,263489035.0,0.0,439148.0,1317445178.0,277839.0,0.0,33781.0,2400.0
