ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUH/H:1/IND,1,9287817,1114538,2600589,5572690,2211,0,118.78,12.26,22.08
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUH/H:2/IND,64,334525482,40143052,93667142,200715288,79641,0,4278.32,441.78000000000003,795.18
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUH/H:3/IND,64,743389986,89206790,208149206,446033990,176991,0,9507.970000000001,981.77,1767.15
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUH/HBET:4-5/IND,32,594722929,71366747,166522426,356833756,141595,0,7606.5,785.41,1413.74
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUH/HBET:6-9/IND,1,32791685,3935002,9181672,19675011,7807,0,419.39,43.3,77.95
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUM/H:2/IND,16,139782245,16773862,39139038,83869345,33274,0,1787.49,184.57,332.23
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUM/H:3/IND,16,310627237,37275264,86975632,186376341,73952,0,3972.71,410.21,738.37
JPN,Japan,1,Hokkaido,Rural,Ind,CR/DUM/HBET:4-5/IND,6,136290283,16354831,38161283,81774169,32447,0,1743.07,179.99,323.96
JPN,Japan,1,Hokkaido,Rural,Ind,S+SR/LFBR+DUH/H:1/IND,266,729883335,87585991,204367344,437930000,228081,0,12252.53,1265.15,2277.27
JPN,Japan,1,Hokkaido,Rural,Ind,S+SR/LFBR+DUH/H:2/IND,241,776826037,93219120,217511297,466095620,242753,0,13040.710000000001,1346.54,2423.75
JPN,Japan,1,Hokkaido,Rural,Ind,S+SR/LFBR+DUH/H:3/IND,26,133080271,15969625,37262485,79848161,41581,0,2233.74,230.66,415.19
JPN,Japan,1,Hokkaido,Rural,Ind,S+SR/LFBR+DUH/HBET:4-5/IND,26,164561633,19747388,46077266,98736979,51420,0,2762.28,285.24,513.42
JPN,Japan,1,Hokkaido,Rural,Ind,S+SR/LFBR+DUM/H:1/IND,56,190063457,22807609,53217776,114038072,59387,0,3190.27,329.40999999999997,592.95
JPN,Japan,1,Hokkaido,Rural,Ind,S+SR/LFBR+DUM/H:2/IND,43,197050243,23646022,55174077,118230144,61572,0,3307.65,341.55,614.75
JPN,Japan,1,Hokkaido,Rural,Ind,SRC/DUH/H:1/IND,1,11076172,1329140,3101329,6645703,2215,0,118.99,12.29,22.12
JPN,Japan,1,Hokkaido,Rural,Ind,SRC/DUH/H:2/IND,1,10830035,1299604,3032410,6498021,2166,0,116.36,12.01,21.63
JPN,Japan,1,Hokkaido,Rural,Ind,SRC/DUH/H:3/IND,4,37722887,4526744,10562411,22633732,7542,0,405.16,41.83,75.29
JPN,Japan,1,Hokkaido,Rural,Ind,SRC/DUH/HBET:4-5/IND,1,19444837,2333380,5444555,11666902,3888,0,208.86,21.57,38.82
