ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
JPN,Japan,01,Hokkaido,Com,50031.0,91053381201.0,68198100751.0,22855280450.0,0.0,0.0,59235937.0,182106762402.0,1183.984669504907,3074.261531509158
JPN,Japan,01,Hokkaido,Ind,14047.0,39587384917.0,18474113870.0,7917476344.0,0.0,0.0,17687029.0,65978975131.0,1259.1321278564817,3730.359413726296
JPN,Japan,01,Hokkaido,Res,1555561.0,267634911023.60724,181927789597.46616,131605039247.01381,2404718.0,5381758.0,213666123.13199997,581167739868.0872,137.35631269490554,2719.9807407421804
JPN,Japan,02,Aomori,Com,11569.0,21515163032.0,16111820351.0,5403342681.0,0.0,0.0,14028571.0,43030326064.0,1212.600138300631,3067.3349455193975
JPN,Japan,02,Aomori,Ind,4097.0,14571574391.0,6800068332.0,2914314677.0,0.0,0.0,6506318.0,24285957400.0,1588.068830851843,3732.672980324663
JPN,Japan,02,Aomori,Res,434500.0,86172840151.19441,53481422596.7454,35938917145.3346,501346.0,1308272.0,68078944.299,175593179893.2744,156.6834161081703,2579.2582670212423
JPN,Japan,03,Iwate,Com,11748.0,20897618264.0,15576282562.0,5321335702.0,0.0,0.0,13712902.0,41795236528.0,1167.2541709227103,3047.8768482411674
JPN,Japan,03,Iwate,Ind,6096.0,14939801774.0,6971907799.0,2987960145.0,0.0,0.0,6630001.0,24899669718.0,1087.598589238845,3755.6057258513233
JPN,Japan,03,Iwate,Res,385081.0,79357586933.15692,49398164824.27077,33547512557.649235,471570.0,1279587.0,62838837.402,162303264315.07693,163.18342738800408,2582.8495724192253
JPN,Japan,04,Miyagi,Com,14946.0,29143604548.0,21804161622.0,7339442926.0,0.0,0.0,19005629.0,58287209096.0,1271.619764485481,3066.839255675253
