ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
PRK,North_Korea,KP01,Ryanggang,Com,570.0,32515508.0,24325138.0,24448147.0,0.0,0.0,144026.0,81288801.0,252.67719298245615,564.403656284282
PRK,North_Korea,KP01,Ryanggang,Ind,291.0,66777115.0,27420479.0,30166082.0,0.0,0.0,399978.0,124363853.0,1374.4948453608247,310.9267334703409
PRK,North_Korea,KP01,Ryanggang,Res,46558.0,657646925.0,1049715595.0,1044719371.0,173999.0,670937.0,11461413.0,2752081498.0,246.1749430817475,240.11712151023613
PRK,North_Korea,KP02,North Hamgyong,Com,5963.0,339561818.0,254028928.0,255313746.0,0.0,0.0,1503938.0,848904512.0,252.21163843702834,564.4544602237593
PRK,North_Korea,KP02,North Hamgyong,Ind,936.0,215795275.0,88611490.0,97483838.0,0.0,0.0,1292353.0,401890722.0,1380.719017094017,310.9759655450175
PRK,North_Korea,KP02,North Hamgyong,Res,193923.0,2396402734.0,3853579212.0,3529187958.0,582626.0,2254840.0,39747173.0,9779170245.0,204.9636866178844,246.03435934928
PRK,North_Korea,KP03,South Hamgyong,Com,10225.0,582118315.0,435487516.0,437690053.0,0.0,0.0,2578282.0,1455295901.0,252.15471882640585,564.4440371534223
PRK,North_Korea,KP03,South Hamgyong,Ind,1231.0,282545520.0,116020791.0,127637853.0,0.0,0.0,1692206.0,526204037.0,1374.659626320065,310.9574348513124
PRK,North_Korea,KP03,South Hamgyong,Res,309214.0,3327271652.0,5254047338.0,4737029257.0,781071.0,3013669.0,54298583.0,13318347564.0,175.60195528016195,245.2798365659008
PRK,North_Korea,KP04,Kangwon,Com,2410.0,137131131.0,102588889.0,103107784.0,0.0,0.0,607361.0,342827771.0,252.0170124481328,564.45469992311
PRK,North_Korea,KP04,Kangwon,Ind,599.0,137135849.0,56311663.0,61950010.0,0.0,0.0,821275.0,255397446.0,1371.076794657763,310.9767690481264
PRK,North_Korea,KP04,Kangwon,Res,159198.0,1621539462.0,2526277378.0,2273673677.0,374321.0,1464889.0,26242907.0,6421490174.0,164.84445156346186,244.69431583932374
PRK,North_Korea,KP05,Jagang,Com,1862.0,106000723.0,79300025.0,79701077.0,0.0,0.0,469493.0,265001812.0,252.14446831364126,564.442519909775
PRK,North_Korea,KP05,Jagang,Ind,524.0,120569320.0,49509161.0,54466347.0,0.0,0.0,722161.0,224544859.0,1378.1698473282443,310.934623996588
PRK,North_Korea,KP05,Jagang,Res,152410.0,1483292597.0,2334585734.0,2047463315.0,336982.0,1311037.0,23895078.0,5865342501.0,156.78156288957416,245.46237099539914
PRK,North_Korea,KP06,North Pyongan,Com,8202.0,467056463.0,349408741.0,351175930.0,0.0,0.0,2068633.0,1167641020.0,252.2108022433553,564.4505429430933
PRK,North_Korea,KP06,North Pyongan,Ind,1104.0,253085525.0,103923769.0,114329418.0,0.0,0.0,1515762.0,471339085.0,1372.9728260869565,310.95850469928655
PRK,North_Korea,KP06,North Pyongan,Res,366030.0,3148189259.0,4819186410.0,4324368530.0,714550.0,2755295.0,51117786.0,12291744012.0,139.65463486599458,240.45924078167235
PRK,North_Korea,KP07,South Pyongan,Com,10206.0,581156483.0,434767853.0,436966856.0,0.0,0.0,2574047.0,1452891104.0,252.20919067215362,564.4384519785381
PRK,North_Korea,KP07,South Pyongan,Ind,1229.0,282311874.0,115924917.0,127532337.0,0.0,0.0,1690784.0,525769179.0,1375.739625711961,310.9617662575468
PRK,North_Korea,KP07,South Pyongan,Res,240562.0,3185320512.0,5137222230.0,4656777551.0,766762.0,2957774.0,52187208.0,12979320098.0,216.93870187311379,248.70692637935335
PRK,North_Korea,KP08,North Hwanghae,Com,4830.0,275018196.0,205743330.0,206783934.0,0.0,0.0,1218090.0,687545436.0,252.19254658385094,564.4455138782848
PRK,North_Korea,KP08,North Hwanghae,Ind,844.0,194206363.0,79746380.0,87731173.0,0.0,0.0,1163075.0,361684025.0,1378.0509478672986,310.97222879006085
PRK,North_Korea,KP08,North Hwanghae,Res,389320.0,2619560747.0,3824315336.0,3395806789.0,562648.0,2183884.0,42024008.0,9839683046.0,107.94207335867667,234.14432640503972
PRK,North_Korea,KP09,South Hwanghae,Com,5935.0,337979383.0,252845189.0,254123939.0,0.0,0.0,1496916.0,844948510.0,252.2183656276327,564.4595354715963
PRK,North_Korea,KP09,South Hwanghae,Ind,936.0,215291961.0,88404644.0,97256425.0,0.0,0.0,1289312.0,400953126.0,1377.4700854700855,310.98223393561835
PRK,North_Korea,KP09,South Hwanghae,Res,320534.0,2630849414.0,3923942239.0,3599131802.0,595248.0,2325260.0,42669215.0,10153923764.0,133.11915428628475,237.96837518571644
PRK,North_Korea,KP10,Pyongyang,Com,8564.0,1392123795.0,1088286801.0,999898893.0,0.0,0.0,4003784.0,3480309527.0,467.5133115366651,869.2550664571315
PRK,North_Korea,KP10,Pyongyang,Ind,1333.0,305839548.0,125586077.0,138160553.0,0.0,0.0,1831634.0,569586217.0,1374.0690172543136,310.97163352503827
PRK,North_Korea,KP10,Pyongyang,Res,127469.0,6474081330.0,11372198448.0,8206984147.0,884167.0,3435504.0,70072079.0,26053263950.0,549.7185904023723,371.8066357072123
PRK,North_Korea,KP11,Nampo,Com,1058.0,60244554.0,45069430.0,45297389.0,0.0,0.0,266826.0,150611381.0,252.1984877126654,564.4554166385585
PRK,North_Korea,KP11,Nampo,Ind,396.0,90895356.0,37324102.0,41061287.0,0.0,0.0,544336.0,169280687.0,1374.5858585858587,310.9856540813027
PRK,North_Korea,KP11,Nampo,Res,77660.0,1024815344.0,1659559054.0,1502333017.0,247492.0,952219.0,16848185.0,4186707497.0,216.9480427504507,248.49605444147247
