ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
TWN,Taiwan,A,Taipei City,Urban,Ind,CR/LFINF+DUM/H:1/IND1,247,471739584,94347916,117934898,259456773,184595,0,70911.0,9237.0,15395.0
TWN,Taiwan,A,Taipei City,Urban,Ind,CR/LFINF+DUM/H:1/IND2,650,677061111,135412222,169265278,372383611,324125,0,124511.0,16219.0,27032.0
TWN,Taiwan,A,Taipei City,Urban,Ind,CR/LFINF+DUM/H:1/IND5,124,212766669,42553331,53191669,117021669,92066,0,35367.0,4607.0,7678.0
TWN,Taiwan,A,Taipei City,Urban,Ind,CR/LFINF+DUM/HBET:2-5/IND2,167,509166666,101833334,127291666,280041666,243750,0,93634.0,12197.0,20329.0
TWN,Taiwan,A,Taipei City,Urban,Ind,CR/LFINF+DUM/HBET:2-5/IND5,56,244977778,48995556,61244444,134737778,106000,0,40718.0,5304.0,8840.0
TWN,Taiwan,A,Taipei City,Urban,Ind,S/LFM+DUM/H:1/IND1,371,636525000,127305000,190957502,318262502,276753,0,106313.0,13849.0,23081.0
TWN,Taiwan,A,Taipei City,Urban,Ind,S/LFM+DUM/H:1/IND2,218,203275000,40655000,60982500,101637500,108125,0,41536.0,5411.0,9018.0
TWN,Taiwan,A,Taipei City,Urban,Ind,S/LFM+DUM/H:1/IND5,44,64740000,12948000,19422000,32370000,31127,0,11957.0,1558.0,2596.0
TWN,Taiwan,A,Taipei City,Urban,Ind,S/LFM+DUM/HBET:2-5/IND2,56,152280000,30456000,45684000,76140000,81000,0,31115.0,4053.0,6755.0
TWN,Taiwan,A,Taipei City,Urban,Ind,S/LFM+DUM/HBET:2-5/IND5,19,72800000,14560000,21840000,36400000,35000,0,13444.0,1751.0,2919.0
TWN,Taiwan,B,Taichung City,Urban,Ind,CR/LFINF+DUM/H:1/IND1,2102,3785625000,757125000,946406250,2082093750,1577348,0,152785.0,19902.0,33171.0
TWN,Taiwan,B,Taichung City,Urban,Ind,CR/LFINF+DUM/H:1/IND2,1649,1607955555,321591113,401988887,884375555,822250,0,79645.0,10375.0,17291.0
TWN,Taiwan,B,Taichung City,Urban,Ind,CR/LFINF+DUM/H:1/IND5,117,187016666,37403334,46754166,102859166,85883,0,8319.0,1084.0,1806.0
