ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
TWN,Taiwan,Com,MCF,MCF/LWAL+DUM/H:1/COM1,1249266.6648,6247,797440712,569600512,911360819,0.0,0,2278402052
TWN,Taiwan,Com,MCF,MCF/LWAL+DUM/H:1/COM2,14088933.3327,28184,6591419328,4708156661,7533050672,0.0,0,18832626664
TWN,Taiwan,Com,MCF,MCF/LWAL+DUM/HBET:2-5/COM1,2775666.6568,2776,1771818459,1265584597,2024935392,0.0,0,5062338464
TWN,Taiwan,Com,MCF,MCF/LWAL+DUM/HBET:2-5/COM2,7482250.0,4993,3500438844,2500313460,4000501540,0.0,0,10001253844
TWN,Taiwan,Com,MUR,MUR/H:1/COM1,1718533.3291,8595,1331436445,665718217,1331436445,0.0,0,3328591100
TWN,Taiwan,Com,MUR,MUR/HBET:2-5/COM1,1474999.9863,1502,1121086657,560543327,1121086657,0.0,0,2802716665
TWN,Taiwan,Com,RC,CR/LFINF+DUM/H:1/COM1,1666000.007,8327,1316648446,1152067392,822905283,0.0,0,3291621108
TWN,Taiwan,Com,RC,CR/LFINF+DUM/H:1/COM12,337200.0,843,193327980,169162020,120829980,0.0,0,483319980
TWN,Taiwan,Com,RC,CR/LFINF+DUM/H:1/COM1B,1367333.352,1379,1072762220,938666946,670476409,0.0,0,2681905554
TWN,Taiwan,Com,RC,CR/LFINF+DUM/H:1/COM2,8449749.9939,16912,4894390010,4282591239,3058993756,0.0,0,12235975011
TWN,Taiwan,Com,RC,CR/LFINF+DUM/H:1/COM4,2159999.9997,2190,1712615538,1498538610,1070384723,0.0,0,4281538890
TWN,Taiwan,Com,RC,CR/LFINF+DUM/H:1/COM8,3288050.0,10979,2564687998,2244102002,1602929998,0.0,0,6411719998
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:13-/COM12,160000.0,8,91733334,80266666,57333334,0.0,0,229333334
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:13-/COM4,3483333.3177,268,3098955551,2711586109,1936847205,0.0,0,7747388891
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:2-5/COM1,3467666.6701,3473,2740513327,2397949170,1712820834,0.0,0,6851283330
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:2-5/COM12,2539500.0,1693,1455980000,1273982500,909987500,0.0,0,3639950000
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:2-5/COM1B,1214999.9733,292,953333310,834166646,595833322,0.0,0,2383333354
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:2-5/COM2,4477050.0,2993,2593198006,2269048244,1620748756,0.0,0,6482995006
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:2-5/COM4,17550833.337,7040,13915752783,12176283682,8697345489,0.0,0,34789381943
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:2-5/COM8,3653500.0035,3675,2849739996,2493522504,1781087500,0.0,0,7124349996
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:6-12/COM12,2360000.0,236,1353066650,1183933350,845666650,0.0,0,3382666650
TWN,Taiwan,Com,RC,CR/LFINF+DUM/HBET:6-12/COM4,14051666.6661,1433,12509744438,10946026399,7818590267,0.0,0,31274361101
TWN,Taiwan,Com,S,S/LFM+DUM/H:1/COM2,5633483.3362,11265,4004717182,3114780032,1779874304,0.0,0,8899371517
TWN,Taiwan,Com,S,S/LFM+DUM/HBET:2-5/COM2,2981950.0,1996,2119854274,1648775546,942157454,0.0,0,4710787274
TWN,Taiwan,Com,S,SRC/LFM+DUM/HBET:13-/COM4,826666.6613,122,905454540,704242425,402424235,0.0,0,2012121222
TWN,Taiwan,Ind,RC,CR/LFINF+DUM/H:1/IND1,7898062.5176,10554,10200955435,4636797935,3709438333,0.0,0,18547191667
TWN,Taiwan,Ind,RC,CR/LFINF+DUM/H:1/IND2,6133000.0,12310,6439375554,2926988880,2341591120,0.0,0,11707955554
TWN,Taiwan,Ind,RC,CR/LFINF+DUM/H:1/IND5,1073250.0,1515,1278639987,581199987,464960013,0.0,0,2324799987
TWN,Taiwan,Ind,RC,CR/LFINF+DUM/HBET:2-5/IND2,4597125.0,3121,4826983330,2194083330,1755266670,0.0,0,8776333330
TWN,Taiwan,Ind,RC,CR/LFINF+DUM/HBET:2-5/IND5,1224500.0,716,1459198876,663272226,530617774,0.0,0,2653088876
TWN,Taiwan,Ind,S,S/LFM+DUM/H:1/IND1,11847093.8047,15821,12519360993,7511616618,5007744375,0.0,0,25038721875
TWN,Taiwan,Ind,S,S/LFM+DUM/H:1/IND2,2044750.0,4139,1756577500,1053946500,702631000,0.0,0,3513155000
TWN,Taiwan,Ind,S,S/LFM+DUM/H:1/IND5,355312.5,583,346451250,207870750,138580500,0.0,0,692902500
TWN,Taiwan,Ind,S,S/LFM+DUM/HBET:2-5/IND2,1531125.0,1110,1315282500,789169500,526113000,0.0,0,2630565000
TWN,Taiwan,Ind,S,S/LFM+DUM/HBET:2-5/IND5,406500.0,295,396480000,237888000,158592000,0.0,0,792960000
TWN,Taiwan,Res,ADO/E,MUR+ADO/H:1/RES,796172.7398,6751,117274966,78183315,195458276,6751.0,21533,390916553
TWN,Taiwan,Res,MCF,MCF/LWAL+DUL/H:1/RES,14675186.4076,109800,3293856246,2744880196,4940784354,109800.0,329343,10979520802
TWN,Taiwan,Res,MCF,MCF/LWAL+DUL/HBET:2-5/RES,48159791.3459,62716,11030310247,9191925216,16545465382,376296.0,1106052,36767700849
TWN,Taiwan,Res,MCF,MCF/LWAL+DUM/H:1/RES,1970921.8127,14746,442365485,368637900,663548218,14746.0,44238,1474551592
TWN,Taiwan,Res,MCF,MCF/LWAL+DUM/HBET:2-5/RES,6462804.954,8416,1480214095,1233511746,2220321168,50496.0,148406,4934047024
TWN,Taiwan,Res,MUR,MUR+STRUB/H:1/RES,13541176.8042,114819,1163491128,1745236648,2908727755,114819.0,348788,5817455509
TWN,Taiwan,Res,MUR,MUR+STRUB/HBET:2-5/RES,4108495.1051,6055,364081112,546121664,910202787,36330.0,107903,1820405494
TWN,Taiwan,Res,MUR,MUR/H:1/RES,59523311.4303,443324,7788944699,11683417064,19472361803,443324.0,1351517,38944723511
TWN,Taiwan,Res,MUR,MUR/HBET:2-5/RES,192637690.8322,249324,25691052223,38536578318,64227630548,1495944.0,4456331,128455261062
