ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
AND,Andorra,1,Andorra la Vella,Com,1556.4694611,785919866.35,471551919.81,314367946.57,0.0,0.0,586133.2194178032,1571839732.69,376.5786827603843,2681.710711178055
AND,Andorra,1,Andorra la Vella,Ind,427.0,304716428.38,126965178.49000001,76179107.09,0.0,0.0,291965.81196581194,507860713.98,683.7606837606837,1739.4526796153398
AND,Andorra,1,Andorra la Vella,Res,1774.2009666666668,89977721.62,224944304.09,134966582.46,3829.2108,10822.146841209284,301741.812,449888608.19,170.07194656584278,1490.9720506019896
AND,Andorra,2,Canillo,Com,331.3964072,243437071.12,146062242.7,97374828.47,0.0,0.0,171790.5967899264,486874142.31,518.3840049486403,2834.1140400447675
AND,Andorra,2,Canillo,Ind,49.0,34967459.0,14569774.58,8741864.74,0.0,0.0,33504.2735042735,58279098.32,683.7606837606837,1739.4526794489798
AND,Andorra,2,Canillo,Res,1493.2746499999998,75738207.74000001,189345519.3,113607311.60000001,3223.5888,9110.53267813836,254080.908,378691038.65,170.15015154780804,1490.4348446755394
AND,Andorra,3,Encamp,Com,634.7209581000001,416831134.33,250098680.62,166732453.74,0.0,0.0,300834.89428866724,833662268.73,473.9640159184263,2771.162137627746
AND,Andorra,3,Encamp,Ind,237.0,169128322.06,70470134.2,42282080.519999996,0.0,0.0,162051.28205128206,281880536.79,683.7606837606838,1739.4526795585443
AND,Andorra,3,Encamp,Res,1614.1566,81839390.89,204598477.25,122759086.36,3486.5600000000004,9853.744040608328,275367.7,409196954.48,170.5954056750132,1486.0020056092271
AND,Andorra,4,Escaldes-Engordany,Com,750.1041916,395722234.04,237433340.43,158288893.62,0.0,0.0,292514.52987841924,791444468.08,389.96519837394175,2705.6586502180116
AND,Andorra,4,Escaldes-Engordany,Ind,180.0,128451890.19,53521620.92,32112972.55,0.0,0.0,123076.92307692306,214086483.64,683.7606837606837,1739.452679575
AND,Andorra,4,Escaldes-Engordany,Res,3377.7076666666667,171210461.20999998,428026153.08,256815691.84,7301.2538,20634.86270088291,577882.584,856052306.15,171.08721092204252,1481.3602794958083
AND,Andorra,5,La Massana,Com,475.01796410000003,301549427.52,180929656.54,120619771.01,0.0,0.0,214349.6157469392,603098855.04,451.2452832243091,2813.6222821692268
AND,Andorra,5,La Massana,Ind,130.0,92770809.58,38654504.0,23192702.4,0.0,0.0,88888.88888888889,154618015.96,683.7606837606837,1739.45267955
AND,Andorra,5,La Massana,Res,1784.1213500000001,90484807.95,226212019.87,135727211.93,3850.9886,10883.695059424239,303490.748,452424039.77,170.1065614174731,1490.7342077195708
AND,Andorra,6,Ordino,Com,179.93652695,121277409.77,72766445.85,48510963.92,0.0,0.0,85994.1497139384,242554819.51000002,477.91380200327023,2820.5967535799173
AND,Andorra,6,Ordino,Ind,50.0,35681080.6,14867116.92,8920270.16,0.0,0.0,34188.03418803419,59468467.68,683.7606837606837,1739.45267964
AND,Andorra,6,Ordino,Res,444.8813666666667,22569641.97,56424104.9,33854462.94,960.8859,2715.663573324792,75781.39,112848209.82,170.34066984599116,1489.1282651321121
AND,Andorra,7,Sant Julia de Loria,Com,324.53652695000005,168364921.79,101018953.07,67345968.73,0.0,0.0,125775.5177139384,336729843.57,387.55427284558357,2677.2288414336117
AND,Andorra,7,Sant Julia de Loria,Ind,133.0,94911674.42,39546531.0,23727918.6,0.0,0.0,90940.17094017094,158186124.03,683.7606837606837,1739.4526796531954
AND,Andorra,7,Sant Julia de Loria,Res,2127.733116666667,107907909.23,269769773.12,161861863.85999998,4592.4981,12979.355106412087,361890.52999999997,539539546.22,170.0826702208509,1490.8915859721449
