ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
AND,Andorra,AD-07,Andorra la Vella,RES,2029.0,534648645.0,97511281.0,28879.0,339055.0,632159925.0,118365.0,4242.0,167.0,1577.0
AND,Andorra,AD-07,Andorra la Vella,IND,472.0,385415579.0,177656439.0,0.0,322640.0,563072017.0,102447.0,0.0,684.0,1195.0
AND,Andorra,AD-07,Andorra la Vella,COM,1720.0,993637395.0,204670639.0,0.0,647966.0,1198308037.0,304738.0,0.0,377.0,1533.0
AND,Andorra,AD-02,Canillo,COM,340.0,270325718.0,55661670.0,0.0,176330.0,325987389.0,83098.0,0.0,519.0,1533.0
AND,Andorra,AD-02,Canillo,IND,50.0,41044201.0,18676731.0,0.0,34371.0,59720931.0,11062.0,0.0,687.0,1194.0
AND,Andorra,AD-02,Canillo,RES,1884.0,490674912.0,89729794.0,3192.0,311418.0,580404705.0,108971.0,3858.0,165.0,1576.0
AND,Andorra,AD-03,Encamp,COM,635.0,461643037.0,95281002.0,0.0,300835.0,556924037.0,141696.0,0.0,474.0,1535.0
AND,Andorra,AD-03,Encamp,IND,237.0,193489230.0,87632348.0,0.0,162051.0,281121578.0,52406.0,0.0,684.0,1194.0
AND,Andorra,AD-03,Encamp,RES,2038.0,529680146.0,96829473.0,13542.0,338017.0,626509620.0,118355.0,4179.0,166.0,1567.0
AND,Andorra,AD-08,Escaldes–Engordany,COM,834.0,498865527.0,102674244.0,0.0,325390.0,601539768.0,153065.0,0.0,390.0,1533.0
AND,Andorra,AD-08,Escaldes–Engordany,RES,4156.0,1080545164.0,197308651.0,9236.0,693536.0,1277853813.0,242876.0,8576.0,167.0,1558.0
AND,Andorra,AD-08,Escaldes–Engordany,IND,200.0,163452413.0,75417826.0,0.0,136826.0,238870237.0,43400.0,0.0,684.0,1195.0
AND,Andorra,AD-04,La Massana,RES,2086.0,548292356.0,100060399.0,13277.0,347823.0,648352753.0,121497.0,4342.0,167.0,1576.0
AND,Andorra,AD-04,La Massana,IND,130.0,106493863.0,48262021.0,0.0,89189.0,154755885.0,28825.0,0.0,686.0,1194.0
AND,Andorra,AD-04,La Massana,COM,477.0,329438457.0,68038553.0,0.0,215083.0,397477009.0,101314.0,0.0,451.0,1532.0
AND,Andorra,AD-05,Ordino,RES,597.0,154308917.0,28256416.0,4507.0,98110.0,182565332.0,34388.0,1208.0,164.0,1573.0
AND,Andorra,AD-05,Ordino,COM,196.0,143962364.0,29579744.0,0.0,93969.0,173542105.0,44259.0,0.0,479.0,1532.0
AND,Andorra,AD-05,Ordino,IND,55.0,44562839.0,20497894.0,0.0,37307.0,65060732.0,11872.0,0.0,678.0,1194.0
AND,Andorra,AD-06,Sant Julià de Lòria,COM,325.0,193307173.0,40009359.0,0.0,125948.0,233316530.0,59248.0,0.0,388.0,1535.0
AND,Andorra,AD-06,Sant Julià de Lòria,IND,133.0,108730977.0,49257361.0,0.0,91064.0,157988338.0,29442.0,0.0,685.0,1194.0
AND,Andorra,AD-06,Sant Julià de Lòria,RES,2615.0,683352817.0,124887451.0,10271.0,433433.0,808240269.0,151560.0,5385.0,166.0,1577.0
