ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
BLR,Belarus,Com,12302695.9996,61349.7985,14239015828.3935,8543409497.0361,5695606331.3574,0.0,0.0,28478031656.7871,,,200.53360076806123,2314.7797570315493
BLR,Belarus,Ind,7504000.0,24388.0,12629572200.0,5262321750.0,3157393050.0,0.0,0.0,21049287000.0,,,307.6923076923077,2805.0755597014927
BLR,Belarus,Res,215975612.8147,1630265.5386,32975338272.8943,82438345682.2357,49463007409.3414,3961544.9153,9991862.2801,164876691364.4714,,,132.4787942215661,763.4042066866605
BLR,Belarus,Com,1779374.8015,9199.1997,1996799890.4816,1198079934.2889,798719956.1926,0.0,0.0,3993599780.9631,1,Brest,193.42713056876025,2244.383688920695
BLR,Belarus,Ind,778461.5385,2530.0,1310185800.0,545910750.0,327546450.0,0.0,0.0,2183643000.0,1,Brest,307.6923077075099,2805.074999861409
BLR,Belarus,Res,31862971.321,239655.7118,4707173484.6479,11767933711.6198,7060760226.9719,582363.3798,1468844.6819,23535867423.2396,1,Brest,132.95310627768646,738.6589024021048
BLR,Belarus,Com,1668437.1397,8438.9996,1894501674.5727,1136701004.7436,757800669.8291,0.0,0.0,3789003349.1454,2,Homyel',197.70555975615878,2270.9895740073835
BLR,Belarus,Ind,726769.2308,2362.0,1223185320.0,509660550.0,305796330.0,0.0,0.0,2038642200.0,2,Homyel',307.6923077053345,2805.0749998812416
BLR,Belarus,Res,33062977.3824,249317.6567,5001375172.7889,12503437931.9722,7502062759.1833,605841.9057,1528062.5381,25006875863.9444,2,Homyel',132.61386225117684,756.3407122933822
BLR,Belarus,Com,1331259.1638,6871.3998,1500294604.9667,900176762.98,600117841.9867,0.0,0.0,3000589209.9334,3,Hrodna,193.73915105332685,2253.948210480968
BLR,Belarus,Ind,599692.3077,1949.0,1009310400.0,420546000.0,252327600.0,0.0,0.0,1682184000.0,3,Hrodna,307.6923076962545,2805.078501759812
BLR,Belarus,Res,25576865.3717,192544.0163,3809564157.7154,9523910394.2886,5714346236.5731,467881.96,1180098.1184,19047820788.5771,3,Hrodna,132.8364592325168,744.7285080388668
BLR,Belarus,Com,1362881.8766,6903.0997,1548121744.8891,928873046.9335,619248697.9556,0.0,0.0,3096243489.7782,4,Mahilyow,197.43042051094815,2271.835544179691
BLR,Belarus,Ind,704307.6923,2289.0,1185382800.0,493909500.0,296345700.0,0.0,0.0,1975638000.0,4,Mahilyow,307.69230768894715,2805.0779816820127
BLR,Belarus,Res,26065610.3165,196501.8472,3933553329.9949,9833883324.9873,5900329994.9924,477499.4891,1204355.5795,19667766649.9747,4,Mahilyow,132.64816940865887,754.5484802066825
BLR,Belarus,Com,4678256.3131,22484.4,5608568780.2285,3365141268.1371,2243427512.0914,0.0,0.0,11217137560.457,5,Minsk,208.06676242639338,2397.717613087359
BLR,Belarus,Ind,4092307.6923,13300.0,6887538000.0,2869807500.0,1721884500.0,0.0,0.0,11479230000.0,5,Minsk,307.69230769172935,2805.0750000052726
BLR,Belarus,Res,69653894.4638,528219.1847,11084264290.8517,27710660727.1292,16626396436.2775,1283572.6195,3237443.9727,55421321454.2585,5,Minsk,131.86551431932494,795.6672326923753
BLR,Belarus,Com,1482486.7049,7452.6997,1690729133.255,1014437479.953,676291653.302,0.0,0.0,3381458266.5099,6,Vitsyebsk,198.91942042156884,2280.9366555081474
BLR,Belarus,Ind,602461.5385,1958.0,1013969880.0,422487450.0,253492470.0,0.0,0.0,1689949800.0,6,Vitsyebsk,307.692307711951,2805.074999820922
BLR,Belarus,Res,29753293.9594,224027.1219,4439407836.8954,11098519592.2385,6659111755.3431,544385.5612,1373057.3895,22197039184.4771,6,Vitsyebsk,132.8111244168066,746.0363620500701
