ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
FIN,Finland,1,Eastern Finland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1373.8148085529115,6614061314.85,992109197.24,1653515328.78,3968436788.94,2599736.3630321547,0,44255.62,4157.62,7483.78
FIN,Finland,1,Eastern Finland,Total,Ind,CR/LFM+CDN/H:2/IND,196.25925836470162,944865902.16,141729885.33,236216475.57,566919541.33,371390.90900459356,0,6322.18,594.0,1069.2
FIN,Finland,1,Eastern Finland,Total,Ind,S+SL/LFM+CDN/H:1/IND,981.2962918235081,4499462267.03,674919340.01,1124865566.79,2699677360.06,1856954.5450229677,0,31611.19,2969.85,5345.58
FIN,Finland,1,Eastern Finland,Total,Ind,S/LFM+CDN/H:1/IND,588.7777750941049,2699677360.06,404951604.09,674919340.01,1619806416.14,1114172.7270137807,0,18966.68,1781.93,3207.42
FIN,Finland,1,Eastern Finland,Total,Ind,W/LWAL+CDN/H:1/IND,785.0370334588066,3419676018.59,512951402.78,854919004.81,2051805611.3,1485563.6360183742,0,25289.04,2375.84,4276.53
FIN,Finland,2,Lapland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,606.0820259251889,2917906879.75,437686031.96999997,729476719.98,1750744127.81,1146918.3997496746,0,10051.27,944.33,1699.69
FIN,Finland,2,Lapland,Total,Ind,CR/LFM+CDN/H:2/IND,86.58314656074127,416843839.96999997,62526576.01,104210960.04,250106303.96,163845.48567852494,0,1435.89,134.9,242.86
FIN,Finland,2,Lapland,Total,Ind,S+SL/LFM+CDN/H:1/IND,432.91573280370636,1985015148.54,297752272.32,496253787.18,1191009089.11,819227.4283926247,0,7179.55,674.46,1214.1
FIN,Finland,2,Lapland,Total,Ind,S/LFM+CDN/H:1/IND,259.7494396822238,1191009089.11,178651363.37,297752272.32,714605453.5,491536.45703557483,0,4307.7,404.71999999999997,728.49
FIN,Finland,2,Lapland,Total,Ind,W/LWAL+CDN/H:1/IND,346.3325862429651,1508648877.94,226297331.71,377162219.47,905189326.79,655381.9427140999,0,5743.6,539.6,971.32
FIN,Finland,3,Oulu,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1232.8972353123029,5935631104.35,890344665.66,1483907776.11,3561378662.61,2333071.207682909,0,17980.85,1689.12,3040.62
FIN,Finland,3,Oulu,Total,Ind,CR/LFM+CDN/H:2/IND,176.12817647318616,847947300.64,127192095.22,211986825.1,508768380.43,333295.8868118442,0,2568.71,241.22,434.45
FIN,Finland,3,Oulu,Total,Ind,S+SL/LFM+CDN/H:1/IND,880.6408823659308,4037934774.67,605690216.27,1009483693.63,2422760864.85,1666479.4340592208,0,12843.35,1206.65,2171.92
FIN,Finland,3,Oulu,Total,Ind,S/LFM+CDN/H:1/IND,528.3845294195585,2422760864.85,363414129.79,605690216.27,1453656518.9,999887.6604355325,0,7706.03,723.98,1303.08
FIN,Finland,3,Oulu,Total,Ind,W/LWAL+CDN/H:1/IND,704.5127058927446,3068906436.97,460335965.52,767226609.25,1841343862.11,1333183.5472473768,0,10274.79,965.33,1737.54
FIN,Finland,4,Southern Finland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,4737.408091281521,22807664755.55,3421149713.36,5701916188.91,13684598853.25,8964826.99469532,0,113740.35,10685.37,19233.92
FIN,Finland,4,Southern Finland,Total,Ind,CR/LFM+CDN/H:2/IND,676.7725844687888,3258237822.17,488735673.46,814559455.31,1954942693.15,1280689.5706707602,0,16248.62,1526.43,2747.64
FIN,Finland,4,Southern Finland,Total,Ind,S+SL/LFM+CDN/H:1/IND,3383.862922343944,15515765893.34,2327364883.89,3878941473.42,9309459535.99,6403447.853353801,0,81242.63,7632.48,13738.62
FIN,Finland,4,Southern Finland,Total,Ind,S/LFM+CDN/H:1/IND,2030.3177534063661,9309459535.99,1396418930.3,2327364883.89,5585675721.47,3842068.7120122802,0,48745.73,4579.59,8243.15
FIN,Finland,4,Southern Finland,Total,Ind,W/LWAL+CDN/H:1/IND,2707.090337875155,11792274140.55,1768841120.93,2948068535.23,7075364484.16,5122758.282683041,0,64994.43,6105.84,10990.83
FIN,Finland,5,Western Finland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,6049.797838928077,29126002719.16,4368900407.97,7281500679.88,17475601631.51,11448325.737164976,0,123163.66,11570.81,20827.51
FIN,Finland,5,Western Finland,Total,Ind,CR/LFM+CDN/H:2/IND,864.2568341325824,4160857531.27,624128629.82,1040214382.77,2496514518.75,1635475.1053092822,0,17594.86,1653.08,2975.41
FIN,Finland,5,Western Finland,Total,Ind,S+SL/LFM+CDN/H:1/IND,4321.284170662912,19814051304.23,2972107695.69,4953512825.99,11888430782.69,8177375.526546411,0,87973.93,8264.64,14876.83
FIN,Finland,5,Western Finland,Total,Ind,S/LFM+CDN/H:1/IND,2592.7705023977474,11888430782.69,1783264617.31,2972107695.69,7133058469.7699995,4906425.315927846,0,52784.56,4959.08,8926.12
FIN,Finland,5,Western Finland,Total,Ind,W/LWAL+CDN/H:1/IND,3457.02733653033,15059051961.83,2258857794.23,3764762990.38,9035431176.86,6541900.42123713,0,70379.34,6611.84,11901.36
