ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
DEU,Germany,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,23009257.2739,46955.5925,56070020370.19,33642012222.14,22428008148.07,0.0,1715127.9092,112140040740.34
DEU,Germany,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,13650705.3103,20245.1255,37390646579.27,22434387947.74,14956258631.67,0.0,1017534.8486,74781293158.81
DEU,Germany,Com,MUR,MUR+ST/LWAL+CDN/H:1/COM,19620191.5076,42094.495,48581434491.75,29148860694.95,19432573796.73,0.0,1462504.5174,97162868983.33
DEU,Germany,Com,MUR,MUR+ST/LWAL+CDN/H:2/COM,5399688.7862,11415.845,17584410513.45,10550646308.13,7033764205.47,0.0,402498.1623,35168821027.09
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:0.0/H:1/COM,23141672.0922,40386.832,66495974840.05,39897584903.91,26598389935.94,0.0,1733202.8147,132991949680.06
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:0.0/H:2/COM,3265469.3939,5644.5298,11358199701.86,6814919821.01,4543279880.67,0.0,244568.4817,22716399403.52
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:0.0/HBET:3-5/COM,30653918.9701,26835.7926,120694883414.8,72416930048.92,48277953366.0,0.0,2295840.0808,241389766829.4
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:4.0/H:1/COM,4586822.8293,8004.9204,13179914322.43,7907948593.48,5271965728.98,0.0,335385.7069,26359828644.87
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:4.0/H:2/COM,647229.0977,1118.7645,2251238005.68,1350742803.45,900495202.25,0.0,47324.9633,4502476011.37
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:4.0/HBET:3-5/COM,6075714.2522,5318.9472,23922152116.81,14353291270.05,9568860846.7,0.0,444252.5276,47844304233.6
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:6.0/H:1/COM,1400827.4442,2444.7232,4025179603.06,2415107761.83,1610071841.23,0.0,101175.8525,8050359206.09
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:6.0/H:2/COM,197666.1313,341.6751,687536626.26,412521975.74,275014650.47,0.0,14276.5963,1375073252.48
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:6.0/HBET:3-5/COM,1855565.3137,1624.4428,7305993065.61,4383595839.39,2922397226.27,0.0,134019.9417,14611986131.27
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:8.0/H:1/COM,574488.1681,1002.5964,1650751536.76,990450922.06,660300614.7,0.0,44379.8683,3301503073.53
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:8.0/H:2/COM,81065.0601,140.1252,281966729.06,169180037.42,112786691.6,0.0,6262.371,563933458.1
DEU,Germany,Com,RC,CR/LFINF+CDH+LFC:8.0/HBET:3-5/COM,761001.8723,666.2139,2996324681.23,1797794808.76,1198529872.5,0.0,58788.4635,5992649362.49
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:0.0/H:1/COM,3745526.4083,6536.6904,10762507947.54,6457504768.49,4305003178.99,0.0,280418.252,21525015895.04
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:0.0/H:2/COM,4453716.2418,9097.6059,16671911045.32,10003146627.26,6668764418.21,0.0,333439.0501,33343822090.76
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:0.0/HBET:3-5/COM,12041399.0509,10296.108,48115641305.08,28869384782.95,19246256522.11,0.0,901512.543,96231282610.15
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:0.0/HBET:6-/COM,292939.4946,212.7059,1156793711.2,694076226.71,462717484.44,0.0,21931.7053,2313587422.33
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:4.0/H:1/COM,939145.4124,1638.996,2698568602.22,1619141161.32,1079427440.89,0.0,68806.2594,5397137204.44
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:4.0/H:2/COM,1116718.4527,2281.1209,4180292054.13,2508175232.43,1672116821.63,0.0,81816.1597,8360584108.27
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:4.0/HBET:3-5/COM,3019265.6315,2581.6503,12064537659.65,7238722595.73,4825815063.88,0.0,221206.2933,24129075319.26
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:4.0/HBET:6-/COM,73451.5584,53.3338,290054138.18,174032482.97,116021655.28,0.0,5381.4198,580108276.5
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:7.5/H:1/COM,132162.3199,230.6496,379759174.94,227855504.96,151903669.97,0.0,9825.9062,759518349.87
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:7.5/H:2/COM,157152.5599,321.0156,588280747.19,352968448.32,235312298.88,0.0,11683.8302,1176561494.4
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:7.5/HBET:3-5/COM,424901.334,363.3156,1697843045.7,1018705827.42,679137218.29,0.0,31590.2679,3395686091.43
DEU,Germany,Com,RC,CR/LFINF+CDL+LFC:7.5/HBET:6-/COM,10336.7537,7.5056,40819002.76,24491401.67,16327601.1,0.0,768.5085,81638005.51
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:0.0/H:1/COM,38479118.556,67153.7342,110567053632.11,66340232179.26,44226821452.99,0.0,2883140.562,221134107264.4
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:0.0/H:2/COM,13034103.5485,17311.5657,41980707719.45,25188424631.64,16792283087.8,0.0,976612.2134,83961415438.64
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:0.0/HBET:3-5/COM,38591867.9232,34197.8661,150764280439.5,90458568263.82,60305712175.84,0.0,2891594.4311,301528560879.2
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:0.0/HBET:6-/COM,2264912.4231,1711.5038,8712690615.79,5227614369.48,3485076246.29,0.0,169704.1984,17425381231.6
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:1.0/H:1/COM,4488053.4846,7832.5482,12896107524.34,7737664514.63,5158443009.73,0.0,334696.2873,25792215048.75
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:1.0/H:2/COM,1520250.5861,2019.1613,4896480659.37,2937888395.6,1958592263.72,0.0,113372.4963,9792961318.71
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:1.0/HBET:3-5/COM,4501240.926,3988.7361,17584702464.22,10550821478.52,7033880985.68,0.0,335679.0091,35169404928.38
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:1.0/HBET:6-/COM,264170.9415,199.6234,1016215831.68,609729499.05,406486332.66,0.0,19700.4589,2032431663.38
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:2.0/H:1/COM,4247881.9589,7413.401,12205991457.19,7323594874.32,4882396582.85,0.0,297998.6486,24411982914.39
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:2.0/H:2/COM,1438894.8299,1911.105,4634445595.41,2780667357.26,1853778238.2,0.0,100941.7918,9268891190.84
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:2.0/HBET:3-5/COM,4260347.0576,3775.2705,16643616942.1,9986170165.27,6657446776.84,0.0,298873.3602,33287233884.21
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:2.0/HBET:6-/COM,250033.7536,188.9405,961832710.66,577099626.42,384733084.27,0.0,17540.4282,1923665421.36
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:4.0/H:1/COM,551198.6229,961.9515,1583830659.0,950298395.39,633532263.6,0.0,43763.3101,3167661317.99
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:4.0/H:2/COM,186709.6232,247.9839,601361845.47,360817107.28,240544738.17,0.0,14824.1012,1202723690.95
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:4.0/HBET:3-5/COM,552823.6171,489.8799,2159679778.22,1295807866.92,863871911.28,0.0,43892.2235,4319359556.43
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:4.0/HBET:6-/COM,32444.3558,24.5169,124807323.66,74884394.19,49922929.46,0.0,2575.9632,249614647.3
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:7.0/H:1/COM,602790.2064,1051.9891,1732075462.76,1039245277.65,692830185.1,0.0,45865.803,3464150925.5
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:7.0/H:2/COM,204185.2958,271.1945,657648215.3,394588929.17,263059286.13,0.0,15536.2927,1315296430.59
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:7.0/HBET:3-5/COM,604566.7988,535.7313,2361822552.89,1417093531.73,944729021.17,0.0,46001.0199,4723645105.77
DEU,Germany,Com,RC,CR/LFINF+CDM+LFC:7.0/HBET:6-/COM,35480.6498,26.8113,136487394.35,81892436.61,54594957.74,0.0,2699.6949,272974788.7
DEU,Germany,Com,RC,CR/LFINF+CDN/H:1/COM,16457516.6471,28721.648,47289522059.31,28373713235.53,18915808823.79,0.0,1226755.5938,94579044118.78
DEU,Germany,Com,RC,CR/LFINF+CDN/H:2/COM,2811045.8403,2451.848,8077343448.84,4846406069.32,3230937379.53,0.0,209537.4584,16154686897.7
DEU,Germany,Com,RC,CR/LFINF+CDN/HBET:3-5/COM,6740016.035,5917.9716,26487602181.63,15892561308.95,10595040872.48,0.0,502406.7677,52975204362.92
DEU,Germany,Com,RC,CR/LWAL+CDH+LFC:0.0/HBET:3-5/COM,17841547.1786,15937.8418,69333836279.44,41600301767.8,27733534511.83,0.0,1336250.1229,138667672559.27
DEU,Germany,Com,RC,CR/LWAL+CDH+LFC:4.0/HBET:3-5/COM,3536247.6492,3158.9271,13742173708.46,8245304225.08,5496869483.41,0.0,258568.0841,27484347417.02
DEU,Germany,Com,RC,CR/LWAL+CDH+LFC:6.0/HBET:3-5/COM,1079988.8986,964.7529,4196933999.14,2518160399.49,1678773599.65,0.0,78003.1376,8393867998.28
DEU,Germany,Com,RC,CR/LWAL+CDH+LFC:8.0/HBET:3-5/COM,442920.4555,395.6602,1721229181.06,1032737508.63,688491672.39,0.0,34216.1691,3442458362.08
DEU,Germany,Com,RC,CR/LWAL+CDL+LFC:0.0/HBET:3-5/COM,1708663.4037,1488.9413,6747387423.03,4048432453.72,2698954969.17,0.0,127923.694,13494774845.85
DEU,Germany,Com,RC,CR/LWAL+CDL+LFC:0.0/HBET:6-/COM,292939.4946,212.7059,1156793711.2,694076226.71,462717484.44,0.0,21931.7053,2313587422.33
DEU,Germany,Com,RC,CR/LWAL+CDL+LFC:4.0/HBET:3-5/COM,428429.7344,373.3366,1691838075.09,1015102845.03,676735230.03,0.0,31388.8539,3383676150.23
DEU,Germany,Com,RC,CR/LWAL+CDL+LFC:4.0/HBET:6-/COM,73451.5584,53.3338,290054138.18,174032482.97,116021655.28,0.0,5381.4198,580108276.5
DEU,Germany,Com,RC,CR/LWAL+CDL+LFC:7.5/HBET:3-5/COM,60292.4262,52.5392,238090528.9,142854317.33,95236211.54,0.0,4482.5721,476181057.76
DEU,Germany,Com,RC,CR/LWAL+CDL+LFC:7.5/HBET:6-/COM,10336.7537,7.5056,40819002.76,24491401.67,16327601.1,0.0,768.5085,81638005.51
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:0.0/HBET:3-5/COM,22235937.2515,19530.5591,87366044113.55,52419626468.15,34946417645.51,0.0,1666085.0683,174732088227.2
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:0.0/HBET:6-/COM,1455706.591,1096.3725,5612428863.79,3367457318.28,2244971545.49,0.0,109072.4529,11224857727.6
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:1.0/HBET:3-5/COM,2593540.0498,2277.9911,10190143524.41,6114086114.66,4076057409.71,0.0,193412.7585,20380287048.78
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:1.0/HBET:6-/COM,169788.35,127.8769,654613471.68,392768083.05,261845388.66,0.0,12661.9116,1309226943.38
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:2.0/HBET:3-5/COM,2454739.1592,2156.078,9644787393.59,5786872436.12,3857914957.45,0.0,172205.8227,19289574787.18
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:2.0/HBET:6-/COM,160702.0281,121.0335,619581430.66,371748858.42,247832572.27,0.0,11273.61,1239162861.36
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:4.0/HBET:3-5/COM,318527.8204,279.7734,1251511142.08,750906685.26,500604456.82,0.0,25289.9837,2503022284.17
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:4.0/HBET:6-/COM,20852.6873,15.7053,80396859.66,48238115.79,32158743.86,0.0,1655.6274,160793719.3
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:7.0/HBET:3-5/COM,348342.9769,305.9608,1368656978.5,821194187.12,547462791.4,0.0,26505.1486,2737313957.0
DEU,Germany,Com,RC,CR/LWAL+CDM+LFC:7.0/HBET:6-/COM,22804.2192,17.1751,87920946.35,52752567.81,35168378.54,0.0,1735.1552,175841892.7
DEU,Germany,Com,S,S/LFINF+CDH/HBET:3-5/COM,6695034.7462,5928.4084,24921403300.44,14952841980.17,9968561320.27,0.0,499053.2411,49842806600.85
DEU,Germany,Com,S,S/LFINF+CDH/HBET:6-/COM,3083531.5527,2083.119,11504506767.39,6902704060.46,4601802706.99,0.0,229848.9201,23009013534.96
