ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
HUN,Hungary,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,93025.6984,179.76,189339855.2,113603913.12,75735942.07,0.0,12010.7926,378679710.4
HUN,Hungary,Com,MCF,MCF/LWAL+CDL/H:1/COM,156886.5626,542.9133,297247658.68,178348595.21,118899063.47,0.0,18918.6802,594495317.35
HUN,Hungary,Com,MCF,MCF/LWAL+CDL/H:2/COM,91740.7504,343.2059,225058206.42,135034923.87,90023282.55,0.0,11062.8212,450116412.86
HUN,Hungary,Com,MCF,MCF/LWAL+CDN/H:1/COM,1846666.1666,5495.4901,3378243752.26,2026946251.39,1351297500.89,0.0,239766.3835,6756487504.54
HUN,Hungary,Com,MCF,MCF/LWAL+CDN/H:2/COM,1276495.3422,4728.3887,3134646115.85,1880787669.49,1253858446.37,0.0,165593.506,6269292231.62
HUN,Hungary,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,2554460.0964,6836.357,3854903787.72,2312942272.63,1541961515.04,0.0,329813.6539,7709807575.5
HUN,Hungary,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,251279.5535,2608.427,416621355.67,249972813.43,166648542.3,0.0,32443.4441,833242711.35
HUN,Hungary,Com,MUR,MUR+ST/LWAL+CDN/H:1/COM,2026081.3492,5435.4026,3056982718.4,1834189631.04,1222793087.35,0.0,261593.162,6113965436.85
HUN,Hungary,Com,MUR,MUR+ST/LWAL+CDN/H:2/COM,190519.6647,872.427,298842564.35,179305538.64,119537025.77,0.0,24598.5446,597685128.68
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:0.0/H:1/COM,2290857.3387,6025.4198,4338658234.27,2603194940.57,1735463293.72,0.0,300983.386,8677316468.48
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:0.0/H:2/COM,174368.9179,2216.2182,362018507.64,217211104.56,144807403.05,0.0,22909.3959,724037015.24
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:0.0/HBET:3-5/COM,1016367.512,463.7626,2554637165.37,1532782299.22,1021854866.16,0.0,133534.2824,5109274330.71
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:0.0/HBET:6-/COM,24590.2698,31.5746,61519851.99,36911911.22,24607940.78,0.0,3230.7662,123039704.01
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:11.0/H:1/COM,96443.5749,253.6653,182655431.63,109593258.98,73062172.66,0.0,11572.4108,365310863.27
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:11.0/H:2/COM,7340.8042,93.3017,15240745.93,9144447.56,6096298.38,0.0,880.834,30481491.86
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:11.0/HBET:3-5/COM,42791.9882,19.5255,107557556.35,64534533.81,43023022.54,0.0,5134.658,215115112.72
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:11.0/HBET:6-/COM,1035.3129,1.3293,2590143.07,1554085.84,1036057.22,0.0,124.2284,5180286.13
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:6.0/H:1/COM,513971.883,1351.8485,973413864.81,584048318.88,389365545.92,0.0,62036.5346,1946827729.63
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:6.0/H:2/COM,39121.0868,497.2289,81221890.67,48733134.41,32488756.26,0.0,4721.925,162443781.32
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:6.0/HBET:3-5/COM,228037.8342,104.0519,573172523.14,343903513.89,229269009.26,0.0,27524.1105,1146345046.29
HUN,Hungary,Com,RC,CR+PC/LWAL+CDL+LFC:6.0/HBET:6-/COM,5517.1938,7.0841,13802898.24,8281738.95,5521159.29,0.0,665.9242,27605796.48
HUN,Hungary,Com,RC,CR+PC/LWAL+CDN/H:1/COM,294093.0426,986.542,631647008.8,378988205.27,252658803.5,0.0,37971.1751,1263294017.61
HUN,Hungary,Com,RC,CR/LDUAL+CDH+LFC:13.0/H:1/COM,336256.7481,917.4834,603883493.83,362330096.31,241553397.54,0.0,48041.3935,1207766987.7
HUN,Hungary,Com,RC,CR/LDUAL+CDH+LFC:13.0/HBET:3-5/COM,739186.5489,1138.9176,1849303524.38,1109582114.61,739721409.75,0.0,105607.8576,3698607048.69
HUN,Hungary,Com,RC,CR/LDUAL+CDH+LFC:15.0/H:1/COM,153003.6933,417.4737,274779332.84,164867599.71,109911733.14,0.0,19990.5667,549558665.68
HUN,Hungary,Com,RC,CR/LDUAL+CDH+LFC:15.0/HBET:3-5/COM,336348.9627,518.2344,841480872.59,504888523.55,336592349.04,0.0,43944.9754,1682961745.17
HUN,Hungary,Com,RC,CR/LDUAL+CDH+LFC:18.0/H:1/COM,360775.861,984.3843,647917368.73,388750421.23,259166947.49,0.0,41718.9677,1295834737.45
HUN,Hungary,Com,RC,CR/LDUAL+CDH+LFC:18.0/HBET:3-5/COM,793114.7169,1221.984,1984221762.69,1190533057.62,793688705.06,0.0,91713.0923,3968443525.39
HUN,Hungary,Com,RC,CR/LDUAL+CDL+LFC:0.0/H:1/COM,785900.8249,2246.271,1425872676.53,855523605.93,570349070.59,0.0,103255.3464,2851745353.01
HUN,Hungary,Com,RC,CR/LDUAL+CDL+LFC:0.0/HBET:3-5/COM,1947095.5551,3614.7165,4864635980.38,2918781588.22,1945854392.17,0.0,255817.1023,9729271960.83
HUN,Hungary,Com,RC,CR/LDUAL+CDL+LFC:11.0/H:1/COM,33085.5401,94.5655,60027688.56,36016613.13,24011075.43,0.0,3969.9859,120055377.11
HUN,Hungary,Com,RC,CR/LDUAL+CDL+LFC:11.0/HBET:3-5/COM,81977.4877,152.1801,204813168.81,122887901.29,81925267.52,0.0,9836.5726,409626337.63
HUN,Hungary,Com,RC,CR/LDUAL+CDL+LFC:6.0/H:1/COM,176322.2534,503.9665,319904456.16,191942673.69,127961782.48,0.0,21282.1515,639808912.34
HUN,Hungary,Com,RC,CR/LDUAL+CDL+LFC:6.0/HBET:3-5/COM,436859.589,810.9994,1091452956.83,654871774.1,436581182.74,0.0,52728.8698,2182905913.65
HUN,Hungary,Com,RC,CR/LDUAL+CDN/H:1/COM,20106.7126,80.6782,39775659.95,23865395.98,15910263.94,0.0,2596.0383,79551319.9
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:13.0/H:1/COM,483622.8634,1272.6992,910832950.67,546499770.39,364333180.28,0.0,69095.7106,1821665901.34
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:13.0/H:2/COM,94225.6089,237.9144,227814690.08,136688814.02,91125876.06,0.0,13462.0545,455629380.12
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:13.0/HBET:3-5/COM,549335.1888,1409.2121,1368265694.67,820959416.82,547306277.86,0.0,78483.7635,2736531389.34
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:15.0/H:1/COM,220058.6246,579.1048,414448456.06,248669073.62,165779382.42,0.0,28751.5352,828896912.08
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:15.0/H:2/COM,42875.0324,108.2567,103661481.34,62196888.83,41464592.55,0.0,5601.7529,207322962.73
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:15.0/HBET:3-5/COM,249961.5263,641.2243,622595834.12,373557500.49,249038333.66,0.0,32658.2332,1245191668.25
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:18.0/H:1/COM,518890.0438,1365.5064,977255074.05,586353044.42,390902029.61,0.0,60002.7734,1954510148.06
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:18.0/H:2/COM,101099.6002,255.2671,244434644.46,146660786.69,97773857.79,0.0,11690.8167,488869288.94
HUN,Hungary,Com,RC,CR/LFINF+CDH+LFC:18.0/HBET:3-5/COM,589410.9126,1511.9876,1468085299.01,880851179.4,587234119.61,0.0,68157.4799,2936170598.06
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:0.0/H:1/COM,2515231.5878,6599.6175,4775909176.92,2865545506.15,1910363670.76,0.0,330462.693,9551818353.79
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:0.0/H:2/COM,310191.6718,1197.975,691619014.48,414971408.68,276647605.78,0.0,40754.3019,1383238028.98
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:0.0/HBET:3-5/COM,1978269.5723,5400.8657,4923893960.47,2954336376.26,1969557584.15,0.0,259912.9827,9847787920.88
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:0.0/HBET:6-/COM,24590.2698,31.5746,61519851.99,36911911.22,24607940.78,0.0,3230.7662,123039704.01
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:11.0/H:1/COM,105889.6527,277.8387,201063655.04,120638193.02,80425462.02,0.0,12705.8596,402127310.07
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:11.0/H:2/COM,13059.3782,50.4346,29118042.2,17470825.32,11647216.88,0.0,1567.012,58236084.39
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:11.0/HBET:3-5/COM,83289.4694,227.376,207306821.24,124384092.74,82922728.49,0.0,9994.0008,414613642.47
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:11.0/HBET:6-/COM,1035.3129,1.3293,2590143.07,1554085.84,1036057.22,0.0,124.2284,5180286.13
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:6.0/H:1/COM,564312.1655,1480.6744,1071515095.21,642909057.13,428606038.08,0.0,68112.6171,2143030190.44
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:6.0/H:2/COM,69595.0888,268.7774,155173147.45,93103888.45,62069258.97,0.0,8400.1283,310346294.88
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:6.0/HBET:3-5/COM,443852.9663,1211.7383,1104746015.63,662847609.38,441898406.26,0.0,53572.9849,2209492031.28
HUN,Hungary,Com,RC,CR/LFINF+CDL+LFC:6.0/HBET:6-/COM,5517.1938,7.0841,13802898.24,8281738.95,5521159.29,0.0,665.9242,27605796.48
HUN,Hungary,Com,RC,CR/LFINF+CDN/H:1/COM,308232.2633,726.2202,657133330.08,394279998.07,262853332.06,0.0,39796.7322,1314266660.2
HUN,Hungary,Com,RC,CR/LFINF+CDN/H:2/COM,11934.984,341.0,28578677.31,17147206.38,11431470.91,0.0,1540.9624,57157354.63
HUN,Hungary,Com,RC,CR/LFINF+CDN/HBET:3-5/COM,1452066.5834,3257.376,3621798810.74,2173079286.43,1448719524.28,0.0,187479.8769,7243597621.42
HUN,Hungary,Com,W,W/LFM+CDH/H:1/COM,20106.7252,80.6782,35987501.85,21592501.1,14395000.76,0.0,2596.0383,71975003.72
HUN,Hungary,Com,W,W/LFM+CDL/H:1/COM,80426.9006,322.7128,143950007.38,86370004.41,57580002.95,0.0,10384.153,287900014.87
HUN,Hungary,Com,W,W/LFM+CDN/H:1/COM,9302.5819,17.976,21161513.23,12696907.96,8464605.3,0.0,1201.0793,42323026.43
HUN,Hungary,Ind,RC,CR+PC/LFM+CDH/H:1/IND,658762.7722,1242.0,1478836784.92,616181993.49,369709196.07,0.0,78160.0,2464727974.76
HUN,Hungary,Ind,RC,CR+PC/LFM+CDL/H:1/IND,12516492.6748,23598.0,28097898910.85,11707457879.57,7024474727.67,0.0,1485040.0,46829831518.04
HUN,Hungary,Ind,RC,CR/LFM+CDH/H:2/IND,329381.3862,621.0,739418392.39,308090996.65,184854598.36,0.0,39080.0,1232363987.31
HUN,Hungary,Ind,RC,CR/LFM+CDL/H:2/IND,2635051.0896,4968.0,5915347139.35,2464727974.76,1478836784.92,0.0,312640.0,9858911898.55
HUN,Hungary,Ind,RC,CR/LFM+CDL/HBET:3-5/IND,329381.3862,621.0,739418392.39,308090996.65,184854598.36,0.0,39080.0,1232363987.31
HUN,Hungary,Ind,S,S+SR/LFM+CDH/H:1/IND,329382.3766,621.0,704207992.67,293419996.92,176051998.22,0.0,39080.0,1173679988.29
HUN,Hungary,Ind,S,S/LFBR+CDH/H:1/IND,8234559.4147,15525.0,17605199818.64,7335499924.56,4401299954.74,0.0,977000.0,29341999697.7
HUN,Hungary,Ind,S,S/LFM+CDH/H:1/IND,7905177.038,14904.0,16900991826.1,7042079927.51,4225247956.46,0.0,937920.0,28168319709.99
HUN,Hungary,Res,ADO/E,MUR+ADO/LWAL+CDN/H:1/RES,41824450.6381,653507.68,9504198795.82,23760496989.57,14256298193.76,653507.68,1516129.7427,47520993979.13
HUN,Hungary,Res,MCF,MCF/LWAL+CDL/H:1/RES,4741126.2045,74080.776,1236082768.98,3090206922.44,1854124153.46,74080.776,178170.3586,6180413844.87
HUN,Hungary,Res,MCF,MCF/LWAL+CDL/H:2/RES,390155.4146,3251.3712,110709297.51,276773243.8,166063946.29,6502.7424,15630.1239,553546487.58
HUN,Hungary,Res,MCF,MCF/LWAL+CDL/HBET:3-5/RES,689839.1088,492.7682,190994029.45,477485073.62,286491044.17,12319.2048,29705.2623,954970147.23
HUN,Hungary,Res,MCF,MCF/LWAL+CDN/H:1/RES,11918339.1777,186226.544,3275841079.83,8189602699.61,4913761619.79,186226.544,412248.8301,16379205399.21
HUN,Hungary,Res,MCF,MCF/LWAL+CDN/H:2/RES,1092527.6552,9104.6312,333134242.12,832835605.2,499701363.12,18209.2624,39895.6422,1665671210.4
HUN,Hungary,Res,MCF,MCF/LWAL+CDN/HBET:3-5/RES,2580315.3248,1843.1795,714405453.18,1786013632.94,1071608179.78,46079.488,101798.3785,3572027265.91
HUN,Hungary,Res,MUR,MUR+CL/LWAL+CDN/H:1/RES,55717568.7259,580384.2688,13163600796.61,32909001991.61,19745401194.95,870576.4032,1933156.183,65818003983.14
HUN,Hungary,Res,MUR,MUR+CL/LWAL+CDN/H:2/RES,1144585.4617,9537.8416,311933769.18,779834423.01,467900653.82,19075.6832,40149.5934,1559668846.05
HUN,Hungary,Res,MUR,MUR+CL/LWAL+CDN/HBET:3-5/RES,10018861.1265,7156.1401,2933338578.0,7333346444.91,4400007866.95,178903.5024,387697.6646,14666692889.79
HUN,Hungary,Res,MUR,MUR+ST/LWAL+CDN/H:1/RES,52441481.1016,546259.6907,12216848386.32,30542120965.74,18325272579.44,819389.536,1835993.2346,61084241931.47
HUN,Hungary,Res,MUR,MUR+ST/LWAL+CDN/H:2/RES,1449290.2432,12076.9152,388262316.95,970655792.43,582393475.49,24153.8304,51584.6926,1941311584.87
HUN,Hungary,Res,MUR,MUR+ST/LWAL+CDN/HBET:3-5/RES,8015348.9594,5725.104,2360856469.12,5902141172.84,3541284703.73,143127.6,310943.8866,11804282345.7
HUN,Hungary,Res,RC,CR+PC/LWAL+CDH+LFC:13.0/H:1/RES,3669.9909,57.344,1048279.94,2620699.89,1572419.95,57.344,133.5965,5241399.75
HUN,Hungary,Res,RC,CR+PC/LWAL+CDH+LFC:13.0/H:2/RES,272.8346,2.2736,77801.46,194503.7,116702.23,4.5472,10.6226,389007.35
HUN,Hungary,Res,RC,CR+PC/LWAL+CDH+LFC:13.0/HBET:3-5/RES,1564.2149,1.1173,545953.26,1364883.12,818929.86,27.9328,65.8652,2729766.23
HUN,Hungary,Res,RC,CR+PC/LWAL+CDH+LFC:13.0/HBET:6-/RES,1033.4733,0.4984,370855.25,927138.14,556282.9,19.936,47.1473,1854276.23
HUN,Hungary,Res,RC,CR+PC/LWAL+CDH+LFC:15.0/H:1/RES,2437.124,38.08,766719.56,1916798.92,1150079.36,38.08,84.4554,3833597.83
HUN,Hungary,Res,RC,CR+PC/LWAL+CDH+LFC:15.0/H:2/RES,211.6819,1.764,66814.13,167035.36,100221.2,3.528,7.8042,334070.66
