ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
IRL,Ireland,1,Carlow,Rural,Res,CR/LFINF+CDN/HBET:4-10/RES,3172.0,677968943.0,203390683.0,338984471.0,135593789.0,380677.0,13188.0,2567.0,12372.0,5643.0
IRL,Ireland,1,Carlow,Rural,Res,CR/LWAL+CDN/HBET:4-10/RES,8.0,2338839.0,701652.0,1169420.0,467768.0,1313.0,45.0,9.0,43.0,19.0
IRL,Ireland,1,Carlow,Rural,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,6784.0,1147706605.0,344311982.0,573853303.0,229541321.0,712291.0,18801.0,3660.0,17638.0,8045.0
IRL,Ireland,1,Carlow,Rural,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,1642.0,251276758.0,75383027.0,125638379.0,50255352.0,155948.0,4549.0,886.0,4268.0,1947.0
IRL,Ireland,1,Carlow,Rural,Res,W/LPB+CDL/HBET:1-3/RES,948.0,244399722.0,73319916.0,122199861.0,48879944.0,151680.0,2627.0,511.0,2465.0,1124.0
IRL,Ireland,1,Carlow,Urban,Res,CR/LFINF+CDN/HBET:4-10/RES,1607.0,404047117.0,121214135.0,202023558.0,80809423.0,192843.0,6681.0,1151.0,6231.0,3058.0
IRL,Ireland,1,Carlow,Urban,Res,CR/LWAL+CDN/HBET:4-10/RES,4.0,1393868.0,418161.0,696934.0,278774.0,665.0,23.0,4.0,21.0,11.0
IRL,Ireland,1,Carlow,Urban,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,3437.0,521156815.0,156347044.0,260578407.0,104231363.0,274920.0,9524.0,1641.0,8883.0,4360.0
IRL,Ireland,1,Carlow,Urban,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,832.0,126111753.0,37833526.0,63055876.0,25222351.0,66526.0,2305.0,397.0,2149.0,1055.0
IRL,Ireland,1,Carlow,Urban,Res,W/LPB+CDL/HBET:1-3/RES,480.0,86485080.0,25945524.0,43242540.0,17297016.0,45623.0,1331.0,229.0,1241.0,609.0
IRL,Ireland,2,Cavan,Rural,Res,CR/LFINF+CDN/HBET:4-10/RES,6054.0,1293740577.0,388122173.0,646870288.0,258748115.0,726430.0,23118.0,4500.0,21688.0,9893.0
IRL,Ireland,2,Cavan,Rural,Res,CR/LWAL+CDN/HBET:4-10/RES,16.0,4463109.0,1338933.0,2231554.0,892622.0,2506.0,80.0,16.0,75.0,34.0
IRL,Ireland,2,Cavan,Rural,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,12945.0,2190121878.0,657036563.0,1095060939.0,438024376.0,1359236.0,32958.0,6416.0,30919.0,14103.0
IRL,Ireland,2,Cavan,Rural,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,3133.0,479501225.0,143850367.0,239750612.0,95900245.0,297589.0,7975.0,1552.0,7482.0,3413.0
IRL,Ireland,2,Cavan,Rural,Res,W/LPB+CDL/HBET:1-3/RES,1809.0,466378042.0,139913412.0,233189021.0,93275608.0,289444.0,4606.0,897.0,4321.0,1971.0
IRL,Ireland,2,Cavan,Urban,Res,CR/LFINF+CDN/HBET:4-10/RES,908.0,228179107.0,68453732.0,114089554.0,45635821.0,108905.0,3466.0,597.0,3232.0,1587.0
IRL,Ireland,2,Cavan,Urban,Res,CR/LWAL+CDN/HBET:4-10/RES,2.0,787162.0,236149.0,393581.0,157432.0,376.0,12.0,2.0,11.0,5.0
IRL,Ireland,2,Cavan,Urban,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,1941.0,294314927.0,88294478.0,147157463.0,58862985.0,155257.0,4941.0,852.0,4608.0,2262.0
IRL,Ireland,2,Cavan,Urban,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,470.0,71219589.0,21365877.0,35609795.0,14243918.0,37570.0,1196.0,206.0,1115.0,547.0
IRL,Ireland,2,Cavan,Urban,Res,W/LPB+CDL/HBET:1-3/RES,271.0,48841064.0,14652319.0,24420532.0,9768213.0,25765.0,690.0,119.0,644.0,316.0
