ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
IRL,Ireland,Com,29389733.3276,46390.01,95633467064.6,57380080238.67,38253386825.94,0.0,1976400.0,191266934129.48,,,633.5358265195458,6507.950650571592
IRL,Ireland,Ind,8955265.8271,28100.0,31246433055.83,13019347106.59,7811608263.96,0.0,1976400.0,52077388425.78,,,318.6927340604982,5815.281135283096
IRL,Ireland,Res,147420446.0421,1854313.521,67311350626.01,168278376565.03,100967025939.01,2089815.3762,4941000.0,336556753129.89,,,79.50135959888739,2282.972017557028
IRL,Ireland,Com,299698.3094,453.79,954341144.87,572604686.92,381736457.95,0.0,23629.4823,1908682289.76,1,Carlow,660.4339218581282,6368.678867696008
IRL,Ireland,Ind,32484.3016,101.9298,113343207.69,47226336.52,28335801.96,0.0,23629.4823,188905346.07,1,Carlow,318.69288078658053,5815.281128592896
IRL,Ireland,Res,1585976.9631,18913.2917,692577099.84,1731442749.61,1038865649.76,21315.3231,59073.7058,3462885499.24,1,Carlow,83.85515267551231,2183.4399741036186
IRL,Ireland,Com,569570.0119,826.1,1849854349.06,1109912609.48,739941739.67,0.0,41185.9901,3699708698.22,10,Kilkenny,689.4686017431304,6495.61708117028
IRL,Ireland,Ind,365396.3822,1146.5476,1274929613.06,531220672.15,318732403.29,0.0,41185.9901,2124882688.45,10,Kilkenny,318.69272780301486,5815.281135670752
IRL,Ireland,Res,3556682.6695,43107.6903,1574286795.07,3935716987.68,2361430192.61,48582.4656,102964.9753,7871433975.38,10,Kilkenny,82.50691801736359,2213.1392386733705
IRL,Ireland,Com,345668.8555,527.08,1090126756.83,654076054.07,436050702.75,0.0,35153.2752,2180253513.73,11,Laoighis,655.8185768763755,6307.347274825574
IRL,Ireland,Ind,106951.5407,335.5945,373171966.11,155488319.19,93292991.55,0.0,35153.2752,621953276.85,11,Laoighis,318.692769696762,5815.281133673281
IRL,Ireland,Res,2482412.3475,29452.2262,1079426376.53,2698565941.33,1619139564.78,33192.7263,87883.188,5397131882.65,11,Laoighis,84.28606824634534,2174.148016982501
IRL,Ireland,Com,143595.8965,211.3,468855818.03,281313490.8,187542327.22,0.0,13299.781,937711636.06,12,Leitrim,679.583040700426,6530.211927469668
IRL,Ireland,Ind,1970.5544,6.1832,6875596.61,2864831.9,1718899.14,0.0,13299.781,11459327.68,12,Leitrim,318.6949152542373,5815.281059990021
IRL,Ireland,Res,1063697.3372,11972.2352,442773545.09,1106933862.71,664160317.62,13492.5315,33249.4525,2213867725.41,12,Leitrim,88.84701306235614,2081.294789397166
IRL,Ireland,Com,1215448.237,1858.29,3960364034.15,2376218420.47,1584145613.65,0.0,80892.336,7920728068.29,13,Limerick,654.068114772183,6516.713609984857
IRL,Ireland,Ind,560199.6755,1757.805,1954631162.99,814429651.3,488657790.79,0.0,80892.336,3257718605.2,13,Limerick,318.6927307067621,5815.281135770668
IRL,Ireland,Res,6639430.4051,83042.5909,3017175684.65,7542939211.67,4525763527.01,93589.19,202230.84,15085878423.33,13,Limerick,79.95211051513567,2272.164553715626
IRL,Ireland,Com,154904.4444,235.35,490780422.89,294468253.73,196312169.16,0.0,16964.2351,981560845.83,14,Longford,658.1875691523263,6336.557027991897
IRL,Ireland,Ind,63756.4145,200.0561,222456884.75,92690368.66,55614221.18,0.0,16964.2351,370761474.49,14,Longford,318.69267920348346,5815.281135202483
IRL,Ireland,Res,1274995.8226,15180.6919,556042343.7,1390105859.22,834063515.54,17108.6744,42410.5877,2780211718.43,14,Longford,83.98799152231,2180.5653549205595
IRL,Ireland,Com,690313.2487,1064.25,2200652752.45,1320391651.48,880261100.96,0.0,53492.9776,4401305504.91,15,Louth,648.6382416725394,6375.809117380481
IRL,Ireland,Ind,124491.4798,390.6317,434371772.35,180988238.42,108592943.09,0.0,53492.9776,723952953.94,15,Louth,318.69272207043105,5815.281134926312
IRL,Ireland,Res,3137948.9248,39310.1479,1427885985.81,3569714964.48,2141828978.69,44302.6266,133732.4439,7139429928.98,15,Louth,79.82541639839518,2275.1899728371254
IRL,Ireland,Com,795163.2489,1108.94,2603059380.52,1561835628.33,1041223752.2,0.0,54166.5996,5206118761.03,16,Mayo,717.048035872094,6547.232619505436
IRL,Ireland,Ind,110290.3319,346.0711,384821571.87,160342321.55,96205393.01,0.0,54166.5996,641369286.38,16,Mayo,318.6926960962646,5815.2811341752795
IRL,Ireland,Res,4804333.1715,56788.3508,2082605124.53,5206512811.31,3123907686.8,64000.6013,135416.499,10413025622.62,16,Mayo,84.60068136896837,2167.4237091614664
IRL,Ireland,Com,934343.4196,1517.08,2973301340.28,1783980804.15,1189320536.13,0.0,80952.5179,5946602680.56,17,Meath,615.8827613573444,6364.472158540795
IRL,Ireland,Ind,402657.1004,1263.465,1404938544.12,585391060.04,351234635.97,0.0,80952.5179,2341564240.01,17,Meath,318.69272231522046,5815.281135447228
IRL,Ireland,Res,6371897.5369,78898.6899,2871284052.56,7178210131.41,4306926078.85,88919.004,202381.2947,14356420262.81,17,Meath,80.76049862140994,2253.0839800343933
IRL,Ireland,Com,305803.9111,443.76,961177124.01,576706274.41,384470849.62,0.0,25478.1037,1922354248.07,18,Monaghan,689.12004484406,6286.231726583041
IRL,Ireland,Ind,26822.2907,84.1635,93587496.76,38994790.35,23396874.18,0.0,25478.1037,155979161.27,18,Monaghan,318.69267200152086,5815.281141144294
IRL,Ireland,Res,2324658.5741,26825.8137,987824299.08,2469560747.67,1481736448.59,30232.7535,63695.2593,4939121495.33,18,Monaghan,86.65752323852156,2124.665338109791
IRL,Ireland,Com,375284.6626,552.08,1201023436.08,720614061.65,480409374.43,0.0,32357.5155,2402046872.13,19,Offaly,679.7650025358643,6400.599628794956
IRL,Ireland,Ind,145424.8682,456.3169,507411895.77,211421623.25,126852973.91,0.0,32357.5155,845686493.02,19,Offaly,318.69270719537235,5815.28113786525
IRL,Ireland,Res,2548618.7647,29716.8594,1092338405.12,2730846012.78,1638507607.66,33490.9685,80893.7887,5461692025.56,19,Offaly,85.76339546499992,2143.000789764216
IRL,Ireland,Com,329210.6264,479.6,1062344856.45,637406913.83,424937942.59,0.0,31616.6557,2124689712.88,2,Cavan,686.4274945788156,6453.891650199783
IRL,Ireland,Ind,47963.4483,150.5006,167352561.56,69730234.04,41838140.43,0.0,31616.6557,278920935.96,2,Cavan,318.6927381020408,5815.281132737072
IRL,Ireland,Res,2402439.6619,27547.3153,1015509335.98,2538773339.99,1523264003.97,31045.8874,79041.6394,5077546679.93,2,Cavan,87.21139013862452,2113.496026749058
IRL,Ireland,Com,301540.8373,449.46,958450217.17,575070130.26,383380086.88,0.0,26788.8236,1916900434.35,20,Roscommon,670.8958245450096,6357.017681299646
IRL,Ireland,Ind,25268.3364,79.2875,88165488.03,36735620.01,22041371.99,0.0,26788.8236,146942480.05,20,Roscommon,318.6925606180041,5815.281137780009
IRL,Ireland,Res,2504883.3976,29471.0803,1081645750.47,2704114376.18,1622468625.71,33213.9749,66972.0591,5408228752.36,20,Roscommon,84.99462429275114,2159.074054122351
IRL,Ireland,Com,367489.4927,533.91,1194340000.17,716604000.12,477736000.08,0.0,27200.1357,2388680000.35,21,Sligo,688.2985759772247,6499.995368030831
IRL,Ireland,Ind,30772.3315,96.558,107369855.37,44737439.75,26842463.91,0.0,27200.1357,178949758.95,21,Sligo,318.6927183661633,5815.2811381874
IRL,Ireland,Res,2292191.6564,28076.4383,1023568399.4,2558920998.48,1535352599.09,31642.2102,68000.3392,5117841996.99,21,Sligo,81.64111244836921,2232.7286563060884
IRL,Ireland,Com,853372.968,1259.4,2717813693.68,1630688216.22,1087125477.49,0.0,66222.0683,5435627387.35,22,Tipperary,677.6028013339685,6369.579997464837
IRL,Ireland,Ind,282467.8418,886.3329,985577947.08,410657477.87,246394486.79,0.0,66222.0683,1642629911.88,22,Tipperary,318.69271895469524,5815.281135765736
IRL,Ireland,Res,5727925.6729,68464.6259,2506109437.83,6265273594.6,3759164156.76,77159.7901,165555.1707,12530547189.19,22,Tipperary,83.66255708847741,2187.6239156654233
IRL,Ireland,Com,686719.6398,1008.26,2242216268.85,1345329761.31,896886507.55,0.0,48218.5544,4484432537.68,23,Waterford,681.09380497094,6530.223220332019
IRL,Ireland,Ind,335450.5788,1052.5831,1170443653.81,487684855.73,292610913.4,0.0,48218.5544,1950739422.89,23,Waterford,318.69272725355364,5815.281135803483
IRL,Ireland,Res,3704493.5152,47221.2302,1710490393.58,4276225983.96,2565735590.37,53218.4344,120546.3859,8552451967.9,23,Waterford,78.4497460042877,2308.669709585999
IRL,Ireland,Com,480985.2957,721.25,1547956162.87,928773697.72,619182465.14,0.0,36843.7635,3095912325.8,24,Westmeath,666.8773597227037,6436.60493049871
IRL,Ireland,Ind,140658.6219,441.3612,490781658.21,204492357.58,122695414.57,0.0,36843.7635,817969430.42,24,Westmeath,318.69276660476726,5815.2811350699
IRL,Ireland,Res,2581433.6064,31457.3069,1147790886.04,2869477215.1,1721686329.05,35452.4568,92109.4088,5738954430.19,24,Westmeath,82.06149415797574,2223.1656146265937
IRL,Ireland,Com,853391.6858,1234.29,2763252689.9,1657951613.91,1105301075.96,0.0,62141.7367,5526505379.83,25,Wexford,691.4029002908554,6475.930656213572
IRL,Ireland,Ind,120816.9898,379.1018,421550856.95,175646190.44,105387714.25,0.0,62141.7367,702584761.55,25,Wexford,318.69273582979554,5815.281134822645
IRL,Ireland,Res,4232806.7955,50601.9265,1852205535.43,4630513838.58,2778308303.15,57028.4869,155354.3416,9261027677.13,25,Wexford,83.64912342813668,2187.9164640766553
IRL,Ireland,Com,926236.5107,1508.48,3016153639.42,1809692183.66,1206461455.76,0.0,59113.1353,6032307278.86,26,Wicklow,614.0197488200042,6512.707293627525
IRL,Ireland,Ind,135934.0102,426.5363,474296691.29,197623621.38,118574172.79,0.0,59113.1353,790494485.52,26,Wicklow,318.6927119684772,5815.28113793556
IRL,Ireland,Res,4159976.5282,52921.9287,1917591187.49,4793977968.74,2876386781.25,59643.1348,147782.8382,9587955937.48,26,Wicklow,78.60591309477351,2304.810104692744
IRL,Ireland,Com,755784.3826,1092.05,2521687129.58,1513012277.75,1008674851.81,0.0,49314.6947,5043374259.08,3,Clare,692.078551897807,6673.033176115804
IRL,Ireland,Ind,320116.136,1004.4664,1116939195.91,465391331.7,279234798.99,0.0,49314.6947,1861565326.57,3,Clare,318.69272680499813,5815.281134625466
IRL,Ireland,Res,3870431.5677,47002.9298,1715981559.13,4289953897.8,2573972338.68,52972.4094,123286.7368,8579907795.61,3,Clare,82.34447478420803,2216.7832308965485
IRL,Ireland,Com,3198486.9061,4893.24,10328447380.91,6197068428.53,4131378952.37,0.0,225315.9876,20656894761.82,4,Cork,653.6542058227268,6458.333383333278
IRL,Ireland,Ind,947080.6038,2971.7672,3304523981.71,1376884992.36,826130995.22,0.0,225315.9876,5507539969.54,4,Cork,318.69273064188883,5815.2811359898315
IRL,Ireland,Res,16858794.2649,212208.9606,7702273561.84,19255683904.64,11553410342.79,239159.9842,563289.969,38511367809.27,4,Cork,79.44430912452242,2284.3488807174454
IRL,Ireland,Com,858247.5278,1197.19,2809940847.27,1685964508.35,1123976338.93,0.0,66072.2362,5619881694.55,5,Donegal,716.8849788254162,6548.089580818016
IRL,Ireland,Ind,43148.4183,135.3919,150552109.83,62730045.74,37638027.47,0.0,66072.2362,250920182.95,5,Donegal,318.6927600543312,5815.2811351140535
IRL,Ireland,Res,5726244.4476,66258.0343,2438727083.36,6096817708.37,3658090625.03,74672.9563,165180.5904,12193635416.74,5,Donegal,86.42339767692143,2129.429773444379
IRL,Ireland,Com,10038510.2385,17446.24,32849787462.47,19709872477.49,13139914984.99,0.0,559217.9383,65699574924.97,6,Dublin,575.3967753796807,6544.753490711897
IRL,Ireland,Ind,3141548.0405,9857.608,10961391033.63,4567246263.97,2740347758.38,0.0,559217.9383,18268985055.9,6,Dublin,318.6927336225989,5815.281135408759
IRL,Ireland,Res,38392579.8739,524434.7245,18795335645.64,46988339114.12,28193003468.49,591039.1346,1398044.8457,93976678228.23,6,Dublin,73.20754725100205,2447.78231983616
IRL,Ireland,Com,1531529.1409,2235.97,5065692324.21,3039415394.52,2026276929.66,0.0,107106.3189,10131384648.42,7,Galway,684.950666109116,6615.2085375707
IRL,Ireland,Ind,507844.8901,1593.5252,1771956485.38,738315202.21,442989121.48,0.0,107106.3189,2953260808.76,7,Galway,318.69272610185266,5815.281134715114
IRL,Ireland,Res,8076073.3563,97852.8638,3573758394.9,8934395987.23,5360637592.34,110280.4014,267765.7972,17868791974.49,7,Galway,82.532825741376,2212.559394417942
IRL,Ireland,Com,1132076.5386,1503.83,3815922133.81,2289553280.29,1526368853.51,0.0,61305.416,7631844267.59,8,Kerry,752.7955544177202,6741.45608302071
