ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:0.0/H:1/COM,1482.0,847468354.0,169493671.0,254240506.0,423734177.0,313893.0,0,29610.0,2690.0,6053.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:0.0/H:2/COM,1470.0,1753064167.0,350612833.0,525919250.0,876532083.0,664473.0,0,62300.0,5660.0,12735.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:0.0/HBET:3-5/COM,1199.0,1597090052.0,319418011.0,479127016.0,798545026.0,469200.0,0,44118.0,4008.0,9018.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:0.0/HBET:6-/COM,376.0,588614272.0,117722854.0,176584282.0,294307136.0,173091.0,0,16275.0,1479.0,3327.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:10.0/H:1/COM,339.0,195026760.0,39005352.0,58508028.0,97513380.0,72228.0,0,7741.0,703.0,1582.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:10.0/H:2/COM,357.0,424680224.0,84936045.0,127404067.0,212340112.0,160858.0,0,17243.0,1566.0,3525.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:10.0/HBET:3-5/COM,275.0,368869002.0,73773800.0,110660701.0,184434501.0,108331.0,0,11572.0,1051.0,2365.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:10.0/HBET:6-/COM,87.0,135849991.0,27169998.0,40754997.0,67924996.0,39957.0,0,4267.0,388.0,872.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:7.0/H:1/COM,286.0,154297768.0,30859554.0,46289330.0,77148884.0,56531.0,0,5701.0,518.0,1165.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:7.0/H:2/COM,390.0,426167156.0,85233431.0,127850147.0,213083578.0,159679.0,0,16264.0,1477.0,3324.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:7.0/HBET:3-5/COM,270.0,351349504.0,70269901.0,105404851.0,175674752.0,103349.0,0,10389.0,944.0,2124.0
ITA,Italy,1,Abruzzo,Total,Com,CR/LFINF+CDL+LFC:7.0/HBET:6-/COM,90.0,130138387.0,26027678.0,39041516.0,65069194.0,38423.0,0,3860.0,351.0,789.0
ITA,Italy,1,Abruzzo,Total,Com,MCF/LWAL+CDL/H:1/COM,30.0,21105384.0,4221077.0,6331615.0,10552692.0,7892.0,0,812.0,74.0,166.0
ITA,Italy,1,Abruzzo,Total,Com,MCF/LWAL+CDL/H:2/COM,33.0,39788775.0,7957755.0,11936633.0,19894388.0,14871.0,0,1528.0,139.0,312.0
ITA,Italy,1,Abruzzo,Total,Com,MCF/LWAL+CDL/HBET:3-5/COM,7.0,13499276.0,2699855.0,4049783.0,6749638.0,3922.0,0,402.0,36.0,82.0
ITA,Italy,1,Abruzzo,Total,Com,MCF/LWAL+CDN/H:1/COM,90.0,63522092.0,12704418.0,19056627.0,31761046.0,23780.0,0,2270.0,206.0,464.0
ITA,Italy,1,Abruzzo,Total,Com,MCF/LWAL+CDN/H:2/COM,97.0,118814116.0,23762823.0,35644235.0,59407058.0,44527.0,0,4249.0,386.0,869.0
ITA,Italy,1,Abruzzo,Total,Com,MCF/LWAL+CDN/HBET:3-5/COM,21.0,39041076.0,7808215.0,11712323.0,19520538.0,11328.0,0,1080.0,98.0,221.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+CL/LWAL+CDN/H:1/COM,194.0,134791779.0,26958356.0,40437534.0,67395890.0,66225.0,0,6444.0,585.0,1317.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+CL/LWAL+CDN/H:2/COM,28.0,38511937.0,7702387.0,11553581.0,19255969.0,18922.0,0,1841.0,167.0,376.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+CL/LWAL+CDN/HBET:3-5/COM,160.0,242364264.0,48472853.0,72709279.0,121182132.0,86451.0,0,8401.0,763.0,1717.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+CL/LWAL+CDN/HBET:6-/COM,6.0,32166701.0,6433340.0,9650010.0,16083350.0,11289.0,0,1099.0,100.0,225.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+STDRE/LWAL+CDN/HBET:3-5/COM,1.0,6031256.0,1206251.0,1809377.0,3015628.0,2117.0,0,206.0,19.0,42.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+STRUB/LWAL+CDN/H:1/COM,2729.0,1869727574.0,373945515.0,560918272.0,934863787.0,872034.0,0,84853.0,7709.0,17345.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+STRUB/LWAL+CDN/H:2/COM,1018.0,1239227032.0,247845406.0,371768110.0,619613516.0,573193.0,0,55768.0,5066.0,11400.0
ITA,Italy,1,Abruzzo,Total,Com,MUR+STRUB/LWAL+CDN/HBET:3-5/COM,380.0,1252810990.0,250562198.0,375843297.0,626405495.0,440902.0,0,42893.0,3897.0,8768.0
ITA,Italy,1,Abruzzo,Total,Com,S/LFM+CDL/HBET:3-5/COM,55.0,215203146.0,43040629.0,64560944.0,107601573.0,64583.0,0,6281.0,571.0,1284.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:0.0/H:1/COM,4923.0,2796815308.0,559363062.0,839044592.0,1398407654.0,1035322.0,0,127304.0,11565.0,26023.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:0.0/H:2/COM,4846.0,5743312985.0,1148662597.0,1722993895.0,2871656492.0,2175555.0,0,266600.0,24221.0,54496.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:0.0/HBET:3-5/COM,4021.0,5325920562.0,1065184112.0,1597776169.0,2662960281.0,1565081.0,0,191795.0,17425.0,39206.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:0.0/HBET:6-/COM,1261.0,1965340118.0,393068023.0,589602035.0,982670059.0,578045.0,0,70822.0,6434.0,14477.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:10.0/H:1/COM,24.0,15417343.0,3083469.0,4625203.0,7708672.0,5762.0,0,900.0,82.0,184.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:10.0/H:2/COM,26.0,33706507.0,6741301.0,10111952.0,16853254.0,12882.0,0,2012.0,183.0,411.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:10.0/HBET:3-5/COM,17.0,24347129.0,4869426.0,7304139.0,12173564.0,7122.0,0,1118.0,102.0,229.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:10.0/HBET:6-/COM,5.0,8862899.0,1772580.0,2658870.0,4431450.0,2597.0,0,408.0,37.0,83.0
ITA,Italy,2,Puglia,Total,Com,CR/LFINF+CDL+LFC:4.0/H:1/COM,61.0,36106746.0,7221349.0,10832024.0,18053373.0,13124.0,0,1483.0,135.0,303.0
