ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
LIE,Liechtenstein,Com,990693.245,3141.6,4147747145.55,2488648287.3,1659098858.19,0.0,15200.0,8295494290.99,,,315.34671664120197,8373.423693819574
LIE,Liechtenstein,Ind,156106.1844,593.0,616669807.53,256945753.15,154167451.87,0.0,15200.0,1027783012.44,,,263.24820303541316,6583.871205297361
LIE,Liechtenstein,Res,1156320.9592,10439.1941,690561370.84,1726403427.0,1035842056.18,15886.8204,38000.0,3452806854.04,,,110.76726307828685,2986.028080325399
LIE,Liechtenstein,Com,75857.4005,241.8,318015553.1,190809331.85,127206221.22,0.0,1860.0214,636031106.17,1,Balzers,313.71960504549213,8384.56237595434
LIE,Liechtenstein,Ind,19082.856,72.49,75383439.57,31409766.5,18845859.91,0.0,1860.0214,125639065.95,1,Balzers,263.24811698165263,6583.871195695236
LIE,Liechtenstein,Res,142831.2339,1277.4423,82819247.7,207048119.25,124228871.55,1916.4251,4650.0536,414096238.5,1,Balzers,111.81032121763934,2899.1994761448323
LIE,Liechtenstein,Com,139137.0139,440.5,582338137.27,349402882.39,232935254.9,0.0,1767.3265,1164676274.58,10,Triesen,315.861552553916,8370.714894147948
LIE,Liechtenstein,Ind,21039.8602,79.924,83114238.0,34630932.49,20778559.5,0.0,1767.3265,138523730.0,10,Triesen,263.2483384215004,6583.87121792758
LIE,Liechtenstein,Res,134976.5107,1213.7806,79640078.45,199100196.12,119460117.66,1836.4562,4418.3162,398200392.25,10,Triesen,111.2033844502046,2950.1458452652087
LIE,Liechtenstein,Com,261812.7148,812.0,1099390578.25,659634346.94,439756231.31,0.0,2130.0383,2198781156.49,11,Vaduz,322.4294517241379,8398.297837328715
LIE,Liechtenstein,Ind,22323.8863,84.8017,88186555.12,36744397.97,22046638.79,0.0,2130.0383,146977591.87,11,Vaduz,263.24809879990613,6583.871190474573
LIE,Liechtenstein,Res,161543.1794,1462.8869,97415400.61,243538501.56,146123100.95,2236.8354,5325.0957,487077003.09,11,Vaduz,110.42766149590922,3015.150530645059
LIE,Liechtenstein,Com,89095.5417,290.3,370819531.13,222491718.65,148327812.42,0.0,1652.5439,741639062.19,2,Eschen,306.9085142955563,8324.087244311575
