ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
NLD,Netherlands,1,Drenthe,Rural,Res,CR+PC/LWAL+CDN/HBET:3-5/RES,3.75,8566111.74,2569833.52,4283055.87,1713222.35,5400.0,103.56884242790667,18.125927458995253,96.37649412346576,39.84698695223296
NLD,Netherlands,1,Drenthe,Rural,Res,CR/LWAL+CDN/H:2/RES,35.30000000000001,6907228.68,2072168.61,3453614.34,1381445.74,4354.255000000001,81.24400306011349,14.21878309561184,75.60200539018538,31.257747542529422
NLD,Netherlands,1,Drenthe,Rural,Res,CR/LWAL+CDN/HBET:3-5/RES,52.26666666666667,119392561.92,35817768.57,59696280.96,23878512.38,75264.0,1443.5195104618458,252.6351489395961,1343.2741580941713,555.3784492542336
NLD,Netherlands,1,Drenthe,Rural,Res,MUR/LWAL+CDN/H:1/RES,3861.26,886760152.88,266028045.87,443380076.44,177352030.58,617801.6000000001,8886.805078070642,1555.3093035626669,8269.660037759406,3419.1017075373115
NLD,Netherlands,1,Drenthe,Rural,Res,MUR/LWAL+CDN/H:2/RES,3588.86,635408194.99,190622458.5,317704097.49,127081639.0,442685.881,8259.868351907047,1445.5870226775492,7686.260993332028,3177.894613186462
NLD,Netherlands,1,Drenthe,Rural,Res,MUR/LWAL+CDN/HBET:3-5/RES,3.9,8060913.11,2418273.93,4030456.56,1612182.62,5616.0,107.71159612502292,18.850964557355063,100.23155388840436,41.440866430322274
NLD,Netherlands,1,Drenthe,Rural,Res,W/LWAL+CDN/H:1/RES,95.29,21883886.34,6565165.9,10941943.17,4376777.27,15246.4,219.3127776656717,38.38265839039239,204.08258055611225,84.37820859285063
NLD,Netherlands,1,Drenthe,Rural,Res,W/LWAL+CDN/H:2/RES,95.29,16871108.63,5061332.59,8435554.31,3374221.73,11754.0215,219.3127776656717,38.38265839039239,204.08258055611225,84.37820859285063
NLD,Netherlands,1,Drenthe,Urban,Res,CR+PC/LWAL+CDN/HBET:3-5/RES,669.3166666666667,1803006305.15,540901891.56,901503152.57,360601261.02,963816.0,17992.002250810245,2697.015530998257,16649.66572481082,7680.6251282748
NLD,Netherlands,1,Drenthe,Urban,Res,CR+PC/LWAL+CDN/HBET:6-/RES,107.56875,643930823.26,193179246.98,321965411.64,128786164.64999999,344220.0,7710.858107490104,1155.8637989992528,7135.571024918923,3291.6964835463427
NLD,Netherlands,1,Drenthe,Urban,Res,CR/LWAL+CDN/H:2/RES,9356.4,2158992073.84,647697622.1700001,1079496036.93,431798414.76,1154111.94,21174.249977885553,3174.037011085027,19594.494219758177,9039.098271855542
NLD,Netherlands,1,Drenthe,Urban,Res,CR/LWAL+CDN/HBET:3-5/RES,798.5749999999999,2151202609.82,645360782.96,1075601304.9,430240521.97,1149948.0,21608.344437844247,3239.1081179084035,19996.20202028822,9224.40932121657
NLD,Netherlands,1,Drenthe,Urban,Res,CR/LWAL+CDN/HBET:6-/RES,549.0625,3286812086.66,986043626.01,1643406043.33,657362417.34,1757000.0,39498.106009123185,5920.797689252374,36551.25497693995,16861.388816204242
NLD,Netherlands,1,Drenthe,Urban,Res,MUR/LWAL+CDN/H:1/RES,85765.97,23226637330.54,6967991199.16,11613318665.26,4645327466.11,13722555.2,194383.2023113963,29138.197533040162,179880.77679666117,82980.45361350487
NLD,Netherlands,1,Drenthe,Urban,Res,MUR/LWAL+CDN/H:2/RES,72318.55,15098722942.67,4529616882.82,7549361471.34,3019744588.54,8920493.1425,163941.2500579083,24574.9245366805,151710.0194809543,69985.05598224055
NLD,Netherlands,1,Drenthe,Urban,Res,MUR/LWAL+CDN/HBET:3-5/RES,19.008333333333333,46329528.85,13898858.66,23164764.419999998,9265905.77,27372.000000000004,520.0649688498443,77.95815488256675,481.26427319361403,222.01109206195667
NLD,Netherlands,1,Drenthe,Urban,Res,W/LWAL+CDN/H:1/RES,2274.54,615977591.96,184793277.59,307988795.98,123195518.4,363926.4,5150.875818989309,772.1204059671527,4766.582361466805,2198.8629001072245
NLD,Netherlands,1,Drenthe,Urban,Res,W/LWAL+CDN/H:2/RES,2274.54,474880224.81,142464067.45000002,237440112.4,94976044.96,280564.509,5150.875818989309,772.1204059671527,4766.582361466805,2198.8629001072245
NLD,Netherlands,2,Flevoland,Urban,Res,CR+PC/LWAL+CDN/HBET:3-5/RES,82.95,223450842.42000002,67035252.70999999,111725421.2,44690168.49,119448.0,2427.7833192784974,363.9266617865022,2246.652715733087,1036.3990237505163
NLD,Netherlands,2,Flevoland,Urban,Res,CR+PC/LWAL+CDN/HBET:6-/RES,13.33125,79803872.29,23941161.69,39901936.15,15960774.469999999,42660.0,1040.4785654050704,155.96856933707238,962.8511638856088,444.1710101787927
NLD,Netherlands,2,Flevoland,Urban,Res,CR/LWAL+CDN/H:2/RES,12624.6,2913130192.7599998,873939057.8199999,1456565096.3799999,582626038.55,1557244.41,31999.78079814836,4796.7927414670785,29612.360321508797,13660.420728686571
NLD,Netherlands,2,Flevoland,Urban,Res,CR/LWAL+CDN/HBET:3-5/RES,788.1999999999998,2123254418.25,636976325.47,1061627209.1199999,424650883.65000004,1135007.9999999995,24016.155354177405,3600.040900515477,22224.372422150645,10252.282304463335
NLD,Netherlands,2,Flevoland,Urban,Res,CR/LWAL+CDN/HBET:6-/RES,688.23125,4119907644.25,1235972293.27,2059953822.12,823981528.84,2202340.0,55886.072287119096,8377.366944696983,51716.55768391446,23857.26530851777
NLD,Netherlands,2,Flevoland,Urban,Res,MUR/LWAL+CDN/H:1/RES,66472.59999999999,18001719943.45,5400515983.03,9000859971.73,3600343988.7,10635616.0,167970.2521902278,25178.875179516905,155438.42823571918,71705.00102159672
NLD,Netherlands,2,Flevoland,Urban,Res,MUR/LWAL+CDN/H:2/RES,47366.68,9889252177.13,2966775653.14,4944626088.559999,1977850435.42,5842679.978,119676.84709070284,17939.65512037403,110748.06857417816,51088.97754813023
NLD,Netherlands,2,Flevoland,Urban,Res,MUR/LWAL+CDN/HBET:3-5/RES,0.1833333333333333,446843.33,134053.0,223421.66,89368.67,264.0,7.220168537850717,1.082309039958653,6.681490528748512,3.082225487143766
NLD,Netherlands,2,Flevoland,Urban,Res,W/LWAL+CDN/H:1/RES,2429.56,657959199.83,197387759.95,328979599.9,131591839.97,388729.60000000003,6142.708429639543,920.7969077697114,5684.416918849054,2622.267386512262
NLD,Netherlands,2,Flevoland,Urban,Res,W/LWAL+CDN/H:2/RES,2429.56,507245420.61,152173626.19,253622710.3,101449084.11999999,299686.22599999997,6142.708429639543,920.7969077697114,5684.416918849054,2622.267386512262
NLD,Netherlands,3,Friesland,Rural,Res,CR+PC/LWAL+CDN/HBET:3-5/RES,93.5,213581719.49,64074515.84,106790859.76,42716343.9,134640.0,2502.501421039334,437.9710940128186,2328.7149672127202,962.8102345694457
NLD,Netherlands,3,Friesland,Rural,Res,CR/LWAL+CDN/H:2/RES,208.3,40758519.42,12227555.82,20379259.7,8151703.88,25693.805,470.60697334486173,82.36249107914925,437.92562645087577,181.06092032027715
NLD,Netherlands,3,Friesland,Rural,Res,CR/LWAL+CDN/HBET:3-5/RES,338.84166666666664,774014821.44,232204446.43,387007410.71999997,154802964.28,487932.0,9054.037868276442,1584.577270192165,8425.279330634474,3483.4427067519605
NLD,Netherlands,3,Friesland,Rural,Res,MUR/LWAL+CDN/H:1/RES,22052.18,5064407604.82,1519322281.46,2532203802.42,1012881520.95,3528348.8000000003,50325.29526459853,8807.597245799087,46830.45025540786,19362.110619046533
NLD,Netherlands,3,Friesland,Rural,Res,MUR/LWAL+CDN/H:2/RES,20775.08,3678230993.54,1103469298.08,1839115496.77,735646198.71,2562606.118,47398.02256303553,8295.285517702267,44106.46229043326,18235.874249010794
NLD,Netherlands,3,Friesland,Rural,Res,MUR/LWAL+CDN/HBET:3-5/RES,23.075,47693735.94,14308120.78,23846867.97,9538747.18,33228.0,606.6027282068334,106.16356029622867,564.4771429303094,233.38380954553992
NLD,Netherlands,3,Friesland,Rural,Res,W/LWAL+CDN/H:1/RES,484.22,111203856.04,33361156.8,55601928.03,22240771.21,77475.20000000001,1105.2689689926572,193.4367970616731,1028.513458274083,425.2402281778458
NLD,Netherlands,3,Friesland,Rural,Res,W/LWAL+CDN/H:2/RES,484.22,85731222.78999999,25719366.83,42865611.39,17146244.56,59728.537000000004,1105.2689689926572,193.4367970616731,1028.513458274083,425.2402281778458
NLD,Netherlands,3,Friesland,Urban,Res,CR+PC/LWAL+CDN/HBET:3-5/RES,1086.458333333333,2926703192.69,878010957.82,1463351596.34,585340638.52,1564499.9999999998,27494.800048939127,4121.492523176015,25443.4844773729,11737.284667317279
