ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
SVN,Slovenia,Com,MCF,MCF/LWAL+CDL/H:1/COM,164465.3248,1862.7678,327009065.5,196205439.31,130803626.16,0.0,31255.3754,654018130.97
SVN,Slovenia,Com,MCF,MCF/LWAL+CDL/H:2/COM,114986.6529,728.3945,241107545.36,144664527.23,96443018.17,0.0,21851.4254,482215090.79
SVN,Slovenia,Com,MCF,MCF/LWAL+CDL/HBET:3-5/COM,39139.2887,137.8803,95374866.48,57224919.9,38149946.58,0.0,7436.8713,190749733.04
SVN,Slovenia,Com,MCF,MCF/LWAL+CDN/H:1/COM,164510.8066,1863.2831,327099502.57,196259701.75,130839801.09,0.0,27434.547,654199005.44
SVN,Slovenia,Com,MCF,MCF/LWAL+CDN/H:2/COM,115018.82,728.599,241175110.37,144705066.14,96470044.25,0.0,19180.8458,482350220.62
SVN,Slovenia,Com,MCF,MCF/LWAL+CDN/HBET:3-5/COM,39150.2607,137.9188,95401588.82,57240953.37,38160635.54,0.0,6528.9164,190803177.64
SVN,Slovenia,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,92265.1307,1083.1921,151064449.68,90638669.83,60425779.72,0.0,16460.1065,302128899.42
SVN,Slovenia,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,54353.2199,418.7726,102911746.17,61747047.74,41164698.41,0.0,9695.9546,205823492.51
SVN,Slovenia,Com,MUR,MUR+ST/LWAL+CDN/H:1/COM,73133.1372,775.3558,113978419.49,68387051.73,45591367.69,0.0,13047.2368,227956838.94
SVN,Slovenia,Com,MUR,MUR+ST/LWAL+CDN/H:2/COM,8211.3532,47.5582,13468967.43,8081380.41,5387586.93,0.0,1464.9158,26937934.96
SVN,Slovenia,Com,RC,CR+PC/LWAL+CDM+LFC:0.0/H:1/COM,39943.1648,383.3696,72627571.15,43576542.7,29051028.49,0.0,4432.6715,145255142.26
