ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
CHE,Switzerland,1,Zurich,Com,7908.9,7798456302.39,4679073781.41,3119382520.96,0.0,0.0,3736384.1904,15596912604.77,472.4277953191974,4174.3332082507995
CHE,Switzerland,1,Zurich,Ind,3858.1236210656803,12291728577.92,5121553574.16,3072932144.29,0.0,0.0,7430990.044626635,20486214296.76,1926.0632303363227,2756.862029652916
CHE,Switzerland,1,Zurich,Res,223959.0,34852250653.63,87130626633.0,52278375980.01,671109.31516,1515441.344846221,65306579.00040001,174261253266.43,291.6006010046482,2668.3567863103444
CHE,Switzerland,10,Fribourg,Com,3637.7000000000003,3586917173.8199997,2152150304.29,1434766869.51,0.0,0.0,1718554.3108,7173834347.7,472.4288178794293,4174.342528843634
CHE,Switzerland,10,Fribourg,Ind,951.2856433609712,3030733609.64,1262805670.67,757683402.36,0.0,0.0,1832236.2992243993,5051222682.81,1926.0632303363227,2756.862029721944
CHE,Switzerland,10,Fribourg,Res,70059.0,7660962090.7,19152405226.31,11491443136.08,155179.03506,317672.8625639137,15637980.331400001,38304810453.42,223.2115835424428,2449.4729908635672
CHE,Switzerland,11,Solothurn,Com,1104.8,1089404873.85,653642924.36,435761949.55,0.0,0.0,521950.5274,2178809747.8,472.4389277697321,4174.3606595309675
CHE,Switzerland,11,Solothurn,Ind,1266.9896487593749,4036545845.31,1681894102.34,1009136461.3100001,0.0,0.0,2440302.175692165,6727576408.97,1926.063230336323,2756.8620296221297
CHE,Switzerland,11,Solothurn,Res,68377.0,7786403829.36,19466009573.34,11679605744.25,155393.3172,274415.6843299226,15609217.416000001,38932019147.63,228.2816943709142,2494.1685486245647
CHE,Switzerland,12,Basel-Stadt,Com,5548.0,5470533155.15,3282319893.12,2188213262.07,0.0,0.0,2621034.0068,10941066310.369999,472.4286241528479,4174.332069703994
CHE,Switzerland,12,Basel-Stadt,Ind,304.795485261839,971058406.84,404607669.49,242764601.73,0.0,0.0,587055.3769353448,1618430677.96,1926.063230336323,2756.8620296245845
CHE,Switzerland,12,Basel-Stadt,Res,23542.999999999996,4362947748.72,10907369371.89,6544421623.09,86991.6477,196634.6479324904,8317202.027,21814738743.75,353.27706864036026,2622.845840816799
CHE,Switzerland,13,Basel-Landschaft,Com,2346.9,2314098699.85,1388459219.93,925639479.94,0.0,0.0,1108731.6099,4628197399.72,472.42388252588523,4174.317173240359
CHE,Switzerland,13,Basel-Landschaft,Ind,1023.620224440714,3261186836.17,1358827848.6,815296709.14,0.0,0.0,1971557.2761238732,5435311393.69,1926.0632303363227,2756.862029580975
CHE,Switzerland,13,Basel-Landschaft,Res,65851.0,7662616520.52,19156541300.43,11493924780.46,150894.1622,290897.47076744004,15129288.126,38313082601.05,229.7503170187241,2532.378409477718
CHE,Switzerland,14,Schaffhausen,Com,718.5,708423873.07,425054323.84,283369549.23,0.0,0.0,339421.6155,1416847746.18,472.4030835073069,4174.30028459693
CHE,Switzerland,14,Schaffhausen,Ind,381.59725084155144,1215743789.99,506559912.5,303935947.46,0.0,0.0,734980.4336433386,2026239650.04,1926.0632303363227,2756.86202964046
CHE,Switzerland,14,Schaffhausen,Res,18752.0,2318152026.63,5795380066.52,3477228039.9900002,46464.58988,82260.23659221691,4619973.2312,11590760133.22,246.37229261945393,2508.8370761424076
