Construction_Era,Zone_1997,Rise_Type,Ductility_Level
Pre-2000,L,Low-Rise,DUL
Pre-2000,L,Mid-Rise,DUL
Pre-2000,L,High-Rise,DUL
Pre-2000,M,Low-Rise,DUL
Pre-2000,M,Mid-Rise,DUL
Pre-2000,M,High-Rise,DUL
Pre-2000,H,Low-Rise,DUL
Pre-2000,H,Mid-Rise,DUL
Pre-2000,H,High-Rise,DUM
2001-2010,L,Low-Rise,DUL
2001-2010,L,Mid-Rise,DUL
2001-2010,L,High-Rise,DUM
2001-2010,M,Low-Rise,DUL
2001-2010,M,Mid-Rise,DUL
2001-2010,M,High-Rise,DUM
2001-2010,H,Low-Rise,DUL
2001-2010,H,Mid-Rise,DUM
2001-2010,H,High-Rise,DUH
2011-2020,L,Low-Rise,DUL
2011-2020,L,Mid-Rise,DUL
2011-2020,L,High-Rise,DUM
2011-2020,M,Low-Rise,DUM
2011-2020,M,Mid-Rise,DUM
2011-2020,M,High-Rise,DUM
2011-2020,H,Low-Rise,DUM
2011-2020,H,Mid-Rise,DUM
2011-2020,H,High-Rise,DUH
Post-2020,L,Low-Rise,DUM
Post-2020,L,Mid-Rise,DUM
Post-2020,L,High-Rise,DUM
Post-2020,M,Low-Rise,DUH
Post-2020,M,Mid-Rise,DUH
Post-2020,M,High-Rise,DUH
Post-2020,H,Low-Rise,DUH
Post-2020,H,Mid-Rise,DUH
Post-2020,H,High-Rise,DUH
