ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
UKR,Ukraine,IND,CR-,CR+PC/LFM/CDN+ERL/H:1/IND,TOTAL,47901.0,22130923068.0,7376974355.0,0.0,44261846.0,29507897424.0,17839061.0,0.0,924.0,500.0
UKR,Ukraine,COM,CR-,CR/LFINF/CDL+ERL/H:1/COM,TOTAL,63911.0,19254976470.0,4813744115.0,0.0,32091627.0,24068720585.0,13890904.0,0.0,502.0,600.0
UKR,Ukraine,COM,CR-,CR/LFINF/CDL+ERL/H:2/COM,TOTAL,13581.0,6082267460.0,1520566866.0,0.0,10137112.0,7602834327.0,4392093.0,0.0,746.0,600.0
UKR,Ukraine,COM,CR-,CR/LFINF/CDL+ERL/H:3-5/COM,TOTAL,26464.0,18484902852.0,4621225715.0,0.0,30808171.0,23106128568.0,13373929.0,0.0,1164.0,600.0
UKR,Ukraine,IND,CR-,CR/LFINF/CDN+ERL/H:1/IND,TOTAL,28741.0,13278553930.0,4426184645.0,0.0,26557108.0,17704738573.0,10703437.0,0.0,924.0,500.0
UKR,Ukraine,RES,CR-,CR/LFINF/CDN+ERL/H:3-5/RES,RURAL,542224.0,127422635251.0,22486347398.0,7546952.0,271111990.0,149908982660.0,86643678.0,5422240.0,500.0,470.0
UKR,Ukraine,RES,CR-,CR/LFINF/CDN+ERL/H:3-5/RES,URBAN,642008.0,192602305462.0,33988642133.0,10211572.0,321003842.0,226590947601.0,102588429.0,6420077.0,500.0,600.0
UKR,Ukraine,IND,CR-,CR/LFM/CDN+ERL/H:1/IND,TOTAL,38321.0,17704738308.0,5901579436.0,0.0,35409477.0,23606317739.0,14271248.0,0.0,924.0,500.0
UKR,Ukraine,RES,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:1/RES,URBAN,707401.0,18392423371.0,3245721772.0,2374194.0,70740090.0,21638145144.0,26671705.0,1414802.0,100.0,260.0
UKR,Ukraine,RES,ADO|ST|E,MUR+ADO/LWAL/CDN+ERN/H:1/RES,RURAL,545035.0,20754925646.0,3662633940.0,1536048.0,74124734.0,24417559586.0,27947845.0,1090070.0,136.0,280.0
UKR,Ukraine,COM,MUR,MUR+CB/LWAL/CDN+ERN/H:1/COM,TOTAL,3042.0,773775532.0,193443881.0,0.0,1488030.0,967219416.0,890506.0,0.0,489.0,520.0
UKR,Ukraine,RES,MUR,MUR+CB/LWAL/CDN+ERN/H:1/RES,URBAN,128444.0,5779987427.0,1019997787.0,427797.0,12844417.0,6799985196.0,5712019.0,256888.0,100.0,450.0
UKR,Ukraine,RES,MUR,MUR+CB/LWAL/CDN+ERN/H:1/RES,RURAL,100354.0,4495844356.0,793384298.0,282264.0,11239611.0,5289228639.0,4998350.0,200707.0,112.0,400.0
UKR,Ukraine,COM,MUR,MUR+CB/LWAL/CDN+ERN/H:2/COM,TOTAL,618.0,239539520.0,59884881.0,0.0,460653.0,299424397.0,275871.0,0.0,745.0,520.0
UKR,Ukraine,COM,MUR,MUR+CB/LWAL/CDN+ERN/H:3-5/COM,TOTAL,2005.0,1213878552.0,303469638.0,0.0,2334382.0,1517348191.0,1399967.0,0.0,1164.0,520.0
UKR,Ukraine,COM,MUR,MUR+CL/LWAL/CDN+ERN/H:1/COM,TOTAL,13563.0,3450155974.0,862538994.0,0.0,6634915.0,4312694969.0,3426926.0,0.0,489.0,520.0
UKR,Ukraine,RES,MUR,MUR+CL/LWAL/CDN+ERN/H:1/RES,RURAL,469383.0,11215549313.0,1979214606.0,690928.0,28038873.0,13194763896.0,10571726.0,491301.0,60.0,400.0
