ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
GBR,United_Kingdom,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,143251.750019628,156560165478.30002,93936099286.97,62624066191.32,0.0,0.0,127348977.77008589,313120330956.59,888.9872392667932,2458.758102651544
GBR,United_Kingdom,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,58764.625007135,49866274360.85,29919764616.53,19946509744.350002,0.0,0.0,37490940.75525445,99732548721.73,637.9848548459626,2660.1772778335053
GBR,United_Kingdom,Com,MUR,MUR+CL/LWAL+CDN/HBET:3-5/COM,57380.00000588898,54527432122.200005,32716459273.31,21810972848.89,0.0,0.0,33034458.752181184,109054864244.43001,575.7138157684004,3301.245679928974
GBR,United_Kingdom,Com,MUR,MUR+ST/LWAL+CDN/H:1/COM,38739.750005307,42177908905.64,25306745343.38,16871163562.24,0.0,0.0,34302870.00540963,84355817811.28,885.469575841621,2459.1475231657564
GBR,United_Kingdom,Com,MUR,MUR+ST/LWAL+CDN/H:2/COM,17778.000002209996,14072701778.970001,8443621067.389999,5629080711.580001,0.0,0.0,10517859.001479533,28145403557.949997,591.6221734825093,2675.9631930786313
GBR,United_Kingdom,Com,MUR,MUR+ST/LWAL+CDN/HBET:3-5/COM,19416.625002158,17506771618.71,10504062971.22,7002708647.48,0.0,0.0,10638553.12583541,35013543237.42,547.9094912042139,3291.194095970687
GBR,United_Kingdom,Com,RC,CR/LFINF+CDL/H:1/COM,54215.875008259005,85534180627.69,51320508376.61,34213672251.079998,0.0,0.0,56900027.63419228,171068361255.39,1049.5086102645098,3006.472375640673
GBR,United_Kingdom,Com,RC,CR/LFINF+CDL/H:2/COM,7595.875000833,20290505230.3,12174303138.19,8116202092.11,0.0,0.0,13225280.251992108,40581010460.59,1741.113466261854,3068.4423836294377
GBR,United_Kingdom,Com,RC,CR/LFINF+CDL/HBET:3-5/COM,86759.37501036601,104562974372.4,62737784623.44,41825189748.950005,0.0,0.0,51694504.130109146,209125948744.8,595.8376731498203,4045.419378014613
GBR,United_Kingdom,Com,RC,CR/LFINF+CDL/HBET:6-/COM,6512.125000376001,14215555940.49,8529333564.299999,5686222376.2,0.0,0.0,6897627.375150912,28431111880.98,1059.1976313035536,4121.868337423483
GBR,United_Kingdom,Com,RC,CR/LWAL+CDL/HBET:3-5/COM,59193.00000739701,69340311238.9,41604186743.34,27736124495.56,0.0,0.0,34355280.378698334,138680622477.80002,580.3943097056266,4036.661059060593
GBR,United_Kingdom,Com,RC,CR/LWAL+CDL/HBET:6-/COM,1859.5000001399999,3766316410.91,2259789846.56,1506526564.36,0.0,0.0,1835197.500072172,7532632821.83,986.9306264770108,4104.535245679971
GBR,United_Kingdom,Com,S,S/LFM+CDL/HBET:3-5/COM,15753.625001477001,20459415616.98,12275649370.18,8183766246.79,0.0,0.0,10527748.500662394,40918831233.96,668.2746669211277,3886.7599498017485
GBR,United_Kingdom,Com,S,S/LFM+CDL/HBET:6-/COM,9156.625001105,12791134465.25,7674680679.16,5116453786.11,0.0,0.0,6632389.500624714,25582268930.52,724.3268671398396,3857.1722797809703
GBR,United_Kingdom,Com,W,W/LPB+CDL/H:1/COM,15424.875001749,17110702796.47,10266421677.88,6844281118.59,0.0,0.0,12289852.126851719,34221405592.940002,796.7553789225645,2784.5254149291763
GBR,United_Kingdom,Com,W,W/LPB+CDL/H:2/COM,13948.375001971,7600652172.860001,4560391303.7,3040260869.15,0.0,0.0,4816292.250711984,15201304345.720001,345.2941471699326,3156.2254851691814
GBR,United_Kingdom,Ind,MUR,MUR/LWAL+CDN/H:1/IND,32192.000000000004,66846853649.74,27852855687.92,16711713412.34,0.0,0.0,49567683.51868081,111411422750.76,1539.7516003566354,2247.6624857559027
GBR,United_Kingdom,Ind,RC,CR+PC/LFM+CDN/H:1/IND,22132.000000000004,50797267275.75,21165528031.74,12699316818.77,0.0,0.0,34077782.41909306,84662112125.98,1539.7516003566352,2484.3785632760428
GBR,United_Kingdom,Ind,RC,CR/LFM+CDN/H:1/IND,22132.000000000004,50797267275.75,21165528031.74,12699316818.77,0.0,0.0,34077782.41909306,84662112125.98,1539.7516003566352,2484.3785632760428
GBR,United_Kingdom,Ind,S,S+SL/LFM+CDN/H:1/IND,30180.000000000004,65968963064.14,27487067943.83,16492240765.54,0.0,0.0,46469703.29876325,109948271772.81,1539.7516003566352,2366.020524510992
GBR,United_Kingdom,Ind,S,S/LFBR+CDN/H:1/IND,14084.000000000004,30785516097.14,12827298373.82,7696379024.69,0.0,0.0,21685861.539422855,51309193494.02,1539.7516003566352,2366.020524512928
GBR,United_Kingdom,Ind,S,S/LFM+CDN/H:1/IND,80480.00000000001,175917234836.81,73298847849.15,43979308710.25,0.0,0.0,123919208.79670203,293195391395.41,1539.7516003566352,2366.0205245210786
GBR,United_Kingdom,Res,MUR,MUR+CL/LWAL+CDN/HBET:1-4/RES,7379598.6297,451821551900.06,1129553879750.18,677732327850.04,14759197.2594,36997323.87611216,1145514915.009,2259107759500.49,155.22726539608132,1972.1329944296194
GBR,United_Kingdom,Res,MUR,MUR+ST/LWAL+CDN/HBET:1-4/RES,1993948.4304,61040505593.18,152601263983.04,91560758389.93001,1993948.4304,4998290.481168477,154757567.4624,305202527966.18,77.61362586060189,1972.1331432812306
GBR,United_Kingdom,Res,RC,CR/LFINF+CDN/HBET:4-10/RES,3397931.0901,223303906088.66998,558259765221.92,334955859133.15,6795862.1802,17035392.21598984,509689663.515,1116519530443.83,150.0,2190.5869598059276
GBR,United_Kingdom,Res,RC,CR/LWAL+CDN/HBET:4-10/RES,1216074.8772,79917538232.74,199793845581.83,119876307349.1,2432149.7544,6096742.91586376,182411231.58,399587691163.73,150.0,2190.587102025475
GBR,United_Kingdom,Res,W,W/LPB+CDL/HBET:1-3/RES,680667.8757,25994710885.12,64986777212.59,38992066327.58,680667.8757,1706250.5108657693,65970613.2033,129973554425.34,96.92041531335045,1970.173507782984
