ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR+PC/LWAL+CDL/H:1/IND,93.0,20302265.0,4060453.0,6090680.0,10151133.0,22423.0,0.0,1232.0,98.0,176.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR+PC/LWAL+CDL/H:2/IND,31.0,13534843.0,2706969.0,4060453.0,6767422.0,14949.0,0.0,821.0,65.0,117.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR+PC/LWAL+CDM/H:1/IND,10.0,2379152.0,475830.0,713746.0,1189576.0,2628.0,0.0,144.0,11.0,21.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR+PC/LWAL+CDM/H:2/IND,3.0,1586101.0,317220.0,475830.0,793051.0,1752.0,0.0,96.0,8.0,14.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LFINF+CDL/H:1/IND,93.0,20302265.0,4060453.0,6090680.0,10151133.0,22423.0,0.0,1232.0,98.0,176.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LFINF+CDL/H:2/IND,31.0,13534843.0,2706969.0,4060453.0,6767422.0,14949.0,0.0,821.0,65.0,117.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LFINF+CDM/H:1/IND,10.0,2379152.0,475830.0,713746.0,1189576.0,2628.0,0.0,144.0,11.0,21.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LFINF+CDM/H:2/IND,3.0,1586101.0,317220.0,475830.0,793051.0,1752.0,0.0,96.0,8.0,14.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LWAL+CDL/H:1/IND,47.0,10151133.0,2030227.0,3045340.0,5075566.0,11212.0,0.0,616.0,49.0,88.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LWAL+CDL/H:2/IND,15.0,6767422.0,1353484.0,2030227.0,3383711.0,7474.0,0.0,411.0,33.0,59.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LWAL+CDM/H:1/IND,5.0,1189576.0,237916.0,356873.0,594788.0,1313.0,0.0,72.0,6.0,10.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,CR/LWAL+CDM/H:2/IND,2.0,793051.0,158610.0,237916.0,396525.0,876.0,0.0,48.0,4.0,7.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MCF/LWAL+CDL/H:1/IND,47.0,8459277.0,2960747.0,2114820.0,3383711.0,11212.0,0.0,616.0,49.0,88.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MCF/LWAL+CDL/H:2/IND,15.0,5639518.0,1973831.0,1409879.0,2255807.0,7474.0,0.0,411.0,33.0,59.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MCF/LWAL+CDM/H:1/IND,5.0,991313.0,346960.0,247828.0,396525.0,1313.0,0.0,72.0,6.0,10.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MCF/LWAL+CDM/H:2/IND,2.0,660876.0,231306.0,165219.0,264351.0,876.0,0.0,48.0,4.0,7.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MR+CB/LWAL+CDL/H:1/IND,24.0,3806675.0,1332337.0,951669.0,1522669.0,5606.0,0.0,308.0,24.0,44.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MR+CB/LWAL+CDL/H:2/IND,8.0,2537783.0,888224.0,634446.0,1015113.0,3738.0,0.0,205.0,16.0,29.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MR+CB/LWAL+CDM/H:1/IND,3.0,446091.0,156132.0,111523.0,178436.0,657.0,0.0,36.0,3.0,5.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MR+CB/LWAL+CDM/H:2/IND,1.0,175523.0,61433.0,43881.0,70209.0,258.0,0.0,14.0,1.0,2.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MUR+CB/LWAL+CDN/H:1/IND,26.0,3271358.0,1308543.0,817839.0,1144975.0,6262.0,0.0,344.0,27.0,49.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,MUR+CB/LWAL+CDN/H:2/IND,9.0,2180906.0,872362.0,545226.0,763317.0,4175.0,0.0,229.0,18.0,33.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,S/LFM+CDL/H:1/IND,140.0,27684906.0,5536981.0,9689717.0,12458208.0,33636.0,0.0,1848.0,147.0,264.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,S/LFM+CDL/H:2/IND,47.0,18456604.0,3691321.0,6459812.0,8305472.0,22423.0,0.0,1232.0,98.0,176.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,S/LFM+CDM/H:1/IND,17.0,3244298.0,648860.0,1135505.0,1459935.0,3941.0,0.0,216.0,17.0,31.0
GEO,Georgia,GEO-ADM1-1590546715-B10,Mtskheta-Mtianeti,Total,Ind,S/LFM+CDM/H:2/IND,5.0,2162866.0,432574.0,757003.0,973290.0,2628.0,0.0,144.0,11.0,21.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR+PC/LWAL+CDL/H:1/IND,291.0,63338836.0,12667767.0,19001651.0,31669417.0,69957.0,0.0,4077.0,323.0,582.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR+PC/LWAL+CDL/H:2/IND,97.0,42225891.0,8445178.0,12667767.0,21112945.0,46638.0,0.0,2718.0,216.0,388.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR+PC/LWAL+CDM/H:1/IND,34.0,7422459.0,1484492.0,2226737.0,3711230.0,8198.0,0.0,478.0,38.0,68.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR+PC/LWAL+CDM/H:2/IND,12.0,4948306.0,989661.0,1484492.0,2474153.0,5466.0,0.0,319.0,25.0,45.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LFINF+CDL/H:1/IND,291.0,63338836.0,12667767.0,19001651.0,31669417.0,69957.0,0.0,4077.0,323.0,582.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LFINF+CDL/H:2/IND,97.0,42225891.0,8445178.0,12667767.0,21112945.0,46638.0,0.0,2718.0,216.0,388.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LFINF+CDM/H:1/IND,34.0,7422459.0,1484492.0,2226737.0,3711230.0,8198.0,0.0,478.0,38.0,68.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LFINF+CDM/H:2/IND,12.0,4948306.0,989661.0,1484492.0,2474153.0,5466.0,0.0,319.0,25.0,45.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LWAL+CDL/H:1/IND,146.0,31669417.0,6333884.0,9500826.0,15834709.0,34978.0,0.0,2038.0,162.0,291.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LWAL+CDL/H:2/IND,49.0,21112945.0,4222589.0,6333884.0,10556472.0,23319.0,0.0,1359.0,108.0,194.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LWAL+CDM/H:1/IND,17.0,3711230.0,742246.0,1113369.0,1855615.0,4099.0,0.0,239.0,19.0,34.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,CR/LWAL+CDM/H:2/IND,5.0,2474153.0,494830.0,742246.0,1237077.0,2733.0,0.0,159.0,13.0,23.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,MCF/LWAL+CDL/H:1/IND,146.0,26391181.0,9236914.0,6597796.0,10556472.0,34978.0,0.0,2038.0,162.0,291.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,MCF/LWAL+CDL/H:2/IND,49.0,17594121.0,6157942.0,4398531.0,7037649.0,23319.0,0.0,1359.0,108.0,194.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,MCF/LWAL+CDM/H:1/IND,17.0,3092691.0,1082442.0,773173.0,1237077.0,4099.0,0.0,239.0,19.0,34.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,MCF/LWAL+CDM/H:2/IND,5.0,2061794.0,721628.0,515449.0,824718.0,2733.0,0.0,159.0,13.0,23.0
GEO,Georgia,GEO-ADM1-1590546715-B11,Kakheti,Total,Ind,MR+CB/LWAL+CDL/H:1/IND,73.0,11876032.0,4156611.0,2969008.0,4750412.0,17489.0,0.0,1019.0,81.0,145.0
