ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
IRQ,Iraq,Com,ADO/E,MUR+ADO/LWAL+CDN/H:1/COM,5410788.0,41614.0,802377274.0,668647722.0,1203565900.0,0.0,0.0,2674590900.0
IRQ,Iraq,Com,ADO/E,MUR+ADO/LWAL+CDN/H:2/COM,3606972.0,13875.0,578122310.0,481768590.0,867183474.0,0.0,0.0,1927074381.0
IRQ,Iraq,Com,MCF,MCF/LWAL+CDL/H:1/COM,1198257.0,9218.0,253841734.0,253841734.0,338455646.0,0.0,0.0,846139115.0
IRQ,Iraq,Com,MCF,MCF/LWAL+CDL/H:2/COM,2396516.0,9218.0,548728982.0,548728982.0,731638628.0,0.0,0.0,1829096590.0
IRQ,Iraq,Com,MCF,MCF/LWAL+CDL/HBET:3-6/COM,3317118.0,3686.0,852206726.0,852206726.0,1136275634.0,0.0,0.0,2840689080.0
IRQ,Iraq,Com,MCF,MCF/LWAL+CDM/H:1/COM,1406713.0,10822.0,298004785.0,298004785.0,397339716.0,0.0,0.0,993349292.0
IRQ,Iraq,Com,MCF,MCF/LWAL+CDM/H:2/COM,2813443.0,10822.0,644193442.0,644193442.0,858924585.0,0.0,0.0,2147311454.0
IRQ,Iraq,Com,MCF,MCF/LWAL+CDM/HBET:3-6/COM,3894503.0,4329.0,1000566366.0,1000566366.0,1334088483.0,0.0,0.0,3335221224.0
IRQ,Iraq,Com,MUR,MUR+CB/LWAL+CDN/H:1/COM,9017971.0,69368.0,1432816554.0,1432816554.0,1910422081.0,0.0,0.0,4776055188.0
IRQ,Iraq,Com,MUR,MUR+CB/LWAL+CDN/H:2/COM,12023966.0,46247.0,2064857529.0,2064857529.0,2753143369.0,0.0,0.0,6882858405.0
IRQ,Iraq,Com,MUR,MUR+CB/LWAL+CDN/HBET:3-6/COM,12485659.0,13875.0,2405937555.0,2405937555.0,3207916743.0,0.0,0.0,8019791853.0
IRQ,Iraq,Com,MUR,MUR+CL/LWAL+CDN/H:1/COM,6011984.0,46247.0,955211032.0,955211032.0,1273614712.0,0.0,0.0,3184036786.0
IRQ,Iraq,Com,MUR,MUR+CL/LWAL+CDN/H:2/COM,8015977.0,30828.0,1376571672.0,1376571672.0,1835428913.0,0.0,0.0,4588572264.0
IRQ,Iraq,Com,MUR,MUR+CL/LWAL+CDN/HBET:3-6/COM,8323372.0,9250.0,1603865920.0,1603865920.0,2138487893.0,0.0,0.0,5346219724.0
IRQ,Iraq,Com,MUR,MUR+ST/LWAL+CDN/H:1/COM,1202266.0,9250.0,191018027.0,191018027.0,254690702.0,0.0,0.0,636726751.0
IRQ,Iraq,Com,MUR,MUR+ST/LWAL+CDN/H:2/COM,800993.0,3086.0,137546801.0,137546801.0,183395744.0,0.0,0.0,458489357.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDL/H:1/COM,506780.0,3899.0,134879372.0,154147849.0,96342401.0,0.0,0.0,385369615.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDL/H:2/COM,759947.0,2932.0,218611254.0,249841431.0,156150896.0,0.0,0.0,624603576.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDL/H:3/COM,1461434.0,3247.0,453204948.0,517948519.0,323717820.0,0.0,0.0,1294871284.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDL/HBET:4-7/COM,4210192.0,3513.0,1449614155.0,1656701873.0,1035438672.0,0.0,0.0,4141754706.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDL/HBET:8-/COM,571532.0,182.0,212091451.0,242390232.0,151493898.0,0.0,0.0,605975574.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDM/H:1/COM,594993.0,4581.0,158359646.0,180982451.0,113114034.0,0.0,0.0,452456135.0
IRQ,Iraq,Com,RC,CR+PC/LWAL+CDM/H:2/COM,892383.0,3432.0,256712842.0,293386113.0,183366315.0,0.0,0.0,733465270.0
