ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+CIP/LDUAL+CDL/HBET:1-2/RES,2148.0,360821015.0,108246304.0,162369457.0,90205254.0,300684.0,7749.0,1404.5886838620002,7226.9141068152,3347.661724155
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+CIP/LDUAL+CDM/HBET:1-2/RES,4403.0,739683080.0,221904924.0,332857386.0,184920770.0,616403.0,15885.0,2879.325234630001,14814.754237548,6862.512129074999
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+CIP/LFINF+CDL/HBET:1-2/RES,92783.0,15587467827.0,4676240348.0,7014360522.0,3896866957.0,12989556.0,334736.0,60674.46092156801,312183.2908064128,144610.00063192
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+CIP/LFINF+CDM/HBET:1-2/RES,24484.0,4113359565.0,1234007870.0,1851011804.0,1028339891.0,3427800.0,88333.0,16011.295936454,82381.5981155384,38160.924387635
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+CIP/LWAL+CDL/HBET:1-2/RES,12886.0,2164926087.0,649477826.0,974216739.0,541231522.0,1804105.0,46491.0,8426.988321258,43358.6867647368,20084.674308645
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+CIP/LWAL+CDM/HBET:1-2/RES,54768.0,9200935871.0,2760280761.0,4140421142.0,2300233968.0,7667447.0,197588.0,35814.926941144004,184275.5845318624,85360.40582685999
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+PC/LWAL+CDL/HBET:1-2/RES,132.0,51810197.0,15543059.0,23314589.0,12952549.0,31721.0,1430.0,259.20271234000006,1333.654300264,617.77729585
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+PC/LWAL+CDL/HBET:3-4/RES,238.0,168118802.0,50435641.0,75653461.0,42029701.0,95162.0,4291.0,777.7893976580001,4001.8955261768,1853.763899645
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+PC/LWAL+CDL/HBET:5-7/RES,132.0,206976450.0,62092935.0,93139403.0,51744113.0,107057.0,4291.0,777.7893976580001,4001.8955261768,1853.763899645
ISR,Israel,ISR-ADM1-1590546715-B1,North District,Total,Res,CR+PC/LWAL+CDL/HBET:8-/RES,99.0,237903966.0,71371190.0,107056785.0,59475991.0,118952.0,4291.0,777.7893976580001,4001.8955261768,1853.763899645
