ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
ISR,Israel,Com,MR,MR+CB/LWAL+CDL/H:1/COM,412047.0,3172.0,228033260.0,162880899.0,260609445.0,0.0,0.0,651523612.0
ISR,Israel,Com,MR,MR+CB/LWAL+CDL/H:2/COM,555322.0,2135.0,316700243.0,226214459.0,361943129.0,0.0,0.0,904857835.0
ISR,Israel,Com,MR,MR+CB/LWAL+CDL/HBET:3-6/COM,629342.0,786.0,434136342.0,310097385.0,496155816.0,0.0,0.0,1240389544.0
ISR,Israel,Com,MR,MR+CB/LWAL+CDM/H:1/COM,337127.0,2598.0,186572669.0,133266194.0,213225906.0,0.0,0.0,533064771.0
ISR,Israel,Com,MR,MR+CB/LWAL+CDM/H:2/COM,454358.0,1749.0,259118382.0,185084556.0,296135292.0,0.0,0.0,740338227.0
ISR,Israel,Com,MR,MR+CB/LWAL+CDM/HBET:3-6/COM,514915.0,645.0,355202461.0,253716038.0,405945670.0,0.0,0.0,1014864176.0
ISR,Israel,Com,RC,CR/LDUAL+CDL/H:1/COM,412047.0,3172.0,282326898.0,247036037.0,176454313.0,0.0,0.0,705817241.0
ISR,Israel,Com,RC,CR/LDUAL+CDL/H:2/COM,624736.0,2406.0,441118189.0,385978423.0,275698871.0,0.0,0.0,1102795481.0
ISR,Israel,Com,RC,CR/LDUAL+CDL/H:3/COM,1214228.0,2700.0,888084050.0,777073548.0,555052534.0,0.0,0.0,2220210126.0
ISR,Israel,Com,RC,CR/LDUAL+CDL/HBET:4-7/COM,2645029.0,2643.0,2313551784.0,2024357807.0,1445969863.0,0.0,0.0,5783879452.0
ISR,Israel,Com,RC,CR/LDUAL+CDL/HBET:8-/COM,1182018.0,411.0,1177117650.0,1029977941.0,735698531.0,0.0,0.0,2942794125.0
ISR,Israel,Com,RC,CR/LDUAL+CDM/H:1/COM,337127.0,2598.0,230994733.0,202120393.0,144371708.0,0.0,0.0,577486837.0
ISR,Israel,Com,RC,CR/LDUAL+CDM/H:2/COM,511145.0,1961.0,360914880.0,315800528.0,225571804.0,0.0,0.0,902287213.0
ISR,Israel,Com,RC,CR/LDUAL+CDM/H:3/COM,993460.0,2208.0,726614225.0,635787443.0,454133889.0,0.0,0.0,1816535559.0
ISR,Israel,Com,RC,CR/LDUAL+CDM/HBET:4-7/COM,2164115.0,2167.0,1892906008.0,1656292751.0,1183066250.0,0.0,0.0,4732265006.0
ISR,Israel,Com,RC,CR/LDUAL+CDM/HBET:8-/COM,967105.0,336.0,963096256.0,842709226.0,601935163.0,0.0,0.0,2407740649.0
ISR,Israel,Com,RC,CR/LFINF+CDL/H:1/COM,1373494.0,10564.0,941089663.0,823453451.0,588181036.0,0.0,0.0,2352724145.0
ISR,Israel,Com,RC,CR/LFINF+CDL/H:2/COM,2082453.0,8013.0,1470393973.0,1286594729.0,918996236.0,0.0,0.0,3675984944.0
ISR,Israel,Com,RC,CR/LFINF+CDL/H:3/COM,4047431.0,8997.0,2960280168.0,2590245145.0,1850175103.0,0.0,0.0,7400700424.0
ISR,Israel,Com,RC,CR/LFINF+CDL/HBET:4-7/COM,8816763.0,8818.0,7711839272.0,6747859356.0,4819899543.0,0.0,0.0,19279598172.0
ISR,Israel,Com,RC,CR/LFINF+CDL/HBET:8-/COM,3940053.0,1368.0,3923725503.0,3433259819.0,2452328438.0,0.0,0.0,9809313756.0
ISR,Israel,Com,RC,CR/LFINF+CDM/H:1/COM,1123768.0,8640.0,769982449.0,673734638.0,481239030.0,0.0,0.0,1924956116.0
ISR,Israel,Com,RC,CR/LFINF+CDM/H:2/COM,1703825.0,6556.0,1203049619.0,1052668416.0,751906011.0,0.0,0.0,3007624046.0
ISR,Israel,Com,RC,CR/LFINF+CDM/H:3/COM,3311537.0,7360.0,2422047414.0,2119291485.0,1513779632.0,0.0,0.0,6055118527.0
ISR,Israel,Com,RC,CR/LFINF+CDM/HBET:4-7/COM,7213711.0,7211.0,6309686674.0,5520975840.0,3943554170.0,0.0,0.0,15774216690.0
ISR,Israel,Com,RC,CR/LFINF+CDM/HBET:8-/COM,3223679.0,1114.0,3210320865.0,2809030759.0,2006450537.0,0.0,0.0,8025802163.0
ISR,Israel,Com,RC,CR/LWAL+CDL/H:1/COM,824099.0,6338.0,564653795.0,494072068.0,352908622.0,0.0,0.0,1411634485.0
ISR,Israel,Com,RC,CR/LWAL+CDL/H:2/COM,1249465.0,4808.0,882236388.0,771956836.0,551397743.0,0.0,0.0,2205590964.0
ISR,Israel,Com,RC,CR/LWAL+CDL/H:3/COM,2428460.0,5399.0,1776168096.0,1554147084.0,1110105059.0,0.0,0.0,4440420254.0
