ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDL/H:1/RES,208.0,20633421.0,6190026.0,10316710.0,4126684.0,30232.0,980.0,286.0,947.0,588.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDL/H:2/RES,208.0,20633421.0,6190026.0,10316710.0,4126684.0,30232.0,980.0,286.0,947.0,588.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDL/H:3/RES,105.0,54329931.0,16298979.0,27164965.0,10865986.0,58587.0,1960.0,572.0,1894.0,1176.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDL/HBET:4-7/RES,69.0,127500309.0,38250093.0,63750154.0,25500062.0,116759.0,3920.0,1145.0,3788.0,2353.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDL/HBET:8-/RES,17.0,87656462.0,26296939.0,43828231.0,17531292.0,58379.0,1960.0,572.0,1894.0,1176.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDM/H:1/RES,178.0,17591342.0,5277402.0,8795671.0,3518268.0,25775.0,835.0,244.0,807.0,501.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDM/H:2/RES,178.0,17591342.0,5277402.0,8795671.0,3518268.0,25775.0,835.0,244.0,807.0,501.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDM/H:3/RES,89.0,46319822.0,13895946.0,23159911.0,9263965.0,49950.0,1671.0,488.0,1615.0,1003.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDM/HBET:4-7/RES,59.0,108702359.0,32610708.0,54351179.0,21740472.0,99544.0,3342.0,976.0,3229.0,2006.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,CR/LFINF+CDM/HBET:8-/RES,15.0,74732872.0,22419862.0,37366436.0,14946574.0,49772.0,1671.0,488.0,1615.0,1003.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,EU/LWAL+CDN/H:1/RES,18.0,1851574.0,925787.0,462893.0,462893.0,2543.0,82.0,24.0,79.0,49.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MATO/RES,48.0,4213517.0,2106759.0,1685407.0,421352.0,6945.0,225.0,66.0,217.0,135.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MCF/LWAL+CDL/H:1/RES,417.0,44017964.0,19808084.0,13205389.0,11004491.0,60464.0,1960.0,572.0,1894.0,1176.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MCF/LWAL+CDL/H:2/RES,834.0,88035928.0,39616167.0,26410778.0,22008982.0,120928.0,3920.0,1145.0,3788.0,2353.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MCF/LWAL+CDL/HBET:3-6/RES,69.0,136000329.0,61200148.0,40800099.0,34000082.0,116759.0,3920.0,1145.0,3788.0,2353.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MCF/LWAL+CDM/H:1/RES,356.0,37528195.0,16887688.0,11258459.0,9382049.0,51550.0,1671.0,488.0,1615.0,1003.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MCF/LWAL+CDM/H:2/RES,711.0,75056391.0,33775376.0,22516917.0,18764098.0,103099.0,3342.0,976.0,3229.0,2006.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MCF/LWAL+CDM/HBET:3-6/RES,59.0,115949183.0,52177132.0,34784755.0,28987296.0,99544.0,3342.0,976.0,3229.0,2006.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MUR+ADO/LWAL+CDN/H:1/RES,6.0,648051.0,324025.0,162013.0,162013.0,890.0,29.0,8.0,28.0,17.0
JOR,Jordan,JOR-ADM1-1590546715-B1,Balqa,Rural,Res,MUR+ADO/LWAL+CDN/H:2/RES,3.0,277736.0,138868.0,69434.0,69434.0,382.0,12.0,4.0,12.0,7.0
