ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LDUAL+CDL/H:1/RES,365.0,249618606.0,74885582.0,112328373.0,62404651.0,218861.0,9542.0,1417.5312814052002,8803.13498561367,3639.3095323325
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LDUAL+CDL/H:2/RES,182.0,249618606.0,74885582.0,112328373.0,62404651.0,218861.0,9542.0,1417.5312814052002,8803.13498561367,3639.3095323325
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LDUAL+CDL/H:3/RES,243.0,570556813.0,171167044.0,256750566.0,142639203.0,437723.0,19085.0,2835.2111198510006,17607.192538297724,7279.000463693751
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LDUAL+CDL/HBET:4-7/RES,265.0,1283752830.0,385125849.0,577688773.0,320938207.0,875445.0,38169.0,5670.273682661401,35213.46250952507,14557.619528358751
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LDUAL+CDL/HBET:8-/RES,73.0,784515618.0,235354685.0,353032028.0,196128905.0,437723.0,19085.0,2835.2111198510006,17607.192538297724,7279.000463693751
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LFINF+CDL/H:1/RES,7075.0,1619273869.0,485782160.0,728673241.0,404818467.0,1438254.0,48470.0,7200.559757882002,44716.825901560944,18486.410923512503
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LFINF+CDL/H:2/RES,7019.0,1619273869.0,485782160.0,728673241.0,404818467.0,1438254.0,48470.0,7200.559757882002,44716.825901560944,18486.410923512503
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LFINF+CDL/H:3/RES,14000.0,3260492231.0,978147669.0,1467221503.0,815123058.0,2876508.0,96941.0,14401.268072804602,89434.57437019228,36973.20324605375
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LFINF+CDL/HBET:4-7/RES,27932.0,6564873447.0,1969462034.0,2954193051.0,1641218362.0,5753015.0,193883.0,28802.684702649804,178870.07130745496,73946.78789113626
KWT,Kuwait,KWT-ADM1-1590546715-B1,Ahmadi,Total,Res,CR/LFINF+CDL/HBET:8-/RES,13947.0,3326325709.0,997897712.0,1496846568.0,831581427.0,2876508.0,96941.0,14401.268072804602,89434.57437019228,36973.20324605375
