ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
QAT,Qatar,QAT-ADM1-1590546715-B1,Al Khor and Al Thakhira,Com,828.0,355767888.0,286578868.0,285432391.0,0.0,0.0,327347.0,927779134.0,395.3466183574879,2834.23747277354
QAT,Qatar,QAT-ADM1-1590546715-B1,Al Khor and Al Thakhira,Ind,573.0,288386302.0,142960701.0,127220443.0,0.0,0.0,391910.0,558567442.0,683.9616055846423,1425.2441683039474
QAT,Qatar,QAT-ADM1-1590546715-B1,Al Khor and Al Thakhira,Res,20812.0,1574841194.0,2847800206.0,2033972815.0,28664.0,140454.0,4414616.0,6456614224.0,212.11877762829138,1462.5539852163813
QAT,Qatar,QAT-ADM1-1590546715-B2,Al Wakra,Com,1633.0,750422466.0,607477404.0,589960393.0,0.0,0.0,674742.0,1947860287.0,413.19167176974895,2886.8223513580006
QAT,Qatar,QAT-ADM1-1590546715-B2,Al Wakra,Ind,1076.0,544344516.0,269827945.0,240253524.0,0.0,0.0,739891.0,1054425980.0,687.6310408921933,1425.1098878077987
QAT,Qatar,QAT-ADM1-1590546715-B2,Al Wakra,Res,19574.0,3167592516.0,5697976803.0,3876955612.0,49096.0,265097.0,7813153.0,12742524943.0,399.15975273321754,1630.9068749837613
QAT,Qatar,QAT-ADM1-1590546715-B3,Al Shamal,Com,65.0,17110480.0,13184528.0,16452617.0,0.0,0.0,18706.0,46747622.0,287.7846153846154,2499.0709932641935
QAT,Qatar,QAT-ADM1-1590546715-B3,Al Shamal,Ind,63.0,30927000.0,15441115.0,13456661.0,0.0,0.0,41922.0,59824779.0,665.4285714285714,1427.0497352225561
QAT,Qatar,QAT-ADM1-1590546715-B3,Al Shamal,Res,2430.0,97444238.0,177175388.0,144347276.0,2516.0,16356.0,334853.0,418966906.0,137.79958847736626,1251.1965130967917
QAT,Qatar,QAT-ADM1-1590546715-B4,Al Rayyan,Com,5151.0,2510921768.0,2036466696.0,1941612809.0,0.0,0.0,2217760.0,6489001243.0,430.54940788196467,2925.925818393334
QAT,Qatar,QAT-ADM1-1590546715-B4,Al Rayyan,Ind,3359.0,1697936157.0,841655624.0,749406183.0,0.0,0.0,2307896.0,3288997957.0,687.0782971122358,1425.1066586189327
QAT,Qatar,QAT-ADM1-1590546715-B4,Al Rayyan,Res,96485.0,7885212229.0,14159574246.0,9878103143.0,127196.0,826784.0,21828258.0,31922889616.0,226.23473078716898,1462.457041510138
QAT,Qatar,QAT-ADM1-1590546715-B5,Al Sheehaniya,Com,951.0,413986477.0,333444739.0,332247221.0,0.0,0.0,380358.0,1079678460.0,399.9558359621451,2838.5848595270772
QAT,Qatar,QAT-ADM1-1590546715-B5,Al Sheehaniya,Ind,649.0,330929380.0,164050428.0,145988146.0,0.0,0.0,449722.0,640967957.0,692.9460708782742,1425.2537278585437
QAT,Qatar,QAT-ADM1-1590546715-B5,Al Sheehaniya,Res,19639.0,831232345.0,1531024963.0,1280139851.0,24805.0,161234.0,2748614.0,3642397154.0,139.95692245022659,1325.1759446761168
QAT,Qatar,QAT-ADM1-1590546715-B6,Doha,Com,7370.0,3608857970.0,2926864883.0,2788618233.0,0.0,0.0,3185735.0,9324341132.0,432.2571234735414,2926.9041938516543
QAT,Qatar,QAT-ADM1-1590546715-B6,Doha,Ind,4815.0,2435592759.0,1207307081.0,1074980504.0,0.0,0.0,3310541.0,4717880340.0,687.547455867082,1425.1085668475334
QAT,Qatar,QAT-ADM1-1590546715-B6,Doha,Res,89645.0,16748493283.0,30110373092.0,20699228545.0,269550.0,1186025.0,40789426.0,67558094923.0,455.0106085113503,1656.2649085329124
QAT,Qatar,QAT-ADM1-1590546715-B7,Umm Slal,Com,886.0,383363658.0,308814913.0,307627612.0,0.0,0.0,352192.0,999806183.0,397.5079006772009,2838.8100325958567
QAT,Qatar,QAT-ADM1-1590546715-B7,Umm Slal,Ind,606.0,307216843.0,152295497.0,135527457.0,0.0,0.0,417501.0,595039802.0,688.9455445544554,1425.2416209781534
QAT,Qatar,QAT-ADM1-1590546715-B7,Umm Slal,Res,16245.0,1068989307.0,1921402665.0,1348091462.0,17599.0,149578.0,3094430.0,4338483439.0,190.48507232994768,1402.0299179493477
QAT,Qatar,QAT-ADM1-1590546715-B8,Al Daayen,Com,580.0,241440885.0,194418395.0,194973762.0,0.0,0.0,224375.0,630833034.0,386.8534482758621,2811.5121292479107
QAT,Qatar,QAT-ADM1-1590546715-B8,Al Daayen,Ind,408.0,204731415.0,101520661.0,90257890.0,0.0,0.0,278181.0,396509969.0,681.8161764705883,1425.366825915501
QAT,Qatar,QAT-ADM1-1590546715-B8,Al Daayen,Res,10059.0,846006499.0,1521842667.0,1043468933.0,13167.0,100084.0,2304949.0,3411318108.0,229.14295655631773,1479.9972181597077
