ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
QAT,Qatar,Com,MCF,MCF/LWAL+CDL/H:1/COM,77894.0,601.0,55650726.0,39750522.0,63600831.0,0.0,0.0,159002069.0
QAT,Qatar,Com,MCF,MCF/LWAL+CDL/H:2/COM,155801.0,601.0,118891807.0,84922715.0,135876342.0,0.0,0.0,339690858.0
QAT,Qatar,Com,MCF,MCF/LWAL+CDL/HBET:3-6/COM,264330.0,299.0,274317106.0,195940789.0,313505265.0,0.0,0.0,783763160.0
QAT,Qatar,Com,MCF,MCF/LWAL+CDM/H:1/COM,25258.0,196.0,18032744.0,12880531.0,20608848.0,0.0,0.0,51522123.0
QAT,Qatar,Com,MCF,MCF/LWAL+CDM/H:2/COM,50518.0,196.0,38580725.0,27557659.0,44092254.0,0.0,0.0,110230638.0
QAT,Qatar,Com,MCF,MCF/LWAL+CDM/HBET:3-6/COM,84111.0,93.0,87088681.0,62206199.0,99529921.0,0.0,0.0,248824800.0
QAT,Qatar,Com,MR,MR+CB/LWAL+CDL/H:1/COM,236620.0,1818.0,167520361.0,119657398.0,191451831.0,0.0,0.0,478629594.0
QAT,Qatar,Com,MR,MR+CB/LWAL+CDL/H:2/COM,315053.0,1209.0,242012701.0,172866214.0,276585945.0,0.0,0.0,691464851.0
QAT,Qatar,Com,MR,MR+CB/LWAL+CDL/HBET:3-6/COM,406188.0,456.0,418443702.0,298888360.0,478221375.0,0.0,0.0,1195553428.0
QAT,Qatar,Com,MR,MR+CB/LWAL+CDM/H:1/COM,78529.0,608.0,55588460.0,39706043.0,63529665.0,0.0,0.0,158824166.0
QAT,Qatar,Com,MR,MR+CB/LWAL+CDM/H:2/COM,103320.0,401.0,79394444.0,56710315.0,90736508.0,0.0,0.0,226841266.0
QAT,Qatar,Com,MR,MR+CB/LWAL+CDM/HBET:3-6/COM,129911.0,145.0,133666802.0,95476288.0,152762058.0,0.0,0.0,381905146.0
QAT,Qatar,Com,MUR,MUR+CB/LWAL+CDN/H:1/COM,315562.0,2432.0,223414651.0,159581895.0,255331033.0,0.0,0.0,638327567.0
QAT,Qatar,Com,MUR,MUR+CB/LWAL+CDN/H:2/COM,420659.0,1619.0,323115140.0,230796528.0,369274443.0,0.0,0.0,923186112.0
QAT,Qatar,Com,MUR,MUR+CB/LWAL+CDN/HBET:3-6/COM,543699.0,608.0,560313159.0,400223682.0,640357890.0,0.0,0.0,1600894736.0
QAT,Qatar,Com,RC,CR/LDUAL+CDL/H:1/COM,38180.0,299.0,33743975.0,29525978.0,21089982.0,0.0,0.0,84359942.0
QAT,Qatar,Com,RC,CR/LDUAL+CDL/H:2/COM,37246.0,142.0,35234038.0,30829783.0,22021271.0,0.0,0.0,88085097.0
QAT,Qatar,Com,RC,CR/LDUAL+CDL/H:3/COM,87437.0,196.0,95073426.0,83189246.0,59420891.0,0.0,0.0,237683565.0
QAT,Qatar,Com,RC,CR/LDUAL+CDL/HBET:4-7/COM,280463.0,236.0,360293961.0,315257218.0,225183726.0,0.0,0.0,900734909.0
QAT,Qatar,Com,RC,CR/LDUAL+CDL/HBET:8-/COM,193575.0,62.0,283779312.0,248306897.0,177362070.0,0.0,0.0,709448281.0
