ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
USA,United States,Com,3063366506.5695,5413653.5,6814262890500,5090560819500,1302296209500,0.0,13207119919500,,,565.8593603320752,4311.309107538016
USA,United States,Ind,958331317.7477,1295665.4,2357596341100,1415952596500,263706995500,0.0,4037255933100,,,739.6441378674618,4212.797660195937
USA,United States,Res,17437380921.2427,102498215.1,18858071742277,29570371469049,8137116359457,284012165.4101,56565560473039,,,170.123751952464,3243.9252619714966
USA,United States,Com,50145807.856,95399.7,93841269600,69561486800,18390080800,0.0,181792837200,01,Alabama,525.6390518628465,3625.2848437907514
USA,United States,Ind,17566286.4048,22711.0,37906846900,22611491500,4211110800,0.0,64729449200,01,Alabama,773.4704066223417,3684.868145057263
USA,United States,Res,287893449.6391,1892167.6,267617682988,415477187482,119577494043,4488437.1164,802672379611,01,Alabama,152.15007890373982,2788.0883730325268
USA,United States,Com,5890119.7791,11083.8,16326282700,12359015500,3025282000,0.0,31710580200,02,Alaska,531.417003112651,5383.690211618298
USA,United States,Ind,1109316.9293,2212.9,3443870300,2185999400,407128800,0.0,6036998500,02,Alaska,501.2955530299607,5442.086333081981
USA,United States,Res,43817997.0151,248178.5,49591087060,77869619826,21293428788,651109.3944,148754138402,02,Alaska,176.55839250821487,3394.818306065844
USA,United States,Com,41129801.1247,75931.1,84513512200,63884208700,15945728500,0.0,164343449400,04,Arizona,541.6726627784926,3995.726818657179
USA,United States,Ind,9665500.8645,15725.3,20604894700,12770667000,2378313600,0.0,35753875300,04,Arizona,614.6465164098618,3699.1228702196763
USA,United States,Res,361004500.8035,2319777.8,372017831052,579224071830,164659129172,5909327.6987,1115901051114,04,Arizona,155.62029294508295,3091.100107146313
USA,United States,Com,27015169.3113,51140.3,47828015300,34980726300,9622258100,0.0,92430999700,05,Arkansas,528.2559803384023,3421.4480995807658
USA,United States,Ind,8858987.317,11961.2,18373881500,10921991600,2034190600,0.0,31330063700,05,Arkansas,740.6436910176236,3536.5287903594817
USA,United States,Res,190474488.8469,1159212.0,162305249389,251728663081,72728360441,2746596.3167,486762278650,05,Arkansas,164.313765598441,2555.5247928306603
USA,United States,Com,295239942.0214,470456.0,715098248800,537512822600,138914820200,0.0,1391525891600,06,California,627.5612214987161,4713.203376456217
USA,United States,Ind,81889272.6116,91507.5,230150727300,136072857700,25341854200,0.0,391565439200,06,California,894.8913762434772,4781.645100905841
USA,United States,Res,1844331286.1678,10047339.8,2088851454603,3284370646363,892771181199,34151868.5728,6265993408387,06,California,183.56413965095516,3397.433777424362
USA,United States,Com,46772553.5052,94149.6,100454766100,75887133400,18910009300,0.0,195251908800,08,Colorado,496.7897208825103,4174.4975240296135
USA,United States,Ind,12003049.2368,23549.5,26886735200,16809276900,3130613200,0.0,46826625300,08,Colorado,509.6944409350517,3901.2274611383605
USA,United States,Res,291328305.9643,1716380.2,322566225957,503737558258,141256758437,4670989.4702,967560560430,08,Colorado,169.73413347712818,3321.203400498155
USA,United States,Com,46343880.5999,74089.5,120688210500,90343630000,22599076500,0.0,233630917000,09,Connecticut,625.5121251985773,5041.246308590397
USA,United States,Ind,15888525.1297,22622.0,43362978100,26234834600,4886047400,0.0,74483860100,09,Connecticut,702.3483834187958,4687.902715448981
USA,United States,Res,193101604.453,1093629.8,243771048166,384736920264,102734218083,3289405.3633,731242201179,09,Connecticut,176.56944283431193,3786.8261284021637
USA,United States,Com,9464728.1456,16246.1,23073956100,17294412200,4300873200,0.0,44669241500,10,Delaware,582.584629271025,4719.548286314595
USA,United States,Ind,2579038.7521,3602.1,7256527200,4418538800,822945500,0.0,12498011500,10,Delaware,715.9819971960801,4845.99600910355
USA,United States,Res,60396856.7281,345198.7,66388523461,103255038560,29499829838,842910.7496,199143394722,10,Delaware,174.9625845291422,3297.2476633762853
USA,United States,Com,10803154.9411,11815.5,26762179600,20642976900,4633346900,0.0,52038503400,11,District of Columbia,914.3205908425373,4816.972790237639
USA,United States,Ind,939731.6615,1150.8,2139549100,1284726300,239280600,0.0,3663556000,11,District of Columbia,816.5899039798402,3898.512894789807
USA,United States,Res,37003155.5968,130668.1,43926419274,71089149153,16756683525,522799.3746,131772255662,11,District of Columbia,283.1843089231419,3561.108601056596
USA,United States,Com,216479637.9333,399079.7,435285169800,326357580900,82765724600,0.0,844408475300,12,Florida,542.4471300677534,3900.6369530245265
USA,United States,Ind,46414365.7115,90123.0,90690657200,58037801900,10809000800,0.0,159537459900,12,Florida,515.0113257603497,3437.24313484417
USA,United States,Res,1206611544.1618,6620169.8,1223683445724,1922666386392,524246200722,17427554.425,3670596102370,12,Florida,182.26292989672257,3042.069438279627
USA,United States,Com,101363638.4324,173666.9,194738057800,145745506400,38242898200,0.0,378726462400,13,Georgia,583.6669994823424,3736.3147994393953
USA,United States,Ind,31069889.7253,43270.8,66298352900,40189705400,7484830600,0.0,113972888900,13,Georgia,718.0336329649555,3668.2746513642323
USA,United States,Res,580967421.6685,3390107.0,591410042100,920653135971,261891208712,9089973.7117,1773954415505,13,Georgia,171.37141148302987,3053.4490392082926
USA,United States,Com,9960018.7828,13257.6,26898202500,20161857300,5067410400,0.0,52127470200,15,Hawaii,751.2686144400193,5233.6718772076165
USA,United States,Ind,1290069.3274,2110.1,3400157800,2226214900,414615500,0.0,6040988200,15,Hawaii,611.3782888962609,4682.6849314951005
USA,United States,Res,70325395.3516,344485.9,85252597195,135348164437,35142272520,1231498.7578,255743038926,15,Hawaii,204.14593268287615,3636.567382911719
USA,United States,Com,12972691.9442,31423.5,26501545200,19826723800,5217547400,0.0,51545816400,16,Idaho,412.83408736136965,3973.4094220163593
USA,United States,Ind,3470455.7268,7503.2,8064052100,5046662400,939888300,0.0,14050602800,16,Idaho,462.5300840707965,4048.633351377062
USA,United States,Res,85158041.1219,590465.3,82006091900,127068016147,36861469124,1461600.5867,245935583302,16,Idaho,144.2219231543327,2887.990142351372
USA,United States,Com,128871049.0976,224048.7,336148881900,251050251400,64339303600,0.0,651538436900,17,Illinois,575.1921305394765,5055.739372514612
USA,United States,Ind,49940971.0553,55151.4,148379671700,87714212300,16335910500,0.0,252429794500,17,Illinois,905.5249922087199,5054.563200633057
USA,United States,Res,678623746.8663,3883356.2,844601477014,1334724169062,354090939451,11893550.2473,2533416610990,17,Illinois,174.75186717775205,3733.1682286224573
USA,United States,Com,69461854.8075,126121.1,149944103400,110785870000,28363032100,0.0,289093005500,18,Indiana,550.7552249980376,4161.895853503552
USA,United States,Ind,32154242.6706,34801.6,76752487500,45356630800,8447387000,0.0,130556505300,18,Indiana,923.9300109937475,4060.3197107600795
USA,United States,Res,359850242.2371,2377663.3,398905967235,621175775029,176403741956,6093089.4369,1196485497761,18,Indiana,151.34617346244946,3324.953987310792
USA,United States,Com,44799703.0815,79288.9,87650966000,63970981100,18217732000,0.0,169839679100,19,Iowa,565.0185975779713,3791.0893916199893
USA,United States,Ind,11643912.9538,18024.9,26586097200,16026747100,2984692100,0.0,45597536400,19,Iowa,645.9904328900576,3915.9977046306594
USA,United States,Res,175629241.6081,1135023.8,194328704076,302469904911,86029846147,2861496.1747,582828463268,19,Iowa,154.7361752309511,3318.5160849724925
USA,United States,Com,29464161.623,58315.1,62494019900,46081976200,11788258300,0.0,120364254400,20,Kansas,505.2578427028334,4085.1070510705636
USA,United States,Ind,9951852.4675,13372.3,22751478100,13594375600,2531743500,0.0,38877597200,20,Kansas,744.2139697359466,3906.568885236542
USA,United States,Res,161684913.5464,1059563.1,180076168376,279780308806,80213709652,2681659.7412,540070193290,20,Kansas,152.59583270349825,3340.2633643677073
