ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
RUS,Russia,RUS-ADM1-28173009B1043871,Kabardino-Balkaria,Com,4146.0,489068543.0,373608961.0,448061194.0,0.0,0.0,1473678.0,1310738688.0,355.4457308248915,889.4335723271977
RUS,Russia,RUS-ADM1-28173009B1043871,Kabardino-Balkaria,Ind,2266.0,248361123.0,132055582.0,117552591.0,0.0,0.0,903475.0,497969286.0,398.7091791703442,551.1710739090734
RUS,Russia,RUS-ADM1-28173009B1043871,Kabardino-Balkaria,Res,217875.0,3107343153.0,5328383208.0,7557853355.0,325953.0,867848.0,40287894.0,15993579738.0,184.9128812392427,396.9822730867987
RUS,Russia,RUS-ADM1-28173009B11669511,Tambov Oblast,Com,5808.0,831472778.0,635474513.0,760919001.0,0.0,0.0,2077881.0,2227866283.0,357.76188016528926,1072.1818443885863
RUS,Russia,RUS-ADM1-28173009B11669511,Tambov Oblast,Ind,3166.0,419489923.0,223046122.0,198550102.0,0.0,0.0,1267520.0,841086148.0,400.35375868603916,663.5683444837163
RUS,Russia,RUS-ADM1-28173009B11669511,Tambov Oblast,Res,171960.0,6168115188.0,8291623061.0,8765033941.0,374043.0,992674.0,41730367.0,23224772187.0,242.674848802047,556.5436840514726
RUS,Russia,RUS-ADM1-28173009B12138525,North Ossetia-Alania,Com,3043.0,386898347.0,295495372.0,354729370.0,0.0,0.0,1082537.0,1037123084.0,355.74663161353925,958.0486246659467
RUS,Russia,RUS-ADM1-28173009B12138525,North Ossetia-Alania,Ind,1659.0,197316966.0,104914996.0,93392718.0,0.0,0.0,665687.0,395624682.0,401.2579867389994,594.3103620770722
RUS,Russia,RUS-ADM1-28173009B12138525,North Ossetia-Alania,Res,148186.0,2506633799.0,4730504614.0,6453533105.0,260904.0,691765.0,30921937.0,13690671516.0,208.66975962641544,442.7494796331808
RUS,Russia,RUS-ADM1-28173009B12217295,Kaliningrad,Com,19611.0,2905211296.0,2221543834.0,2655357196.0,0.0,0.0,7040505.0,7782112321.0,359.0079547192902,1105.3343930584524
RUS,Russia,RUS-ADM1-28173009B12217295,Kaliningrad,Ind,10692.0,1456167258.0,774255681.0,689223141.0,0.0,0.0,4275058.0,2919646075.0,399.83707444818555,682.9488804596335
RUS,Russia,RUS-ADM1-28173009B12217295,Kaliningrad,Res,66254.0,4613381751.0,8642914579.0,9774847750.0,385196.0,1016717.0,36784600.0,23031144068.0,555.2057234280195,626.1083189160681
RUS,Russia,RUS-ADM1-28173009B12986355,Udmurtia,Com,13832.0,2211173931.0,1690750744.0,2021240459.0,0.0,0.0,4961987.0,5923165139.0,358.7324320416426,1193.7083146328275
RUS,Russia,RUS-ADM1-28173009B12986355,Udmurtia,Ind,7536.0,1109327243.0,589838095.0,525059195.0,0.0,0.0,3014989.0,2224224531.0,400.07815817409767,737.7222706285164
RUS,Russia,RUS-ADM1-28173009B12986355,Udmurtia,Res,185233.0,10320030775.0,14329489740.0,14772329485.0,562736.0,1491092.0,58419419.0,39421849991.0,315.38343059821955,674.8072929482574
RUS,Russia,RUS-ADM1-28173009B13323300,Yamalo-Nenets Autonomous Okrug,Com,3321.0,753971613.0,575866831.0,691209125.0,0.0,0.0,1181148.0,2021047554.0,355.66034327009936,1711.0874792998
RUS,Russia,RUS-ADM1-28173009B13323300,Yamalo-Nenets Autonomous Okrug,Ind,1815.0,384262271.0,204315295.0,181876392.0,0.0,0.0,725910.0,770453959.0,399.9504132231405,1061.3629224008487
