ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
ASM,American Samoa,Com,MUR,MUR/LWAL+DNO/HBET:1-2/COM,33059.2161,87,51277018.908,27957179.41,13509012.89,0.0,0.0,92743211.2091
ASM,American Samoa,Com,RC,CR+CIP/LFM+DUL/HBET:1-2/COM,30678.9147,84,51419082.0057,25570818.74,12159680.56,0.0,0.0,89149581.3062
ASM,American Samoa,Com,RC,CR+CIP/LWAL+DUL/HBET:1-2/COM,49677.386,134,81504084.4427,42513680.9,20993100.1,0.0,0.0,145010865.4449
ASM,American Samoa,Com,RC,CR+PC/LWAL+DUL/HBET:1-2/COM,35960.2802,45,59563071.1266,13940859.24,6605452.26,0.0,0.0,80109382.6259
ASM,American Samoa,Com,S,S+SL/LFBR+DUL/HBET:1-2/COM,19737.0702,65,32055031.2645,23322678.66,11045696.94,0.0,0.0,66423406.8661
ASM,American Samoa,Com,W,W+WLI/LPB+DUL/HBET:1-2/COM,7364.9756,20,11281472.7984,6417920.6,3294881.2,0.0,0.0,20994274.5986
ASM,American Samoa,Ind,MUR,MUR/LWAL+DNO/HBET:1-2/IND,16858.8654,45,49327115.7803,15824395.66,6589762.34,0.0,0.0,71741273.7809
ASM,American Samoa,Ind,RC,CR+CIP/LFM+DUL/HBET:1-2/IND,15819.6373,33,45169488.9875,10022117.29,4173516.11,0.0,0.0,59365122.3876
ASM,American Samoa,Ind,RC,CR+CIP/LWAL+DUL/HBET:1-2/IND,27462.4602,60,74117735.3654,19516754.68,8127373.52,0.0,0.0,101761863.5626
ASM,American Samoa,Ind,RC,CR+PC/LWAL+DUL/HBET:1-2/IND,9807.261,32,29514996.2455,9758377.36,4063686.74,0.0,0.0,43337060.3457
ASM,American Samoa,Ind,S,S+SL/LFBR+DUL/HBET:1-2/IND,20940.4507,45,55660325.5717,13978216.22,5820956.68,0.0,0.0,75459498.4723
ASM,American Samoa,Ind,W,W+WLI/LPB+DUL/HBET:1-2/IND,7463.7339,9,24999900.5754,2901139.21,1208123.09,0.0,0.0,29109162.876
ASM,American Samoa,Res,MUR,MUR/LWAL+DNO/HBET:1-2/RES,1423023.9389,8475,912295989.8549,1862722178.19,520150534.26,5459.918,27319.0919,3295168702.3126
ASM,American Samoa,Res,RC,CR+CIP/LFM+DUL/HBET:1-2/RES,10300.9823,15,9018219.5028,2834942.94,838488.78,9.6636,216.3445,12691651.2233
ASM,American Samoa,Res,RC,CR+CIP/LWAL+DUL/HBET:1-2/RES,1293596.4931,7669,826173886.1411,1685654883.38,470491169.83,4940.6621,24312.6489,2982319939.3625
ASM,American Samoa,Res,RC,CR+PC/LWAL+DUL/HBET:1-2/RES,94.8041,1,58183.904,143077.04,43707.61,0.6442,2.1315,244968.554
ASM,American Samoa,Res,W,W+WLI/LPB+DUL/H:1/RES,930.4053,10,245887.8706,1473693.88,450188.42,6.4424,21.3147,2169770.1706
ASM,American Samoa,Res,W,W+WLI/LPB+DUL/HBET:1-2/RES,140736.8982,847,87708776.6573,188104419.82,52454278.22,545.6697,2636.6323,328267474.6971
